,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,1194,254,1194,(X)
Estimate Households By Type Total Households Married-Couple Household,158,90,13.2,8.1
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,69,67,5.8,5.7
Estimate Households By Type Total Households Cohabiting Couple Household,121,95,10.1,7.4
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,43,58,3.6,4.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",495,211,41.5,12.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",32,54,2.7,4.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",351,122,29.4,9.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",125,67,10.5,5.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",420,146,35.2,11.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",82,75,6.9,6.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",304,127,25.5,10.5
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",184,83,15.4,6.7
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,243,127,20.4,9.2
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,446,128,37.4,11.0
Estimate Households By Type Total Households Average Household Size,1.86,0.28,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.95,0.52,(X),(X)
Estimate Relationship Population In Households,2217,584,2217,(X)
Estimate Relationship Population In Households Householder,1194,254,53.9,8.0
Estimate Relationship Population In Households Spouse,174,99,7.8,4.5
Estimate Relationship Population In Households Unmarried Partner,123,104,5.5,4.1
Estimate Relationship Population In Households Child,555,319,25.0,9.7
Estimate Relationship Population In Households Other Relatives,171,131,7.7,5.7
Estimate Relationship Population In Households Other Nonrelatives,0,13,0.0,1.8
Estimate Marital Status Males 15 Years And Over,1027,296,1027,(X)
Estimate Marital Status Males 15 Years And Over Never Married,594,198,57.8,12.5
