,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,2589,201,2589,(X)
Estimate Households By Type Total Households Married-Couple Household,1412,229,54.5,8.0
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,490,125,18.9,4.9
Estimate Households By Type Total Households Cohabiting Couple Household,283,179,10.9,7.1
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,139,167,5.4,6.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",345,163,13.3,5.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",13,21,0.5,0.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",288,155,11.1,5.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",137,105,5.3,3.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",549,164,21.2,5.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",74,56,2.9,2.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",386,136,14.9,4.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",196,80,7.6,3.0
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,735,139,28.4,6.4
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,941,229,36.3,8.1
Estimate Households By Type Total Households Average Household Size,2.58,0.20,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.08,0.22,(X),(X)
Estimate Relationship Population In Households,6672,27,6672,(X)
Estimate Relationship Population In Households Householder,2589,201,38.8,3.0
Estimate Relationship Population In Households Spouse,1412,231,21.2,3.5
Estimate Relationship Population In Households Unmarried Partner,268,183,4.0,2.7
Estimate Relationship Population In Households Child,1866,257,28.0,3.8
Estimate Relationship Population In Households Other Relatives,372,223,5.6,3.3
Estimate Relationship Population In Households Other Nonrelatives,165,105,2.5,1.6
Estimate Marital Status Males 15 Years And Over,2713,259,2713,(X)
Estimate Marital Status Males 15 Years And Over Never Married,751,232,27.7,8.3
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",1556,274,57.4,8.4
Estimate Marital Status Males 15 Years And Over Separated,0,19,0.0,1.5
Estimate Marital Status Males 15 Years And Over Widowed,37,35,1.4,1.3
Estimate Marital Status Males 15 Years And Over Divorced,369,145,13.6,5.0
Estimate Marital Status Females 15 Years And Over,2868,256,2868,(X)
Estimate Marital Status Females 15 Years And Over Never Married,813,252,28.3,8.0
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",1473,235,51.4,8.6
