,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,3087,265,3087,(X)
Estimate Households By Type Total Households Married-Couple Household,1820,211,59.0,5.2
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,383,135,12.4,4.2
Estimate Households By Type Total Households Cohabiting Couple Household,106,58,3.4,1.9
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,10,15,0.3,0.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",359,106,11.6,3.2
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",58,40,1.9,1.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",287,88,9.3,2.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",175,73,5.7,2.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",802,190,26.0,5.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",34,31,1.1,1.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",676,170,21.9,4.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",532,123,17.2,3.7
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,496,141,16.1,4.3
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,1817,182,58.9,4.5
Estimate Households By Type Total Households Average Household Size,2.32,0.19,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.96,0.25,(X),(X)
Estimate Relationship Population In Households,7172,758,7172,(X)
Estimate Relationship Population In Households Householder,3087,265,43.0,3.5
Estimate Relationship Population In Households Spouse,1798,204,25.1,2.2
Estimate Relationship Population In Households Unmarried Partner,108,60,1.5,0.9
Estimate Relationship Population In Households Child,1779,399,24.8,3.6
Estimate Relationship Population In Households Other Relatives,383,220,5.3,2.8
Estimate Relationship Population In Households Other Nonrelatives,17,20,0.2,0.3
Estimate Marital Status Males 15 Years And Over,2987,317,2987,(X)
Estimate Marital Status Males 15 Years And Over Never Married,772,239,25.8,6.4
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",1917,219,64.2,6.3
Estimate Marital Status Males 15 Years And Over Separated,31,39,1.0,1.3
Estimate Marital Status Males 15 Years And Over Widowed,130,70,4.4,2.4
Estimate Marital Status Males 15 Years And Over Divorced,137,65,4.6,2.2
Estimate Marital Status Females 15 Years And Over,3447,408,3447,(X)
Estimate Marital Status Females 15 Years And Over Never Married,645,210,18.7,4.7
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",2003,246,58.1,5.1
Estimate Marital Status Females 15 Years And Over Separated,29,31,0.8,0.9
Estimate Marital Status Females 15 Years And Over Widowed,503,126,14.6,3.4
Estimate Marital Status Females 15 Years And Over Divorced,267,87,7.7,2.4
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,33,33,33,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",0,19,0.0,57.3
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",0,61,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",29,30,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,168,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",83,83,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",0,76,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,61,73,61,(X)
