,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,1748,254,1748,(X)
Estimate Households By Type Total Households Married-Couple Household,796,204,45.5,10.7
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,225,138,12.9,7.7
Estimate Households By Type Total Households Cohabiting Couple Household,220,142,12.6,8.1
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,15,25,0.9,1.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",175,103,10.0,5.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",0,13,0.0,2.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",120,80,6.9,4.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",24,27,1.4,1.5
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",557,200,31.9,9.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",211,145,12.1,7.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",221,111,12.6,6.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",74,68,4.2,3.9
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,533,206,30.5,10.2
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,388,158,22.2,8.3
Estimate Households By Type Total Households Average Household Size,2.66,0.29,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.00,0.29,(X),(X)
Estimate Relationship Population In Households,4648,826,4648,(X)
Estimate Relationship Population In Households Householder,1748,254,37.6,4.1
Estimate Relationship Population In Households Spouse,830,218,17.9,4.0
Estimate Relationship Population In Households Unmarried Partner,235,156,5.1,3.4
Estimate Relationship Population In Households Child,1463,426,31.5,5.2
Estimate Relationship Population In Households Other Relatives,248,159,5.3,3.1
Estimate Relationship Population In Households Other Nonrelatives,124,100,2.7,2.0
Estimate Marital Status Males 15 Years And Over,1920,400,1920,(X)
Estimate Marital Status Males 15 Years And Over Never Married,777,276,40.5,8.9
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",868,221,45.2,10.3
Estimate Marital Status Males 15 Years And Over Separated,0,13,0.0,2.1
Estimate Marital Status Males 15 Years And Over Widowed,103,90,5.4,4.7
Estimate Marital Status Males 15 Years And Over Divorced,172,115,9.0,5.9
Estimate Marital Status Females 15 Years And Over,1990,363,1990,(X)
Estimate Marital Status Females 15 Years And Over Never Married,837,333,42.1,12.7
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",791,218,39.7,10.9
Estimate Marital Status Females 15 Years And Over Separated,47,58,2.4,3.0
Estimate Marital Status Females 15 Years And Over Widowed,117,82,5.9,4.1
Estimate Marital Status Females 15 Years And Over Divorced,198,110,9.9,5.3
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,29,42,29,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",0,13,0.0,61.1
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",0,55,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",26,39,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,425,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",50,76,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",0,78,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,103,117,103,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,103,117,100.0,31.1
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,13,0.0,31.1
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,78,109,75.7,47.9
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,25,38,24.3,47.9
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,0,13,0.0,31.1
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,103,117,103,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,37,52,35.9,22.8
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,78,109,75.7,47.9
Estimate School Enrollment Population 3 Years And Over Enrolled In School,1025,430,1025,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",64,77,6.2,8.2
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,35,55,3.4,5.3
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),531,353,51.8,22.5
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),154,103,15.0,10.3
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,241,147,23.5,11.8
Estimate Educational Attainment Population 25 Years And Over,3312,511,3312,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,88,72,2.7,2.1
"Estimate Educational Attainment Population 25 Years And Over 9Th To 12Th Grade, No Diploma",56,72,1.7,2.2
Estimate Educational Attainment Population 25 Years And Over High School Graduate (Includes Equivalency),1304,346,39.4,8.1
