,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,13189,511,13189,(X)
Estimate Households By Type Total Households Married-Couple Household,8031,509,60.9,3.5
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,2836,428,21.5,3.2
Estimate Households By Type Total Households Cohabiting Couple Household,552,207,4.2,1.6
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,149,119,1.1,0.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",1917,298,14.5,2.2
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",88,73,0.7,0.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",1289,224,9.8,1.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",366,129,2.8,1.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",2689,369,20.4,2.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",295,119,2.2,0.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",1784,278,13.5,2.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",999,207,7.6,1.5
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,3635,444,27.6,3.3
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,4513,414,34.2,2.8
Estimate Households By Type Total Households Average Household Size,2.48,0.08,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.94,0.09,(X),(X)
Estimate Relationship Population In Households,32709,1376,32709,(X)
Estimate Relationship Population In Households Householder,13189,511,40.3,1.3
Estimate Relationship Population In Households Spouse,7925,521,24.2,1.3
Estimate Relationship Population In Households Unmarried Partner,570,213,1.7,0.7
Estimate Relationship Population In Households Child,8996,849,27.5,2.0
Estimate Relationship Population In Households Other Relatives,1304,375,4.0,1.1
Estimate Relationship Population In Households Other Nonrelatives,725,240,2.2,0.7
Estimate Marital Status Males 15 Years And Over,13795,609,13795,(X)
Estimate Marital Status Males 15 Years And Over Never Married,4147,463,30.1,2.7
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",8320,530,60.3,3.6
Estimate Marital Status Males 15 Years And Over Separated,119,77,0.9,0.6
Estimate Marital Status Males 15 Years And Over Widowed,335,127,2.4,0.9
Estimate Marital Status Males 15 Years And Over Divorced,874,272,6.3,1.9
Estimate Marital Status Females 15 Years And Over,13898,676,13898,(X)
Estimate Marital Status Females 15 Years And Over Never Married,3206,487,23.1,2.9
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",8182,516,58.9,3.8
Estimate Marital Status Females 15 Years And Over Separated,129,76,0.9,0.5
Estimate Marital Status Females 15 Years And Over Widowed,1159,268,8.3,1.8
Estimate Marital Status Females 15 Years And Over Divorced,1222,284,8.8,2.0
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,381,169,381,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",42,41,11.0,10.8
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",14,14,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",56,24,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,55,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",69,35,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",58,41,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,374,163,374,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,74,60,19.8,15.4
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,28,0.0,10.1
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,0,28,0.0,10.1
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,0,28,0.0,10.1
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,74,60,19.8,15.4
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,74,60,74,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,45,32,60.8,18.0
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,64,64,86.5,27.5
Estimate School Enrollment Population 3 Years And Over Enrolled In School,7315,782,7315,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",862,599,11.8,7.6
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,275,132,3.8,1.8
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),2839,473,38.8,5.8
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),1488,301,20.3,4.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,1851,369,25.3,4.8
Estimate Educational Attainment Population 25 Years And Over,24460,976,24460,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,384,176,1.6,0.7
"Estimate Educational Attainment Population 25 Years And Over 9Th To 12Th Grade, No Diploma",499,144,2.0,0.6
Estimate Educational Attainment Population 25 Years And Over High School Graduate (Includes Equivalency),3890,587,15.9,2.2
"Estimate Educational Attainment Population 25 Years And Over Some College, No Degree",2978,448,12.2,1.8
Estimate Educational Attainment Population 25 Years And Over Associate'S Degree,1503,271,6.1,1.1
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree,8778,699,35.9,2.7
Estimate Educational Attainment Population 25 Years And Over Graduate Or Professional Degree,6428,621,26.3,2.2
Estimate Educational Attainment Population 25 Years And Over High School Graduate Or Higher,23577,975,96.4,1.0
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree Or Higher,15206,888,62.2,2.9
Estimate Veteran Status Civilian Population 18 Years And Over,26703,1014,26703,(X)
