,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,7160,297,7160,(X)
Estimate Households By Type Total Households Married-Couple Household,5175,319,72.3,4.4
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,2650,269,37.0,3.8
Estimate Households By Type Total Households Cohabiting Couple Household,118,64,1.6,0.9
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,20,35,0.3,0.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",512,165,7.2,2.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",25,29,0.3,0.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",395,135,5.5,1.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",244,123,3.4,1.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",1355,313,18.9,4.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",316,181,4.4,2.5
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",687,160,9.6,2.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",489,139,6.8,1.9
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,3067,261,42.8,3.6
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,2458,256,34.3,3.4
Estimate Households By Type Total Households Average Household Size,2.84,0.09,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.18,0.11,(X),(X)
Estimate Relationship Population In Households,20341,830,20341,(X)
Estimate Relationship Population In Households Householder,7160,297,35.2,1.1
Estimate Relationship Population In Households Spouse,5137,311,25.3,1.3
Estimate Relationship Population In Households Unmarried Partner,118,67,0.6,0.3
Estimate Relationship Population In Households Child,7468,587,36.7,1.9
Estimate Relationship Population In Households Other Relatives,380,199,1.9,1.0
Estimate Relationship Population In Households Other Nonrelatives,78,76,0.4,0.4
Estimate Marital Status Males 15 Years And Over,7752,445,7752,(X)
Estimate Marital Status Males 15 Years And Over Never Married,1862,316,24.0,3.2
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",5292,320,68.3,3.6
Estimate Marital Status Males 15 Years And Over Separated,30,34,0.4,0.4
Estimate Marital Status Males 15 Years And Over Widowed,237,116,3.1,1.5
Estimate Marital Status Males 15 Years And Over Divorced,331,131,4.3,1.7
Estimate Marital Status Females 15 Years And Over,8460,499,8460,(X)
Estimate Marital Status Females 15 Years And Over Never Married,1978,362,23.4,3.4
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",5228,308,61.8,4.0
Estimate Marital Status Females 15 Years And Over Separated,27,33,0.3,0.4
Estimate Marital Status Females 15 Years And Over Widowed,532,149,6.3,1.8
Estimate Marital Status Females 15 Years And Over Divorced,695,329,8.2,3.7
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,168,78,168,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",0,25,0.0,21.0
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",0,22,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",40,19,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,47,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",51,37,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",49,28,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,172,125,172,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,59,61,34.3,22.5
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,25,0.0,20.6
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,0,25,0.0,20.6
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,22,25,12.8,15.7
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,37,55,21.5,24.7
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,59,61,59,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,22,25,37.3,49.9
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,48,60,81.4,42.4
Estimate School Enrollment Population 3 Years And Over Enrolled In School,6417,623,6417,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",438,134,6.8,2.1
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,448,180,7.0,2.6
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),2854,389,44.5,4.1
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),1498,294,23.3,4.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,1179,231,18.4,3.2
Estimate Educational Attainment Population 25 Years And Over,13459,502,13459,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,10,17,0.1,0.1
"Estimate Educational Attainment Population 25 Years And Over 9Th To 12Th Grade, No Diploma",111,72,0.8,0.5
Estimate Educational Attainment Population 25 Years And Over High School Graduate (Includes Equivalency),895,256,6.6,1.9
"Estimate Educational Attainment Population 25 Years And Over Some College, No Degree",760,208,5.6,1.5
Estimate Educational Attainment Population 25 Years And Over Associate'S Degree,365,121,2.7,0.9
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree,4079,461,30.3,3.3
Estimate Educational Attainment Population 25 Years And Over Graduate Or Professional Degree,7239,538,53.8,3.4
Estimate Educational Attainment Population 25 Years And Over High School Graduate Or Higher,13338,498,99.1,0.6
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree Or Higher,11318,572,84.1,2.9
Estimate Veteran Status Civilian Population 18 Years And Over,15061,654,15061,(X)
Estimate Veteran Status Civilian Population 18 Years And Over Civilian Veterans,430,136,2.9,0.9
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population,20734,814,20734,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population With A Disability,1281,279,6.2,1.4
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years,5835,542,5835,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years With A Disability,79,67,1.4,1.1
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years,11190,573,11190,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years With A Disability,365,118,3.3,1.1
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over,3709,378,3709,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over With A Disability,837,238,22.6,5.6
Estimate Residence 1 Year Ago Population 1 Year And Over,20758,811,20758,(X)
Estimate Residence 1 Year Ago Population 1 Year And Over Same House,19435,921,93.6,1.8
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad),1323,360,6.4,1.8
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S.,1236,361,6.0,1.8
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Same County,409,254,2.0,1.2
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County,827,224,4.0,1.1
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Same State,535,190,2.6,0.9
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Different State,292,191,1.4,0.9
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Abroad,87,65,0.4,0.3
Estimate Place Of Birth Total Population,20927,811,20927,(X)
Estimate Place Of Birth Total Population Native,18350,949,87.7,2.5
Estimate Place Of Birth Total Population Native Born In United States,18099,980,86.5,2.6
Estimate Place Of Birth Total Population Native Born In United States State Of Residence,12191,962,58.3,3.5
Estimate Place Of Birth Total Population Native Born In United States Different State,5908,616,28.2,2.9
"Estimate Place Of Birth Total Population Native Born In Puerto Rico, U.S. Island Areas, Or Born Abroad To American Parent(S)",251,117,1.2,0.6
Estimate Place Of Birth Total Population Foreign Born,2577,506,12.3,2.5
Estimate U.S. Citizenship Status Foreign-Born Population,2577,506,2577,(X)
Estimate U.S. Citizenship Status Foreign-Born Population Naturalized U.S. Citizen,1764,385,68.5,9.5
