,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,3732,295,3732,(X)
Estimate Households By Type Total Households Married-Couple Household,1548,240,41.5,6.8
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,353,130,9.5,3.5
Estimate Households By Type Total Households Cohabiting Couple Household,381,171,10.2,4.6
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,197,140,5.3,3.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",975,286,26.1,6.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",74,93,2.0,2.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",778,286,20.8,6.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",209,187,5.6,4.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",828,200,22.2,5.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",161,103,4.3,2.8
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",494,148,13.2,3.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",240,89,6.4,2.3
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,896,192,24.0,5.5
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,1227,245,32.9,6.2
Estimate Households By Type Total Households Average Household Size,2.35,0.15,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.00,0.17,(X),(X)
Estimate Relationship Population In Households,8770,517,8770,(X)
Estimate Relationship Population In Households Householder,3732,295,42.6,2.8
Estimate Relationship Population In Households Spouse,1572,270,17.9,2.9
Estimate Relationship Population In Households Unmarried Partner,394,175,4.5,2.0
Estimate Relationship Population In Households Child,2304,406,26.3,4.2
Estimate Relationship Population In Households Other Relatives,608,261,6.9,3.0
Estimate Relationship Population In Households Other Nonrelatives,160,135,1.8,1.5
Estimate Marital Status Males 15 Years And Over,4003,380,4003,(X)
Estimate Marital Status Males 15 Years And Over Never Married,1108,249,27.7,6.3
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",1816,404,45.4,8.8
Estimate Marital Status Males 15 Years And Over Separated,71,63,1.8,1.6
Estimate Marital Status Males 15 Years And Over Widowed,156,90,3.9,2.3
Estimate Marital Status Males 15 Years And Over Divorced,852,295,21.3,6.8
Estimate Marital Status Females 15 Years And Over,3605,292,3605,(X)
Estimate Marital Status Females 15 Years And Over Never Married,1068,221,29.6,5.5
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",1667,262,46.2,6.4
Estimate Marital Status Females 15 Years And Over Separated,5,9,0.1,0.2
