,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,3560,236,3560,(X)
Estimate Households By Type Total Households Married-Couple Household,1510,235,42.4,6.5
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,680,177,19.1,5.2
Estimate Households By Type Total Households Cohabiting Couple Household,289,133,8.1,3.8
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,37,42,1.0,1.2
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",651,183,18.3,5.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",47,66,1.3,1.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",557,153,15.6,4.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",157,84,4.4,2.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",1110,289,31.2,7.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",150,141,4.2,4.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",792,255,22.2,6.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",365,200,10.3,5.3
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,984,188,27.6,6.0
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,935,216,26.3,5.3
Estimate Households By Type Total Households Average Household Size,2.22,0.12,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.94,0.15,(X),(X)
Estimate Relationship Population In Households,7912,264,7912,(X)
Estimate Relationship Population In Households Householder,3560,236,45.0,2.5
Estimate Relationship Population In Households Spouse,1494,237,18.9,2.8
Estimate Relationship Population In Households Unmarried Partner,291,137,3.7,1.7
Estimate Relationship Population In Households Child,1907,250,24.1,3.2
Estimate Relationship Population In Households Other Relatives,364,177,4.6,2.2
Estimate Relationship Population In Households Other Nonrelatives,296,150,3.7,1.9
Estimate Marital Status Males 15 Years And Over,3330,282,3330,(X)
Estimate Marital Status Males 15 Years And Over Never Married,1424,277,42.8,7.3
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",1592,262,47.8,7.1
Estimate Marital Status Males 15 Years And Over Separated,36,39,1.1,1.2
Estimate Marital Status Males 15 Years And Over Widowed,49,47,1.5,1.4
Estimate Marital Status Males 15 Years And Over Divorced,229,128,6.9,3.8
Estimate Marital Status Females 15 Years And Over,3341,267,3341,(X)
Estimate Marital Status Females 15 Years And Over Never Married,1156,260,34.6,7.1
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",1488,228,44.5,7.9
Estimate Marital Status Females 15 Years And Over Separated,73,67,2.2,2.0
Estimate Marital Status Females 15 Years And Over Widowed,206,128,6.2,3.6
Estimate Marital Status Females 15 Years And Over Divorced,418,176,12.5,4.8
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,67,56,67,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",0,19,0.0,40.2
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",0,40,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",41,36,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,556,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",46,57,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",38,47,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,107,77,107,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,64,73,59.8,41.9
