,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,5684,257,5684,(X)
Estimate Households By Type Total Households Married-Couple Household,2948,239,51.9,4.2
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,1335,159,23.5,3.3
Estimate Households By Type Total Households Cohabiting Couple Household,468,128,8.2,2.2
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,186,100,3.3,1.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",867,166,15.3,2.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",16,20,0.3,0.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",596,147,10.5,2.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",162,69,2.9,1.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",1401,243,24.6,3.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",219,101,3.9,1.8
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",818,211,14.4,3.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",464,164,8.2,2.7
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,1878,169,33.0,3.7
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,1608,227,28.3,3.5
Estimate Households By Type Total Households Average Household Size,2.65,0.12,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.20,0.17,(X),(X)
Estimate Relationship Population In Households,15048,49,15048,(X)
Estimate Relationship Population In Households Householder,5684,257,37.8,1.7
Estimate Relationship Population In Households Spouse,2953,238,19.6,1.6
Estimate Relationship Population In Households Unmarried Partner,472,125,3.1,0.8
Estimate Relationship Population In Households Child,5116,345,34.0,2.3
Estimate Relationship Population In Households Other Relatives,581,189,3.9,1.3
Estimate Relationship Population In Households Other Nonrelatives,242,115,1.6,0.8
Estimate Marital Status Males 15 Years And Over,5986,399,5986,(X)
Estimate Marital Status Males 15 Years And Over Never Married,2235,402,37.3,4.9
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",3125,223,52.2,4.2
Estimate Marital Status Males 15 Years And Over Separated,59,43,1.0,0.7
Estimate Marital Status Males 15 Years And Over Widowed,130,63,2.2,1.1
Estimate Marital Status Males 15 Years And Over Divorced,437,124,7.3,2.2
Estimate Marital Status Females 15 Years And Over,6573,302,6573,(X)
Estimate Marital Status Females 15 Years And Over Never Married,2021,298,30.7,3.8
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",3008,248,45.8,4.5
Estimate Marital Status Females 15 Years And Over Separated,183,117,2.8,1.8
Estimate Marital Status Females 15 Years And Over Widowed,589,155,9.0,2.3
Estimate Marital Status Females 15 Years And Over Divorced,772,167,11.7,2.4
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,287,133,287,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",126,87,43.9,24.0
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",63,42,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",79,36,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,72,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",137,82,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",54,39,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,197,75,197,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,23,19,11.7,9.1
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,21,0.0,18.3
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,0,21,0.0,18.3
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,8,13,4.1,6.4
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,15,17,7.6,9.0
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,23,19,23,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,8,13,34.8,52.7
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,15,19,65.2,52.7
Estimate School Enrollment Population 3 Years And Over Enrolled In School,3953,357,3953,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",216,100,5.5,2.4
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,189,102,4.8,2.5
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),1590,274,40.2,6.7
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),1153,369,29.2,8.4
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,805,195,20.4,5.1
Estimate Educational Attainment Population 25 Years And Over,10407,342,10407,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,146,71,1.4,0.7
"Estimate Educational Attainment Population 25 Years And Over 9Th To 12Th Grade, No Diploma",357,154,3.4,1.5
Estimate Educational Attainment Population 25 Years And Over High School Graduate (Includes Equivalency),3446,391,33.1,3.3
"Estimate Educational Attainment Population 25 Years And Over Some College, No Degree",2286,299,22.0,2.8
Estimate Educational Attainment Population 25 Years And Over Associate'S Degree,1408,304,13.5,2.9
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree,1875,295,18.0,2.9
Estimate Educational Attainment Population 25 Years And Over Graduate Or Professional Degree,889,197,8.5,1.9
Estimate Educational Attainment Population 25 Years And Over High School Graduate Or Higher,9904,403,95.2,1.7
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree Or Higher,2764,299,26.6,2.9
Estimate Veteran Status Civilian Population 18 Years And Over,11685,329,11685,(X)
Estimate Veteran Status Civilian Population 18 Years And Over Civilian Veterans,599,131,5.1,1.1
