,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,178,30,178,(X)
Estimate Households By Type Total Households Married-Couple Household,101,23,56.7,9.2
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,37,15,20.8,7.6
Estimate Households By Type Total Households Cohabiting Couple Household,9,8,5.1,4.1
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,6,7,3.4,3.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",37,17,20.8,9.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",2,4,1.1,2.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",24,14,13.5,7.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",13,13,7.3,6.8
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",31,14,17.4,7.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",2,3,1.1,1.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",16,13,9.0,6.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",12,14,6.7,7.1
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,48,16,27.0,8.0
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,79,25,44.4,10.7
Estimate Households By Type Total Households Average Household Size,2.66,0.33,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.19,0.37,(X),(X)
Estimate Relationship Population In Households,473,89,473,(X)
Estimate Relationship Population In Households Householder,178,30,37.6,4.9
Estimate Relationship Population In Households Spouse,103,23,21.8,3.7
Estimate Relationship Population In Households Unmarried Partner,10,7,2.1,1.3
Estimate Relationship Population In Households Child,154,49,32.6,6.0
Estimate Relationship Population In Households Other Relatives,8,6,1.7,1.3
Estimate Relationship Population In Households Other Nonrelatives,20,16,4.2,3.2
Estimate Marital Status Males 15 Years And Over,187,32,187,(X)
Estimate Marital Status Males 15 Years And Over Never Married,60,18,32.1,6.8
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",111,24,59.4,8.5
Estimate Marital Status Males 15 Years And Over Separated,0,13,0.0,19.1
Estimate Marital Status Males 15 Years And Over Widowed,1,2,0.5,1.3
Estimate Marital Status Males 15 Years And Over Divorced,15,9,8.0,4.6
Estimate Marital Status Females 15 Years And Over,189,37,189,(X)
Estimate Marital Status Females 15 Years And Over Never Married,44,18,23.3,7.2
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",105,22,55.6,8.2
Estimate Marital Status Females 15 Years And Over Separated,3,4,1.6,2.0
Estimate Marital Status Females 15 Years And Over Widowed,11,8,5.8,4.3
Estimate Marital Status Females 15 Years And Over Divorced,26,14,13.8,6.4
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,3,3,3,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",1,2,33.3,66.7
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",25,58,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",41,44,(X),(X)
