,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,4519,265,4519,(X)
Estimate Households By Type Total Households Married-Couple Household,2684,278,59.4,5.9
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,717,175,15.9,4.1
Estimate Households By Type Total Households Cohabiting Couple Household,137,111,3.0,2.4
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,13,23,0.3,0.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",589,187,13.0,4.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",20,32,0.4,0.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",423,156,9.4,3.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",232,123,5.1,2.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",1109,259,24.5,5.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",48,57,1.1,1.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",942,257,20.8,5.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",690,201,15.3,4.3
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,838,165,18.5,4.0
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,2325,296,51.4,6.2
Estimate Households By Type Total Households Average Household Size,2.18,0.13,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.68,0.18,(X),(X)
Estimate Relationship Population In Households,9851,179,9851,(X)
Estimate Relationship Population In Households Householder,4519,265,45.9,2.8
Estimate Relationship Population In Households Spouse,2567,237,26.1,2.4
Estimate Relationship Population In Households Unmarried Partner,120,93,1.2,0.9
Estimate Relationship Population In Households Child,2074,363,21.1,3.5
Estimate Relationship Population In Households Other Relatives,226,160,2.3,1.6
Estimate Relationship Population In Households Other Nonrelatives,345,253,3.5,2.6
Estimate Marital Status Males 15 Years And Over,4387,346,4387,(X)
Estimate Marital Status Males 15 Years And Over Never Married,979,268,22.3,5.5
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",2916,263,66.5,5.9
Estimate Marital Status Males 15 Years And Over Separated,0,21,0.0,0.9
Estimate Marital Status Males 15 Years And Over Widowed,153,111,3.5,2.5
Estimate Marital Status Males 15 Years And Over Divorced,339,155,7.7,3.2
Estimate Marital Status Females 15 Years And Over,4818,345,4818,(X)
Estimate Marital Status Females 15 Years And Over Never Married,1044,284,21.7,5.2
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",2790,259,57.9,5.8
Estimate Marital Status Females 15 Years And Over Separated,64,81,1.3,1.7
Estimate Marital Status Females 15 Years And Over Widowed,554,178,11.5,3.5
Estimate Marital Status Females 15 Years And Over Divorced,366,137,7.6,2.8
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,10,18,10,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",0,21,0.0,100.0
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",0,39,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",6,10,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,101,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",16,30,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",0,49,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,67,79,67,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,36,61,53.7,53.2
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,21,0.0,40.2
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,0,21,0.0,40.2
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,0,21,0.0,40.2
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,36,61,53.7,53.2
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,36,61,36,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,18,30,50.0,6.0
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,36,61,100.0,54.8
Estimate School Enrollment Population 3 Years And Over Enrolled In School,1936,299,1936,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",65,61,3.4,3.1
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,71,67,3.7,3.3
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),672,223,34.7,10.5
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),660,203,34.1,9.6
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,468,199,24.2,8.6
Estimate Educational Attainment Population 25 Years And Over,8103,305,8103,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,33,42,0.4,0.5
"Estimate Educational Attainment Population 25 Years And Over 9Th To 12Th Grade, No Diploma",175,125,2.2,1.6
Estimate Educational Attainment Population 25 Years And Over High School Graduate (Includes Equivalency),1759,341,21.7,4.3
"Estimate Educational Attainment Population 25 Years And Over Some College, No Degree",1782,427,22.0,5.0
Estimate Educational Attainment Population 25 Years And Over Associate'S Degree,739,209,9.1,2.6
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree,1761,351,21.7,4.2
Estimate Educational Attainment Population 25 Years And Over Graduate Or Professional Degree,1854,357,22.9,4.4
Estimate Educational Attainment Population 25 Years And Over High School Graduate Or Higher,7895,340,97.4,1.7
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree Or Higher,3615,520,44.6,6.1
Estimate Veteran Status Civilian Population 18 Years And Over,8695,251,8695,(X)
Estimate Veteran Status Civilian Population 18 Years And Over Civilian Veterans,555,195,6.4,2.3
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population,9856,179,9856,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population With A Disability,1344,348,13.6,3.5
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years,1381,282,1381,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years With A Disability,76,84,5.5,5.8
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years,5191,432,5191,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years With A Disability,445,218,8.6,4.1
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over,3284,405,3284,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over With A Disability,823,264,25.1,7.7
Estimate Residence 1 Year Ago Population 1 Year And Over,10071,157,10071,(X)
Estimate Residence 1 Year Ago Population 1 Year And Over Same House,9107,392,90.4,3.6
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad),964,362,9.6,3.6
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S.,928,351,9.2,3.5
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Same County,291,190,2.9,1.9
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County,637,293,6.3,2.9
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Same State,288,181,2.9,1.8
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Different State,349,266,3.5,2.6
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Abroad,36,41,0.4,0.4
Estimate Place Of Birth Total Population,10109,148,10109,(X)
Estimate Place Of Birth Total Population Native,9609,236,95.1,1.8
Estimate Place Of Birth Total Population Native Born In United States,9480,275,93.8,2.3
Estimate Place Of Birth Total Population Native Born In United States State Of Residence,6195,524,61.3,5.1
Estimate Place Of Birth Total Population Native Born In United States Different State,3285,459,32.5,4.5
"Estimate Place Of Birth Total Population Native Born In Puerto Rico, U.S. Island Areas, Or Born Abroad To American Parent(S)",129,116,1.3,1.1
Estimate Place Of Birth Total Population Foreign Born,500,185,4.9,1.8
Estimate U.S. Citizenship Status Foreign-Born Population,500,185,500,(X)
Estimate U.S. Citizenship Status Foreign-Born Population Naturalized U.S. Citizen,348,137,69.6,20.5
Estimate U.S. Citizenship Status Foreign-Born Population Not A U.S. Citizen,152,134,30.4,20.5
Estimate Year Of Entry Population Born Outside The United States,629,234,629,(X)
Estimate Year Of Entry Population Born Outside The United States Native,129,116,129,(X)
Estimate Year Of Entry Population Born Outside The United States Native Entered 2010 Or Later,48,59,37.2,46.1
Estimate Year Of Entry Population Born Outside The United States Native Entered Before 2010,81,105,62.8,46.1
Estimate Year Of Entry Population Born Outside The United States Foreign Born,500,185,500,(X)
Estimate Year Of Entry Population Born Outside The United States Foreign Born Entered 2010 Or Later,118,121,23.6,20.4
Estimate Year Of Entry Population Born Outside The United States Foreign Born Entered Before 2010,382,146,76.4,20.4
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea",500,185,500,(X)
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Europe",115,113,23.0,20.4
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Asia",213,136,42.6,22.0
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Africa",27,44,5.4,9.3
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Oceania",0,21,0.0,7.7
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Latin America",145,103,29.0,19.0
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Northern America",0,21,0.0,7.7
Estimate Language Spoken At Home Population 5 Years And Over,9980,188,9980,(X)
Estimate Language Spoken At Home Population 5 Years And Over English Only,9351,320,93.7,2.5
Estimate Language Spoken At Home Population 5 Years And Over Language Other Than English,629,252,6.3,2.5
"Estimate Language Spoken At Home Population 5 Years And Over Language Other Than English Speak English Less Than ""Very Well""",160,124,1.6,1.2
Estimate Language Spoken At Home Population 5 Years And Over Spanish,144,138,1.4,1.4
"Estimate Language Spoken At Home Population 5 Years And Over Spanish Speak English Less Than ""Very Well""",35,58,0.4,0.6
Estimate Language Spoken At Home Population 5 Years And Over Other Indo-European Languages,407,209,4.1,2.1
"Estimate Language Spoken At Home Population 5 Years And Over Other Indo-European Languages Speak English Less Than ""Very Well""",110,110,1.1,1.1
Estimate Language Spoken At Home Population 5 Years And Over Asian And Pacific Islander Languages,77,86,0.8,0.9
"Estimate Language Spoken At Home Population 5 Years And Over Asian And Pacific Islander Languages Speak English Less Than ""Very Well""",15,23,0.2,0.2
Estimate Language Spoken At Home Population 5 Years And Over Other Languages,1,2,0.0,0.1
"Estimate Language Spoken At Home Population 5 Years And Over Other Languages Speak English Less Than ""Very Well""",0,21,0.0,0.4
Estimate Ancestry Total Population,10109,148,10109,(X)
Estimate Ancestry Total Population American,287,154,2.8,1.5
Estimate Ancestry Total Population Arab,116,126,1.1,1.2
Estimate Ancestry Total Population Czech,17,27,0.2,0.3
Estimate Ancestry Total Population Danish,68,69,0.7,0.7
Estimate Ancestry Total Population Dutch,136,108,1.3,1.1
Estimate Ancestry Total Population English,2020,546,20.0,5.5
Estimate Ancestry Total Population French (Except Basque),583,278,5.8,2.8
Estimate Ancestry Total Population French Canadian,172,85,1.7,0.8
Estimate Ancestry Total Population German,1021,286,10.1,2.9
Estimate Ancestry Total Population Greek,59,53,0.6,0.5
Estimate Ancestry Total Population Hungarian,45,52,0.4,0.5
Estimate Ancestry Total Population Irish,3150,507,31.2,5.0
Estimate Ancestry Total Population Italian,748,195,7.4,1.9
Estimate Ancestry Total Population Lithuanian,15,25,0.1,0.2
Estimate Ancestry Total Population Norwegian,52,50,0.5,0.5
Estimate Ancestry Total Population Polish,697,248,6.9,2.4
Estimate Ancestry Total Population Portuguese,426,181,4.2,1.8
Estimate Ancestry Total Population Russian,82,67,0.8,0.7
Estimate Ancestry Total Population Scotch-Irish,76,56,0.8,0.6
Estimate Ancestry Total Population Scottish,291,151,2.9,1.5
Estimate Ancestry Total Population Slovak,44,50,0.4,0.5
Estimate Ancestry Total Population Subsaharan African,84,97,0.8,1.0
Estimate Ancestry Total Population Swedish,361,209,3.6,2.1
Estimate Ancestry Total Population Swiss,35,40,0.3,0.4
Estimate Ancestry Total Population Ukrainian,0,21,0.0,0.4
Estimate Ancestry Total Population Welsh,0,21,0.0,0.4
Estimate Ancestry Total Population West Indian (Excluding Hispanic Origin Groups),0,21,0.0,0.4
Estimate Computers And Internet Use Total Households,4519,265,4519,(X)
Estimate Computers And Internet Use Total Households With A Computer,4273,276,94.6,3.5
Estimate Computers And Internet Use Total Households With A Broadband Internet Subscription,4031,321,89.2,5.1
