,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,12167,481,12167,(X)
Estimate Households By Type Total Households Married-Couple Household,5671,507,46.6,4.1
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,1720,357,14.1,3.0
Estimate Households By Type Total Households Cohabiting Couple Household,471,172,3.9,1.4
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,138,103,1.1,0.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",1997,454,16.4,3.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",17,27,0.1,0.2
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",1181,321,9.7,2.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",389,130,3.2,1.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",4028,433,33.1,3.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",1089,256,9.0,2.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",1395,291,11.5,2.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",591,158,4.9,1.3
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,3654,376,30.0,3.4
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,4518,382,37.1,3.0
Estimate Households By Type Total Households Average Household Size,2.82,0.11,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.33,0.14,(X),(X)
Estimate Relationship Population In Households,34368,130,34368,(X)
Estimate Relationship Population In Households Householder,12167,481,35.4,1.4
Estimate Relationship Population In Households Spouse,5604,478,16.3,1.4
Estimate Relationship Population In Households Unmarried Partner,484,177,1.4,0.5
Estimate Relationship Population In Households Child,10949,737,31.9,2.1
Estimate Relationship Population In Households Other Relatives,4128,647,12.0,1.9
Estimate Relationship Population In Households Other Nonrelatives,1036,314,3.0,0.9
Estimate Marital Status Males 15 Years And Over,14465,636,14465,(X)
Estimate Marital Status Males 15 Years And Over Never Married,6231,646,43.1,3.7
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",6755,590,46.7,4.0
Estimate Marital Status Males 15 Years And Over Separated,291,169,2.0,1.2
Estimate Marital Status Males 15 Years And Over Widowed,299,203,2.1,1.4
Estimate Marital Status Males 15 Years And Over Divorced,889,274,6.1,1.9
Estimate Marital Status Females 15 Years And Over,15051,653,15051,(X)
Estimate Marital Status Females 15 Years And Over Never Married,5689,603,37.8,3.1
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",5926,448,39.4,3.1
