,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,7358,476,7358,(X)
Estimate Households By Type Total Households Married-Couple Household,1965,289,26.7,3.6
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,479,159,6.5,2.1
Estimate Households By Type Total Households Cohabiting Couple Household,635,186,8.6,2.6
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,34,53,0.5,0.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",2178,372,29.6,4.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",2,3,0.0,0.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",1630,270,22.2,3.2
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",218,87,3.0,1.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",2580,291,35.1,3.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",17,20,0.2,0.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",2207,290,30.0,3.5
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",370,104,5.0,1.5
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,598,177,8.1,2.3
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,1096,251,14.9,3.2
Estimate Households By Type Total Households Average Household Size,1.70,0.08,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.54,0.20,(X),(X)
Estimate Relationship Population In Households,12481,990,12481,(X)
Estimate Relationship Population In Households Householder,7358,476,59.0,2.8
Estimate Relationship Population In Households Spouse,1936,297,15.5,2.1
Estimate Relationship Population In Households Unmarried Partner,648,187,5.2,1.6
Estimate Relationship Population In Households Child,990,264,7.9,1.9
Estimate Relationship Population In Households Other Relatives,373,346,3.0,2.6
Estimate Relationship Population In Households Other Nonrelatives,1176,385,9.4,2.9
Estimate Marital Status Males 15 Years And Over,6515,593,6515,(X)
Estimate Marital Status Males 15 Years And Over Never Married,3623,597,55.6,6.4
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",2350,374,36.1,5.6
Estimate Marital Status Males 15 Years And Over Separated,61,54,0.9,0.8
Estimate Marital Status Males 15 Years And Over Widowed,56,55,0.9,0.9
Estimate Marital Status Males 15 Years And Over Divorced,425,151,6.5,2.2
Estimate Marital Status Females 15 Years And Over,6011,489,6011,(X)
Estimate Marital Status Females 15 Years And Over Never Married,3361,375,55.9,4.6
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",1961,292,32.6,4.2
Estimate Marital Status Females 15 Years And Over Separated,20,24,0.3,0.4
Estimate Marital Status Females 15 Years And Over Widowed,227,101,3.8,1.6
Estimate Marital Status Females 15 Years And Over Divorced,442,155,7.4,2.4
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,108,82,108,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",0,21,0.0,30.0
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",0,13,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",25,19,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,170,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",11,15,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",56,51,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,82,76,82,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,0,21,0.0,36.1
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,21,0.0,36.1
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,0,21,0.0,36.1
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,0,21,0.0,36.1
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,0,21,0.0,36.1
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,0,21,0,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,0,21,-666666666.0,-222222222.0
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,0,21,-666666666.0,-222222222.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School,1959,482,1959,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",91,68,4.6,3.7
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,149,117,7.6,5.8
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),289,137,14.8,5.9
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),140,105,7.1,5.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,1290,390,65.8,10.7
Estimate Educational Attainment Population 25 Years And Over,11460,827,11460,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,176,94,1.5,0.8
"Estimate Educational Attainment Population 25 Years And Over 9Th To 12Th Grade, No Diploma",241,100,2.1,0.9
Estimate Educational Attainment Population 25 Years And Over High School Graduate (Includes Equivalency),664,248,5.8,2.1
"Estimate Educational Attainment Population 25 Years And Over Some College, No Degree",678,199,5.9,1.8
Estimate Educational Attainment Population 25 Years And Over Associate'S Degree,198,89,1.7,0.8
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree,4682,721,40.9,4.5
Estimate Educational Attainment Population 25 Years And Over Graduate Or Professional Degree,4821,460,42.1,3.7
Estimate Educational Attainment Population 25 Years And Over High School Graduate Or Higher,11043,841,96.4,1.2
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree Or Higher,9503,845,82.9,3.4
Estimate Veteran Status Civilian Population 18 Years And Over,12362,829,12362,(X)
Estimate Veteran Status Civilian Population 18 Years And Over Civilian Veterans,349,166,2.8,1.3
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population,12743,1000,12743,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population With A Disability,1033,310,8.1,2.4
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years,1022,326,1022,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years With A Disability,100,115,9.8,9.9
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years,10213,778,10213,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years With A Disability,594,232,5.8,2.3
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over,1508,449,1508,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over With A Disability,339,146,22.5,10.4
Estimate Residence 1 Year Ago Population 1 Year And Over,13281,981,13281,(X)
Estimate Residence 1 Year Ago Population 1 Year And Over Same House,9169,869,69.0,3.6
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad),4112,536,31.0,3.6
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S.,3797,485,28.6,3.3
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Same County,1928,393,14.5,2.9
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County,1869,385,14.1,2.8
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Same State,765,257,5.8,1.9
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Different State,1104,255,8.3,1.9
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Abroad,315,143,2.4,1.0
Estimate Place Of Birth Total Population,13401,995,13401,(X)
Estimate Place Of Birth Total Population Native,10439,911,77.9,3.4
Estimate Place Of Birth Total Population Native Born In United States,10086,899,75.3,3.3
Estimate Place Of Birth Total Population Native Born In United States State Of Residence,3979,492,29.7,3.4
Estimate Place Of Birth Total Population Native Born In United States Different State,6107,771,45.6,3.9
"Estimate Place Of Birth Total Population Native Born In Puerto Rico, U.S. Island Areas, Or Born Abroad To American Parent(S)",353,147,2.6,1.1
Estimate Place Of Birth Total Population Foreign Born,2962,492,22.1,3.4
