,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,1883,119,1883,(X)
Estimate Households By Type Total Households Married-Couple Household,993,144,52.7,8.3
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,333,73,17.7,4.3
Estimate Households By Type Total Households Cohabiting Couple Household,203,97,10.8,5.1
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,30,38,1.6,2.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",204,91,10.8,4.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",10,15,0.5,0.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",179,91,9.5,4.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",112,68,5.9,3.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",483,180,25.7,9.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",23,18,1.2,1.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",277,120,14.7,5.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",109,52,5.8,2.7
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,438,84,23.3,5.0
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,700,131,37.2,6.6
Estimate Households By Type Total Households Average Household Size,2.52,0.16,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.08,0.16,(X),(X)
Estimate Relationship Population In Households,4746,26,4746,(X)
Estimate Relationship Population In Households Householder,1883,119,39.7,2.5
Estimate Relationship Population In Households Spouse,990,149,20.9,3.2
Estimate Relationship Population In Households Unmarried Partner,199,97,4.2,2.1
Estimate Relationship Population In Households Child,1451,198,30.6,4.2
Estimate Relationship Population In Households Other Relatives,167,72,3.5,1.5
Estimate Relationship Population In Households Other Nonrelatives,56,40,1.2,0.8
Estimate Marital Status Males 15 Years And Over,2120,144,2120,(X)
Estimate Marital Status Males 15 Years And Over Never Married,835,250,39.4,10.4
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",1050,156,49.5,8.8
Estimate Marital Status Males 15 Years And Over Separated,11,17,0.5,0.8
Estimate Marital Status Males 15 Years And Over Widowed,61,40,2.9,1.9
Estimate Marital Status Males 15 Years And Over Divorced,163,95,7.7,4.4
Estimate Marital Status Females 15 Years And Over,2053,126,2053,(X)
Estimate Marital Status Females 15 Years And Over Never Married,537,104,26.2,4.5
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",994,150,48.4,7.9
Estimate Marital Status Females 15 Years And Over Separated,44,30,2.1,1.5
Estimate Marital Status Females 15 Years And Over Widowed,225,171,11.0,8.2
Estimate Marital Status Females 15 Years And Over Divorced,253,108,12.3,5.0
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,53,47,53,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",32,42,60.4,42.0
