,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,709,97,709,(X)
Estimate Households By Type Total Households Married-Couple Household,316,61,44.6,7.8
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,100,39,14.1,5.4
Estimate Households By Type Total Households Cohabiting Couple Household,112,64,15.8,8.2
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,3,7,0.4,1.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",76,37,10.7,4.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",5,8,0.7,1.2
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",50,31,7.1,4.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",17,15,2.4,2.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",205,54,28.9,6.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",44,24,6.2,3.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",108,43,15.2,5.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",46,30,6.5,4.2
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,152,47,21.4,6.8
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,289,71,40.8,7.6
Estimate Households By Type Total Households Average Household Size,2.36,0.17,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.66,0.20,(X),(X)
Estimate Relationship Population In Households,1670,240,1670,(X)
Estimate Relationship Population In Households Householder,709,97,42.5,3.1
Estimate Relationship Population In Households Spouse,319,63,19.1,3.2
Estimate Relationship Population In Households Unmarried Partner,107,61,6.4,3.3
Estimate Relationship Population In Households Child,377,100,22.6,4.8
Estimate Relationship Population In Households Other Relatives,63,41,3.8,2.3
Estimate Relationship Population In Households Other Nonrelatives,95,56,5.7,3.2
Estimate Marital Status Males 15 Years And Over,627,114,627,(X)
Estimate Marital Status Males 15 Years And Over Never Married,180,59,28.7,6.9
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",327,61,52.2,7.2
Estimate Marital Status Males 15 Years And Over Separated,9,13,1.4,2.1
Estimate Marital Status Males 15 Years And Over Widowed,20,14,3.2,2.3
Estimate Marital Status Males 15 Years And Over Divorced,91,57,14.5,8.1
Estimate Marital Status Females 15 Years And Over,859,151,859,(X)
Estimate Marital Status Females 15 Years And Over Never Married,241,86,28.1,7.9
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",339,69,39.5,9.0
Estimate Marital Status Females 15 Years And Over Separated,5,6,0.6,0.8
Estimate Marital Status Females 15 Years And Over Widowed,50,33,5.8,3.8
Estimate Marital Status Females 15 Years And Over Divorced,224,90,26.1,7.7
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,5,7,5,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",0,13,0.0,100.0
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",0,215,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",19,26,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,556,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",0,329,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",36,49,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,0,13,0,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,0,13,-666666666.0,-222222222.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,13,-666666666.0,-222222222.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,0,13,-666666666.0,-222222222.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,0,13,-666666666.0,-222222222.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,0,13,-666666666.0,-222222222.0
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,0,13,0,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,0,13,-666666666.0,-222222222.0
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,0,13,-666666666.0,-222222222.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School,285,95,285,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",19,20,6.7,5.9
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,8,13,2.8,4.5
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),122,55,42.8,13.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),92,40,32.3,9.5
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,44,30,15.4,10.1
Estimate Educational Attainment Population 25 Years And Over,1368,208,1368,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,6,9,0.4,0.7
"Estimate Educational Attainment Population 25 Years And Over 9Th To 12Th Grade, No Diploma",15,13,1.1,0.9
Estimate Educational Attainment Population 25 Years And Over High School Graduate (Includes Equivalency),233,72,17.0,4.5
"Estimate Educational Attainment Population 25 Years And Over Some College, No Degree",276,95,20.2,6.3
Estimate Educational Attainment Population 25 Years And Over Associate'S Degree,57,33,4.2,2.3
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree,380,88,27.8,5.5
Estimate Educational Attainment Population 25 Years And Over Graduate Or Professional Degree,401,109,29.3,6.2
Estimate Educational Attainment Population 25 Years And Over High School Graduate Or Higher,1347,207,98.5,1.4
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree Or Higher,781,155,57.1,7.5
Estimate Veteran Status Civilian Population 18 Years And Over,1411,213,1411,(X)
Estimate Veteran Status Civilian Population 18 Years And Over Civilian Veterans,124,56,8.8,3.7
