,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,1993,168,1993,(X)
Estimate Households By Type Total Households Married-Couple Household,1042,172,52.3,9.9
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,377,108,18.9,5.7
Estimate Households By Type Total Households Cohabiting Couple Household,129,77,6.5,3.7
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,59,49,3.0,2.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",220,102,11.0,4.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",52,62,2.6,3.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",130,83,6.5,4.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",84,59,4.2,2.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",602,200,30.2,8.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",55,61,2.8,3.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",390,187,19.6,8.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",255,170,12.8,7.9
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,664,124,33.3,7.1
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,879,178,44.1,7.2
Estimate Households By Type Total Households Average Household Size,2.56,0.23,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.09,0.20,(X),(X)
Estimate Relationship Population In Households,5112,220,5112,(X)
Estimate Relationship Population In Households Householder,1993,168,39.0,3.4
Estimate Relationship Population In Households Spouse,1033,170,20.2,3.0
Estimate Relationship Population In Households Unmarried Partner,125,76,2.4,1.5
Estimate Relationship Population In Households Child,1501,218,29.4,3.6
Estimate Relationship Population In Households Other Relatives,380,226,7.4,4.5
Estimate Relationship Population In Households Other Nonrelatives,80,76,1.6,1.5
Estimate Marital Status Males 15 Years And Over,2138,244,2138,(X)
Estimate Marital Status Males 15 Years And Over Never Married,719,180,33.6,6.3
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",1195,181,55.9,8.2
Estimate Marital Status Males 15 Years And Over Separated,16,25,0.7,1.1
Estimate Marital Status Males 15 Years And Over Widowed,0,19,0.0,1.9
Estimate Marital Status Males 15 Years And Over Divorced,208,106,9.7,4.8
Estimate Marital Status Females 15 Years And Over,2298,192,2298,(X)
Estimate Marital Status Females 15 Years And Over Never Married,608,209,26.5,8.3
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",1044,170,45.4,7.7
