,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,2141,150,2141,(X)
Estimate Households By Type Total Households Married-Couple Household,1422,178,66.4,9.9
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,479,136,22.4,7.0
Estimate Households By Type Total Households Cohabiting Couple Household,136,84,6.4,3.9
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,33,31,1.5,1.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",300,142,14.0,6.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",18,30,0.8,1.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",208,129,9.7,5.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",120,102,5.6,4.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",283,215,13.2,9.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",156,192,7.3,8.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",47,38,2.2,1.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",28,32,1.3,1.5
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,788,149,36.8,6.7
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,670,172,31.3,7.6
Estimate Households By Type Total Households Average Household Size,2.85,0.20,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.05,0.22,(X),(X)
Estimate Relationship Population In Households,6111,63,6111,(X)
Estimate Relationship Population In Households Householder,2141,150,35.0,2.4
Estimate Relationship Population In Households Spouse,1411,176,23.1,2.9
Estimate Relationship Population In Households Unmarried Partner,136,84,2.2,1.4
Estimate Relationship Population In Households Child,2020,255,33.1,4.1
Estimate Relationship Population In Households Other Relatives,300,172,4.9,2.8
Estimate Relationship Population In Households Other Nonrelatives,103,91,1.7,1.5
Estimate Marital Status Males 15 Years And Over,2552,207,2552,(X)
Estimate Marital Status Males 15 Years And Over Never Married,603,184,23.6,6.7
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",1580,215,61.9,7.3
Estimate Marital Status Males 15 Years And Over Separated,51,51,2.0,2.0
Estimate Marital Status Males 15 Years And Over Widowed,45,74,1.8,2.9
Estimate Marital Status Males 15 Years And Over Divorced,273,110,10.7,4.4
Estimate Marital Status Females 15 Years And Over,2502,230,2502,(X)
Estimate Marital Status Females 15 Years And Over Never Married,676,179,27.0,5.5
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",1421,179,56.8,10.3
Estimate Marital Status Females 15 Years And Over Separated,32,47,1.3,1.9
Estimate Marital Status Females 15 Years And Over Widowed,220,194,8.8,7.2
Estimate Marital Status Females 15 Years And Over Divorced,153,81,6.1,3.2
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,31,39,31,(X)
