,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,510,62,510,(X)
Estimate Households By Type Total Households Married-Couple Household,284,50,55.7,7.6
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,33,12,6.5,2.4
Estimate Households By Type Total Households Cohabiting Couple Household,48,25,9.4,4.7
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,9,9,1.8,1.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",64,26,12.5,5.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",3,5,0.6,1.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",61,25,12.0,4.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",13,13,2.5,2.5
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",114,40,22.4,7.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",4,6,0.8,1.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",78,26,15.3,5.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",27,12,5.3,2.4
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,57,19,11.2,3.6
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,239,53,46.9,7.4
Estimate Households By Type Total Households Average Household Size,2.04,0.13,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.43,0.17,(X),(X)
Estimate Relationship Population In Households,1042,126,1042,(X)
Estimate Relationship Population In Households Householder,510,62,48.9,3.3
Estimate Relationship Population In Households Spouse,285,47,27.4,3.5
Estimate Relationship Population In Households Unmarried Partner,46,22,4.4,2.0
Estimate Relationship Population In Households Child,134,36,12.9,2.8
Estimate Relationship Population In Households Other Relatives,53,39,5.1,3.5
Estimate Relationship Population In Households Other Nonrelatives,14,10,1.3,0.9
Estimate Marital Status Males 15 Years And Over,447,63,447,(X)
Estimate Marital Status Males 15 Years And Over Never Married,73,34,16.3,6.4
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",287,48,64.2,7.6
Estimate Marital Status Males 15 Years And Over Separated,0,13,0.0,8.6
