,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,4779,355,4779,(X)
Estimate Households By Type Total Households Married-Couple Household,2570,278,53.8,5.1
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,864,193,18.1,3.7
Estimate Households By Type Total Households Cohabiting Couple Household,181,99,3.8,2.1
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,41,62,0.9,1.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",647,213,13.5,4.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",43,51,0.9,1.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",427,152,8.9,3.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",194,95,4.1,2.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",1381,251,28.9,4.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",112,77,2.3,1.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",912,192,19.1,3.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",658,177,13.8,3.6
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,1243,211,26.0,3.8
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,2233,269,46.7,4.7
Estimate Households By Type Total Households Average Household Size,2.38,0.10,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.91,0.13,(X),(X)
Estimate Relationship Population In Households,11392,858,11392,(X)
Estimate Relationship Population In Households Householder,4779,355,42.0,1.8
Estimate Relationship Population In Households Spouse,2579,299,22.6,2.0
Estimate Relationship Population In Households Unmarried Partner,176,96,1.5,0.8
Estimate Relationship Population In Households Child,2874,366,25.2,2.4
Estimate Relationship Population In Households Other Relatives,711,290,6.2,2.4
Estimate Relationship Population In Households Other Nonrelatives,273,135,2.4,1.2
Estimate Marital Status Males 15 Years And Over,4971,471,4971,(X)
Estimate Marital Status Males 15 Years And Over Never Married,1696,381,34.1,5.9
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",2782,313,56.0,6.0
