,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,9252,393,9252,(X)
Estimate Households By Type Total Households Married-Couple Household,5849,242,63.2,4.1
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,2848,254,30.8,3.5
Estimate Households By Type Total Households Cohabiting Couple Household,187,127,2.0,1.4
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,29,34,0.3,0.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",843,206,9.1,2.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",52,64,0.6,0.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",692,214,7.5,2.2
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",384,188,4.2,2.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",2373,464,25.6,4.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",156,105,1.7,1.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",1899,454,20.5,4.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",1372,433,14.8,4.2
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,3199,237,34.6,3.5
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,3743,471,40.5,3.8
Estimate Households By Type Total Households Average Household Size,2.57,0.11,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.17,0.09,(X),(X)
Estimate Relationship Population In Households,23785,118,23785,(X)
Estimate Relationship Population In Households Householder,9252,393,38.9,1.6
Estimate Relationship Population In Households Spouse,5820,248,24.5,1.0
Estimate Relationship Population In Households Unmarried Partner,216,162,0.9,0.7
Estimate Relationship Population In Households Child,7827,366,32.9,1.5
Estimate Relationship Population In Households Other Relatives,443,178,1.9,0.8
Estimate Relationship Population In Households Other Nonrelatives,227,131,1.0,0.6
Estimate Marital Status Males 15 Years And Over,8661,351,8661,(X)
Estimate Marital Status Males 15 Years And Over Never Married,1821,318,21.0,3.1
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",5978,245,69.0,3.4
Estimate Marital Status Males 15 Years And Over Separated,0,25,0.0,0.5
Estimate Marital Status Males 15 Years And Over Widowed,283,133,3.3,1.5
Estimate Marital Status Males 15 Years And Over Divorced,579,199,6.7,2.2
Estimate Marital Status Females 15 Years And Over,10280,403,10280,(X)
Estimate Marital Status Females 15 Years And Over Never Married,1913,349,18.6,3.0
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",6084,273,59.2,4.0
Estimate Marital Status Females 15 Years And Over Separated,40,41,0.4,0.4
Estimate Marital Status Females 15 Years And Over Widowed,1454,444,14.1,4.1
Estimate Marital Status Females 15 Years And Over Divorced,789,214,7.7,2.0
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,223,78,223,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",0,25,0.0,16.4
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",0,22,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",51,18,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,60,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",49,38,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",63,26,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,241,136,241,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,0,25,0.0,15.2
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,25,0.0,15.2
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,0,25,0.0,15.2
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,0,25,0.0,15.2
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,0,25,0.0,15.2
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,0,25,0,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,0,25,-666666666.0,-222222222.0
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,0,25,-666666666.0,-222222222.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School,5896,378,5896,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",816,186,13.8,3.3
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,320,104,5.4,1.8
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),2769,324,47.0,4.6
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),1241,264,21.0,4.1
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,750,220,12.7,3.5
Estimate Educational Attainment Population 25 Years And Over,16726,344,16726,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,146,155,0.9,0.9
"Estimate Educational Attainment Population 25 Years And Over 9Th To 12Th Grade, No Diploma",144,77,0.9,0.5
Estimate Educational Attainment Population 25 Years And Over High School Graduate (Includes Equivalency),1758,291,10.5,1.7
