,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,3731,216,3731,(X)
Estimate Households By Type Total Households Married-Couple Household,2668,177,71.5,5.4
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,1232,145,33.0,4.6
Estimate Households By Type Total Households Cohabiting Couple Household,34,30,0.9,0.8
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,8,14,0.2,0.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",335,147,9.0,3.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",56,57,1.5,1.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",155,86,4.2,2.2
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",122,77,3.3,2.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",694,182,18.6,4.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",76,55,2.0,1.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",489,170,13.1,4.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",353,127,9.5,3.3
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,1393,147,37.3,4.6
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,1500,225,40.2,4.7
Estimate Households By Type Total Households Average Household Size,2.95,0.17,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.29,0.17,(X),(X)
Estimate Relationship Population In Households,11003,261,11003,(X)
Estimate Relationship Population In Households Householder,3731,216,33.9,2.0
Estimate Relationship Population In Households Spouse,2692,176,24.5,1.3
Estimate Relationship Population In Households Unmarried Partner,34,30,0.3,0.3
Estimate Relationship Population In Households Child,3858,319,35.1,2.8
Estimate Relationship Population In Households Other Relatives,339,157,3.1,1.4
Estimate Relationship Population In Households Other Nonrelatives,349,229,3.2,2.1
Estimate Marital Status Males 15 Years And Over,4610,312,4610,(X)
Estimate Marital Status Males 15 Years And Over Never Married,1319,236,28.6,4.4
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",2829,195,61.4,5.3
Estimate Marital Status Males 15 Years And Over Separated,8,13,0.2,0.3
Estimate Marital Status Males 15 Years And Over Widowed,154,120,3.3,2.5
Estimate Marital Status Males 15 Years And Over Divorced,300,190,6.5,3.9
Estimate Marital Status Females 15 Years And Over,4648,253,4648,(X)
Estimate Marital Status Females 15 Years And Over Never Married,1096,292,23.6,5.5
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",2844,186,61.2,5.5
Estimate Marital Status Females 15 Years And Over Separated,26,32,0.6,0.7
Estimate Marital Status Females 15 Years And Over Widowed,454,123,9.8,2.5
Estimate Marital Status Females 15 Years And Over Divorced,228,96,4.9,2.0
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,111,57,111,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",0,21,0.0,29.4
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",0,38,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",51,28,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,74,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",67,90,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",68,40,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,55,46,55,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,0,21,0.0,44.4
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,21,0.0,44.4
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,0,21,0.0,44.4
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,0,21,0.0,44.4
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,0,21,0.0,44.4
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,0,21,0,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,0,21,-666666666.0,-222222222.0
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,0,21,-666666666.0,-222222222.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School,3683,426,3683,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",292,103,7.9,3.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,149,84,4.0,2.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),1455,283,39.5,6.8
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),723,206,19.6,4.8
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,1064,278,28.9,6.7
Estimate Educational Attainment Population 25 Years And Over,7685,377,7685,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,56,72,0.7,0.9
"Estimate Educational Attainment Population 25 Years And Over 9Th To 12Th Grade, No Diploma",83,65,1.1,0.9
Estimate Educational Attainment Population 25 Years And Over High School Graduate (Includes Equivalency),607,174,7.9,2.2
"Estimate Educational Attainment Population 25 Years And Over Some College, No Degree",314,111,4.1,1.4
Estimate Educational Attainment Population 25 Years And Over Associate'S Degree,260,111,3.4,1.4
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree,2440,285,31.8,3.6
Estimate Educational Attainment Population 25 Years And Over Graduate Or Professional Degree,3925,392,51.1,4.2
Estimate Educational Attainment Population 25 Years And Over High School Graduate Or Higher,7546,403,98.2,1.4
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree Or Higher,6365,401,82.8,3.4
Estimate Veteran Status Civilian Population 18 Years And Over,8781,347,8781,(X)
Estimate Veteran Status Civilian Population 18 Years And Over Civilian Veterans,451,178,5.1,2.0
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population,11708,78,11708,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population With A Disability,666,196,5.7,1.7
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years,3025,346,3025,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years With A Disability,31,36,1.0,1.2
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years,6418,306,6418,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years With A Disability,188,90,2.9,1.4
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over,2265,366,2265,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over With A Disability,447,175,19.7,6.2
Estimate Residence 1 Year Ago Population 1 Year And Over,11696,61,11696,(X)
Estimate Residence 1 Year Ago Population 1 Year And Over Same House,10251,338,87.6,2.8
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad),1445,332,12.4,2.8
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S.,1243,336,10.6,2.9
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Same County,804,290,6.9,2.5
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County,439,176,3.8,1.5
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Same State,205,161,1.8,1.4
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Different State,234,100,2.0,0.9
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Abroad,202,127,1.7,1.1
Estimate Place Of Birth Total Population,11806,21,11806,(X)
Estimate Place Of Birth Total Population Native,9203,505,78.0,4.3
Estimate Place Of Birth Total Population Native Born In United States,8918,497,75.5,4.2
Estimate Place Of Birth Total Population Native Born In United States State Of Residence,5346,519,45.3,4.4
Estimate Place Of Birth Total Population Native Born In United States Different State,3572,413,30.3,3.5
"Estimate Place Of Birth Total Population Native Born In Puerto Rico, U.S. Island Areas, Or Born Abroad To American Parent(S)",285,203,2.4,1.7
Estimate Place Of Birth Total Population Foreign Born,2603,501,22.0,4.3
Estimate U.S. Citizenship Status Foreign-Born Population,2603,501,2603,(X)
Estimate U.S. Citizenship Status Foreign-Born Population Naturalized U.S. Citizen,1798,369,69.1,7.1
Estimate U.S. Citizenship Status Foreign-Born Population Not A U.S. Citizen,805,256,30.9,7.1
Estimate Year Of Entry Population Born Outside The United States,2888,492,2888,(X)
Estimate Year Of Entry Population Born Outside The United States Native,285,203,285,(X)
Estimate Year Of Entry Population Born Outside The United States Native Entered 2010 Or Later,93,100,32.6,24.7
Estimate Year Of Entry Population Born Outside The United States Native Entered Before 2010,192,144,67.4,24.7
Estimate Year Of Entry Population Born Outside The United States Foreign Born,2603,501,2603,(X)
Estimate Year Of Entry Population Born Outside The United States Foreign Born Entered 2010 Or Later,461,178,17.7,6.2
Estimate Year Of Entry Population Born Outside The United States Foreign Born Entered Before 2010,2142,447,82.3,6.2
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea",2603,501,2603,(X)
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Europe",657,259,25.2,7.2
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Asia",1320,312,50.7,9.4
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Africa",74,56,2.8,2.2
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Oceania",18,20,0.7,0.8
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Latin America",361,178,13.9,7.2
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Northern America",173,151,6.6,5.2
Estimate Language Spoken At Home Population 5 Years And Over,11115,224,11115,(X)
Estimate Language Spoken At Home Population 5 Years And Over English Only,8277,468,74.5,3.9
Estimate Language Spoken At Home Population 5 Years And Over Language Other Than English,2838,436,25.5,3.9
"Estimate Language Spoken At Home Population 5 Years And Over Language Other Than English Speak English Less Than ""Very Well""",513,139,4.6,1.2
Estimate Language Spoken At Home Population 5 Years And Over Spanish,423,236,3.8,2.1
"Estimate Language Spoken At Home Population 5 Years And Over Spanish Speak English Less Than ""Very Well""",25,27,0.2,0.2
Estimate Language Spoken At Home Population 5 Years And Over Other Indo-European Languages,1349,435,12.1,3.9
"Estimate Language Spoken At Home Population 5 Years And Over Other Indo-European Languages Speak English Less Than ""Very Well""",145,93,1.3,0.8
Estimate Language Spoken At Home Population 5 Years And Over Asian And Pacific Islander Languages,1044,291,9.4,2.6
"Estimate Language Spoken At Home Population 5 Years And Over Asian And Pacific Islander Languages Speak English Less Than ""Very Well""",340,119,3.1,1.1
Estimate Language Spoken At Home Population 5 Years And Over Other Languages,22,32,0.2,0.3
"Estimate Language Spoken At Home Population 5 Years And Over Other Languages Speak English Less Than ""Very Well""",3,5,0.0,0.1
