,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,9297,376,9297,(X)
Estimate Households By Type Total Households Married-Couple Household,6027,277,64.8,2.9
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,2939,188,31.6,2.5
Estimate Households By Type Total Households Cohabiting Couple Household,387,114,4.2,1.3
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,88,72,0.9,0.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",906,231,9.7,2.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",79,95,0.8,1.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",626,195,6.7,2.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",228,95,2.5,1.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",1977,337,21.3,3.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",147,70,1.6,0.8
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",1403,279,15.1,2.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",960,239,10.3,2.4
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,3423,205,36.8,2.7
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,3216,378,34.6,3.5
Estimate Households By Type Total Households Average Household Size,2.73,0.11,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.21,0.13,(X),(X)
Estimate Relationship Population In Households,25341,87,25341,(X)
Estimate Relationship Population In Households Householder,9297,376,36.7,1.5
Estimate Relationship Population In Households Spouse,6118,281,24.1,1.1
Estimate Relationship Population In Households Unmarried Partner,390,116,1.5,0.5
Estimate Relationship Population In Households Child,8201,435,32.4,1.7
Estimate Relationship Population In Households Other Relatives,918,375,3.6,1.5
