,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,896,156,896,(X)
Estimate Households By Type Total Households Married-Couple Household,357,103,39.8,8.8
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,50,42,5.6,4.5
Estimate Households By Type Total Households Cohabiting Couple Household,45,32,5.0,3.7
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,0,13,0.0,4.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",247,92,27.6,8.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",0,13,0.0,4.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",174,81,19.4,8.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",70,48,7.8,5.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",247,82,27.6,8.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",26,31,2.9,3.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",171,58,19.1,6.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",143,55,16.0,5.7
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,110,56,12.3,6.1
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,598,137,66.7,10.2
Estimate Households By Type Total Households Average Household Size,1.97,0.21,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.55,0.27,(X),(X)
Estimate Relationship Population In Households,1766,348,1766,(X)
Estimate Relationship Population In Households Householder,896,156,50.7,5.6
Estimate Relationship Population In Households Spouse,361,102,20.4,4.0
Estimate Relationship Population In Households Unmarried Partner,44,31,2.5,1.8
Estimate Relationship Population In Households Child,317,141,18.0,5.9
Estimate Relationship Population In Households Other Relatives,77,67,4.4,3.5
