,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,7537,466,7537,(X)
Estimate Households By Type Total Households Married-Couple Household,4217,289,56.0,4.7
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,1597,227,21.2,4.0
Estimate Households By Type Total Households Cohabiting Couple Household,498,190,6.6,2.5
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,86,99,1.1,1.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",904,203,12.0,2.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",0,21,0.0,0.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",764,192,10.1,2.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",157,91,2.1,1.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",1918,395,25.4,4.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",309,160,4.1,2.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",1301,327,17.3,3.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",661,216,8.8,2.5
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,2010,231,26.7,4.2
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,2674,262,35.5,3.3
Estimate Households By Type Total Households Average Household Size,2.39,0.15,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.96,0.16,(X),(X)
Estimate Relationship Population In Households,17982,96,17982,(X)
Estimate Relationship Population In Households Householder,7537,466,41.9,2.6
Estimate Relationship Population In Households Spouse,4281,328,23.8,1.8
Estimate Relationship Population In Households Unmarried Partner,524,206,2.9,1.1
Estimate Relationship Population In Households Child,4894,594,27.2,3.3
Estimate Relationship Population In Households Other Relatives,548,195,3.0,1.1
Estimate Relationship Population In Households Other Nonrelatives,198,81,1.1,0.5
Estimate Marital Status Males 15 Years And Over,6648,406,6648,(X)
Estimate Marital Status Males 15 Years And Over Never Married,1474,282,22.2,3.6
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",4417,317,66.4,4.2
Estimate Marital Status Males 15 Years And Over Separated,39,36,0.6,0.5
Estimate Marital Status Males 15 Years And Over Widowed,83,49,1.2,0.7
Estimate Marital Status Males 15 Years And Over Divorced,635,189,9.6,2.7
Estimate Marital Status Females 15 Years And Over,8017,464,8017,(X)
Estimate Marital Status Females 15 Years And Over Never Married,1752,371,21.9,3.9
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",4411,304,55.0,4.8
Estimate Marital Status Females 15 Years And Over Separated,34,33,0.4,0.4
Estimate Marital Status Females 15 Years And Over Widowed,595,189,7.4,2.2
Estimate Marital Status Females 15 Years And Over Divorced,1225,288,15.3,3.3
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,131,96,131,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",6,9,4.6,7.7
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",3,5,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",36,26,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,90,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",66,77,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",28,19,(X),(X)
