,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,434,75,434,(X)
Estimate Households By Type Total Households Married-Couple Household,208,53,47.9,11.0
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,39,28,9.0,6.5
Estimate Households By Type Total Households Cohabiting Couple Household,66,51,15.2,10.5
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,0,13,0.0,8.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",54,24,12.4,5.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",0,13,0.0,8.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",53,25,12.2,5.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",24,15,5.5,3.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",106,36,24.4,8.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",15,14,3.5,3.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",79,34,18.2,7.5
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",33,22,7.6,5.1
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,73,33,16.8,8.1
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,159,39,36.6,9.0
Estimate Households By Type Total Households Average Household Size,2.03,0.19,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.54,0.21,(X),(X)
Estimate Relationship Population In Households,879,157,879,(X)
Estimate Relationship Population In Households Householder,434,75,49.4,4.6
Estimate Relationship Population In Households Spouse,217,59,24.7,5.2
Estimate Relationship Population In Households Unmarried Partner,60,46,6.8,4.9
Estimate Relationship Population In Households Child,119,56,13.5,5.6
Estimate Relationship Population In Households Other Relatives,23,17,2.6,1.9
Estimate Relationship Population In Households Other Nonrelatives,26,19,3.0,2.2
Estimate Marital Status Males 15 Years And Over,364,79,364,(X)
Estimate Marital Status Males 15 Years And Over Never Married,110,53,30.2,10.5
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",203,53,55.8,12.0
Estimate Marital Status Males 15 Years And Over Separated,15,16,4.1,4.1
Estimate Marital Status Males 15 Years And Over Widowed,14,16,3.8,4.5
Estimate Marital Status Males 15 Years And Over Divorced,22,14,6.0,3.7
Estimate Marital Status Females 15 Years And Over,446,88,446,(X)
Estimate Marital Status Females 15 Years And Over Never Married,127,60,28.5,10.0
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",236,60,52.9,9.6
Estimate Marital Status Females 15 Years And Over Separated,0,13,0.0,8.6
Estimate Marital Status Females 15 Years And Over Widowed,39,22,8.7,5.4
Estimate Marital Status Females 15 Years And Over Divorced,44,21,9.9,4.9
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,10,11,10,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",6,9,60.0,49.0
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",47,69,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",54,64,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,950,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",108,133,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",0,369,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,1,3,1,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,0,13,0.0,100.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,13,0.0,100.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,0,13,0.0,100.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,0,13,0.0,100.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,0,13,0.0,100.0
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,0,13,0,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,0,13,-666666666.0,-222222222.0
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,0,13,-666666666.0,-222222222.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School,87,42,87,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",0,13,0.0,34.9
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,10,9,11.5,8.8
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),36,25,41.4,19.3
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),31,26,35.6,26.1
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,10,11,11.5,11.9
Estimate Educational Attainment Population 25 Years And Over,774,143,774,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,0,13,0.0,5.0
"Estimate Educational Attainment Population 25 Years And Over 9Th To 12Th Grade, No Diploma",26,21,3.4,2.7
Estimate Educational Attainment Population 25 Years And Over High School Graduate (Includes Equivalency),170,70,22.0,8.4
"Estimate Educational Attainment Population 25 Years And Over Some College, No Degree",159,61,20.5,6.2
Estimate Educational Attainment Population 25 Years And Over Associate'S Degree,74,26,9.6,4.0
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree,195,67,25.2,6.3
Estimate Educational Attainment Population 25 Years And Over Graduate Or Professional Degree,150,58,19.4,6.8
Estimate Educational Attainment Population 25 Years And Over High School Graduate Or Higher,748,138,96.6,2.7
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree Or Higher,345,89,44.6,6.6
Estimate Veteran Status Civilian Population 18 Years And Over,774,143,774,(X)
Estimate Veteran Status Civilian Population 18 Years And Over Civilian Veterans,29,17,3.7,2.3
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population,879,157,879,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population With A Disability,71,33,8.1,3.4
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years,105,42,105,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years With A Disability,10,14,9.5,12.3
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years,543,140,543,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years With A Disability,21,20,3.9,3.5
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over,231,68,231,(X)
