,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,4511,299,4511,(X)
Estimate Households By Type Total Households Married-Couple Household,2728,307,60.5,4.7
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,1050,161,23.3,3.3
Estimate Households By Type Total Households Cohabiting Couple Household,179,79,4.0,1.7
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,38,42,0.8,0.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",638,156,14.1,3.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",58,48,1.3,1.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",496,147,11.0,3.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",239,105,5.3,2.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",966,194,21.4,4.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",282,156,6.3,3.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",556,136,12.3,3.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",370,119,8.2,2.7
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,1534,208,34.0,4.4
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,1647,273,36.5,5.1
Estimate Households By Type Total Households Average Household Size,2.56,0.11,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.02,0.14,(X),(X)
Estimate Relationship Population In Households,11526,747,11526,(X)
Estimate Relationship Population In Households Householder,4511,299,39.1,1.7
Estimate Relationship Population In Households Spouse,2635,258,22.9,1.7
Estimate Relationship Population In Households Unmarried Partner,171,73,1.5,0.6
Estimate Relationship Population In Households Child,3710,447,32.2,2.7
Estimate Relationship Population In Households Other Relatives,350,145,3.0,1.3
Estimate Relationship Population In Households Other Nonrelatives,149,87,1.3,0.8
Estimate Marital Status Males 15 Years And Over,4805,433,4805,(X)
Estimate Marital Status Males 15 Years And Over Never Married,1238,237,25.8,4.3
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",3041,377,63.3,4.7
Estimate Marital Status Males 15 Years And Over Separated,99,79,2.1,1.6
Estimate Marital Status Males 15 Years And Over Widowed,102,54,2.1,1.1
Estimate Marital Status Males 15 Years And Over Divorced,325,116,6.8,2.5
Estimate Marital Status Females 15 Years And Over,4949,349,4949,(X)
Estimate Marital Status Females 15 Years And Over Never Married,1323,236,26.7,3.7
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",2675,268,54.1,4.7
Estimate Marital Status Females 15 Years And Over Separated,143,85,2.9,1.7
Estimate Marital Status Females 15 Years And Over Widowed,370,125,7.5,2.6
Estimate Marital Status Females 15 Years And Over Divorced,438,149,8.9,2.9
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,99,69,99,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",0,21,0.0,32.0
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",0,27,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",37,25,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,74,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",69,59,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",31,31,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,178,108,178,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,19,25,10.7,12.3
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,21,0.0,20.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,0,21,0.0,20.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,0,21,0.0,20.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,19,25,10.7,12.3
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,19,25,19,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,0,21,0.0,75.5
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,19,25,100.0,75.5
Estimate School Enrollment Population 3 Years And Over Enrolled In School,3245,437,3245,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",131,69,4.0,2.1
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,143,72,4.4,2.2
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),1501,321,46.3,7.3
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),687,190,21.2,5.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,783,250,24.1,7.1
Estimate Educational Attainment Population 25 Years And Over,8314,529,8314,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,97,58,1.2,0.7
"Estimate Educational Attainment Population 25 Years And Over 9Th To 12Th Grade, No Diploma",130,58,1.6,0.7
Estimate Educational Attainment Population 25 Years And Over High School Graduate (Includes Equivalency),1471,312,17.7,3.6
"Estimate Educational Attainment Population 25 Years And Over Some College, No Degree",1084,209,13.0,2.6
Estimate Educational Attainment Population 25 Years And Over Associate'S Degree,698,176,8.4,2.2
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree,2795,443,33.6,4.5
Estimate Educational Attainment Population 25 Years And Over Graduate Or Professional Degree,2039,379,24.5,4.1
Estimate Educational Attainment Population 25 Years And Over High School Graduate Or Higher,8087,535,97.3,1.0
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree Or Higher,4834,542,58.1,4.4
Estimate Veteran Status Civilian Population 18 Years And Over,9231,588,9231,(X)
Estimate Veteran Status Civilian Population 18 Years And Over Civilian Veterans,894,290,9.7,2.9
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population,11751,752,11751,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population With A Disability,1625,514,13.8,4.1
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years,2712,422,2712,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years With A Disability,370,284,13.6,9.4
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years,6706,546,6706,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years With A Disability,537,210,8.0,3.1
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over,2333,405,2333,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over With A Disability,718,323,30.8,10.3
Estimate Residence 1 Year Ago Population 1 Year And Over,11832,725,11832,(X)
Estimate Residence 1 Year Ago Population 1 Year And Over Same House,10467,680,88.5,3.3
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad),1365,420,11.5,3.3
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S.,1360,419,11.5,3.3
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Same County,545,363,4.6,3.0
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County,815,278,6.9,2.3
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Same State,563,243,4.8,2.1
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Different State,252,135,2.1,1.1
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Abroad,5,11,0.0,0.1
Estimate Place Of Birth Total Population,11943,749,11943,(X)
Estimate Place Of Birth Total Population Native,11134,755,93.2,2.0
Estimate Place Of Birth Total Population Native Born In United States,10822,699,90.6,2.7
Estimate Place Of Birth Total Population Native Born In United States State Of Residence,8636,613,72.3,3.8
Estimate Place Of Birth Total Population Native Born In United States Different State,2186,394,18.3,2.9
"Estimate Place Of Birth Total Population Native Born In Puerto Rico, U.S. Island Areas, Or Born Abroad To American Parent(S)",312,252,2.6,2.1
Estimate Place Of Birth Total Population Foreign Born,809,242,6.8,2.0
Estimate U.S. Citizenship Status Foreign-Born Population,809,242,809,(X)
Estimate U.S. Citizenship Status Foreign-Born Population Naturalized U.S. Citizen,637,199,78.7,8.3
Estimate U.S. Citizenship Status Foreign-Born Population Not A U.S. Citizen,172,85,21.3,8.3
Estimate Year Of Entry Population Born Outside The United States,1121,346,1121,(X)
Estimate Year Of Entry Population Born Outside The United States Native,312,252,312,(X)
Estimate Year Of Entry Population Born Outside The United States Native Entered 2010 Or Later,231,251,74.0,29.1
Estimate Year Of Entry Population Born Outside The United States Native Entered Before 2010,81,44,26.0,29.1
Estimate Year Of Entry Population Born Outside The United States Foreign Born,809,242,809,(X)
Estimate Year Of Entry Population Born Outside The United States Foreign Born Entered 2010 Or Later,88,57,10.9,6.9
Estimate Year Of Entry Population Born Outside The United States Foreign Born Entered Before 2010,721,233,89.1,6.9
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea",809,242,809,(X)
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Europe",192,92,23.7,11.4
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Asia",313,179,38.7,16.4
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Africa",26,34,3.2,4.5
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Oceania",0,21,0.0,4.8
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Latin America",263,156,32.5,15.7
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Northern America",15,23,1.9,3.0
Estimate Language Spoken At Home Population 5 Years And Over,11520,692,11520,(X)
Estimate Language Spoken At Home Population 5 Years And Over English Only,10572,655,91.8,3.3
Estimate Language Spoken At Home Population 5 Years And Over Language Other Than English,948,403,8.2,3.3
"Estimate Language Spoken At Home Population 5 Years And Over Language Other Than English Speak English Less Than ""Very Well""",199,112,1.7,0.9
Estimate Language Spoken At Home Population 5 Years And Over Spanish,482,361,4.2,3.1
"Estimate Language Spoken At Home Population 5 Years And Over Spanish Speak English Less Than ""Very Well""",88,94,0.8,0.8
Estimate Language Spoken At Home Population 5 Years And Over Other Indo-European Languages,369,184,3.2,1.6
"Estimate Language Spoken At Home Population 5 Years And Over Other Indo-European Languages Speak English Less Than ""Very Well""",98,67,0.9,0.6
Estimate Language Spoken At Home Population 5 Years And Over Asian And Pacific Islander Languages,61,72,0.5,0.6
"Estimate Language Spoken At Home Population 5 Years And Over Asian And Pacific Islander Languages Speak English Less Than ""Very Well""",13,16,0.1,0.1
Estimate Language Spoken At Home Population 5 Years And Over Other Languages,36,38,0.3,0.3
"Estimate Language Spoken At Home Population 5 Years And Over Other Languages Speak English Less Than ""Very Well""",0,21,0.0,0.3
Estimate Ancestry Total Population,11943,749,11943,(X)
Estimate Ancestry Total Population American,907,394,7.6,3.2
Estimate Ancestry Total Population Arab,139,143,1.2,1.2
Estimate Ancestry Total Population Czech,0,21,0.0,0.3
Estimate Ancestry Total Population Danish,31,29,0.3,0.2
Estimate Ancestry Total Population Dutch,56,52,0.5,0.4
Estimate Ancestry Total Population English,1683,374,14.1,3.1
Estimate Ancestry Total Population French (Except Basque),564,262,4.7,2.1
Estimate Ancestry Total Population French Canadian,265,132,2.2,1.1
Estimate Ancestry Total Population German,647,183,5.4,1.5
Estimate Ancestry Total Population Greek,192,110,1.6,0.9
Estimate Ancestry Total Population Hungarian,33,36,0.3,0.3
Estimate Ancestry Total Population Irish,3754,586,31.4,4.4
Estimate Ancestry Total Population Italian,1272,284,10.7,2.4
Estimate Ancestry Total Population Lithuanian,44,31,0.4,0.3
Estimate Ancestry Total Population Norwegian,60,45,0.5,0.4
Estimate Ancestry Total Population Polish,361,154,3.0,1.3
Estimate Ancestry Total Population Portuguese,476,292,4.0,2.4
Estimate Ancestry Total Population Russian,274,195,2.3,1.6
Estimate Ancestry Total Population Scotch-Irish,86,53,0.7,0.5
Estimate Ancestry Total Population Scottish,251,136,2.1,1.1
Estimate Ancestry Total Population Slovak,25,29,0.2,0.2
Estimate Ancestry Total Population Subsaharan African,82,89,0.7,0.7
Estimate Ancestry Total Population Swedish,223,90,1.9,0.8
Estimate Ancestry Total Population Swiss,4,7,0.0,0.1
Estimate Ancestry Total Population Ukrainian,31,30,0.3,0.2
Estimate Ancestry Total Population Welsh,57,84,0.5,0.7
Estimate Ancestry Total Population West Indian (Excluding Hispanic Origin Groups),497,369,4.2,3.1
Estimate Computers And Internet Use Total Households,4511,299,4511,(X)
Estimate Computers And Internet Use Total Households With A Computer,4279,306,94.9,2.1
Estimate Computers And Internet Use Total Households With A Broadband Internet Subscription,4175,303,92.6,2.7
