,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,3044,349,3044,(X)
Estimate Households By Type Total Households Married-Couple Household,1286,268,42.2,8.2
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,435,184,14.3,5.8
Estimate Households By Type Total Households Cohabiting Couple Household,78,55,2.6,1.8
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,23,33,0.8,1.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",775,260,25.5,8.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",105,113,3.4,3.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",602,235,19.8,7.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",292,151,9.6,4.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",905,262,29.7,7.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",90,71,3.0,2.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",521,206,17.1,5.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",343,176,11.3,5.3
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,726,216,23.9,6.8
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,1427,270,46.9,7.2
Estimate Households By Type Total Households Average Household Size,2.87,0.31,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.59,0.40,(X),(X)
Estimate Relationship Population In Households,8732,641,8732,(X)
Estimate Relationship Population In Households Householder,3044,349,34.9,3.9
Estimate Relationship Population In Households Spouse,1290,281,14.8,3.1
Estimate Relationship Population In Households Unmarried Partner,122,88,1.4,1.0
Estimate Relationship Population In Households Child,2594,408,29.7,3.9
Estimate Relationship Population In Households Other Relatives,674,473,7.7,5.4
Estimate Relationship Population In Households Other Nonrelatives,1008,477,11.5,5.2
Estimate Marital Status Males 15 Years And Over,3969,383,3969,(X)
Estimate Marital Status Males 15 Years And Over Never Married,1663,392,41.9,8.2
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",1651,395,41.6,10.0
Estimate Marital Status Males 15 Years And Over Separated,0,19,0.0,1.0
Estimate Marital Status Males 15 Years And Over Widowed,33,53,0.8,1.3
Estimate Marital Status Males 15 Years And Over Divorced,622,248,15.7,6.0
Estimate Marital Status Females 15 Years And Over,3431,494,3431,(X)
Estimate Marital Status Females 15 Years And Over Never Married,891,398,26.0,10.4
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",1554,353,45.3,9.8
Estimate Marital Status Females 15 Years And Over Separated,66,98,1.9,2.8
Estimate Marital Status Females 15 Years And Over Widowed,489,269,14.3,7.0
Estimate Marital Status Females 15 Years And Over Divorced,431,238,12.6,7.0
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,86,101,86,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",15,35,17.4,32.4
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",18,42,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",61,66,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,238,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",26,60,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",103,110,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,245,280,245,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,30,51,12.2,28.4
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,19,0.0,15.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,30,51,12.2,28.4
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,0,19,0.0,15.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,0,19,0.0,15.0
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,30,51,30,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,0,19,0.0,60.1
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,30,51,100.0,60.1
Estimate School Enrollment Population 3 Years And Over Enrolled In School,1871,369,1871,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",96,99,5.1,5.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,0,19,0.0,2.1
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),879,243,47.0,11.4
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),490,141,26.2,8.1
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,406,242,21.7,10.7
Estimate Educational Attainment Population 25 Years And Over,6649,541,6649,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,57,73,0.9,1.1
"Estimate Educational Attainment Population 25 Years And Over 9Th To 12Th Grade, No Diploma",190,153,2.9,2.4
Estimate Educational Attainment Population 25 Years And Over High School Graduate (Includes Equivalency),1869,461,28.1,7.0
"Estimate Educational Attainment Population 25 Years And Over Some College, No Degree",1078,297,16.2,4.3
Estimate Educational Attainment Population 25 Years And Over Associate'S Degree,475,255,7.1,3.8
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree,1659,453,25.0,6.3
Estimate Educational Attainment Population 25 Years And Over Graduate Or Professional Degree,1321,362,19.9,4.8
Estimate Educational Attainment Population 25 Years And Over High School Graduate Or Higher,6402,597,96.3,2.7
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree Or Higher,2980,613,44.8,7.5
Estimate Veteran Status Civilian Population 18 Years And Over,7075,563,7075,(X)
Estimate Veteran Status Civilian Population 18 Years And Over Civilian Veterans,486,172,6.9,2.4
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population,8793,652,8793,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population With A Disability,1160,457,13.2,5.1
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years,1718,336,1718,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years With A Disability,0,19,0.0,2.3
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years,4991,456,4991,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years With A Disability,182,166,3.6,3.4
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over,2084,404,2084,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over With A Disability,978,384,46.9,13.5
Estimate Residence 1 Year Ago Population 1 Year And Over,8743,632,8743,(X)
Estimate Residence 1 Year Ago Population 1 Year And Over Same House,8011,565,91.6,4.3
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad),732,395,8.4,4.3
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S.,732,395,8.4,4.3
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Same County,245,175,2.8,2.0
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County,487,343,5.6,3.8
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Same State,169,194,1.9,2.2
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Different State,318,298,3.6,3.3
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Abroad,0,19,0.0,0.5
Estimate Place Of Birth Total Population,8810,652,8810,(X)
Estimate Place Of Birth Total Population Native,7573,920,86.0,7.2
Estimate Place Of Birth Total Population Native Born In United States,7446,907,84.5,7.2
Estimate Place Of Birth Total Population Native Born In United States State Of Residence,4614,857,52.4,8.5
Estimate Place Of Birth Total Population Native Born In United States Different State,2832,586,32.1,6.1
"Estimate Place Of Birth Total Population Native Born In Puerto Rico, U.S. Island Areas, Or Born Abroad To American Parent(S)",127,106,1.4,1.2
Estimate Place Of Birth Total Population Foreign Born,1237,626,14.0,7.2
Estimate U.S. Citizenship Status Foreign-Born Population,1237,626,1237,(X)
Estimate U.S. Citizenship Status Foreign-Born Population Naturalized U.S. Citizen,740,442,59.8,21.0
Estimate U.S. Citizenship Status Foreign-Born Population Not A U.S. Citizen,497,358,40.2,21.0
Estimate Year Of Entry Population Born Outside The United States,1364,625,1364,(X)
Estimate Year Of Entry Population Born Outside The United States Native,127,106,127,(X)
Estimate Year Of Entry Population Born Outside The United States Native Entered 2010 Or Later,91,90,71.7,39.0
Estimate Year Of Entry Population Born Outside The United States Native Entered Before 2010,36,58,28.3,39.0
Estimate Year Of Entry Population Born Outside The United States Foreign Born,1237,626,1237,(X)
Estimate Year Of Entry Population Born Outside The United States Foreign Born Entered 2010 Or Later,175,162,14.1,9.2
Estimate Year Of Entry Population Born Outside The United States Foreign Born Entered Before 2010,1062,517,85.9,9.2
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea",1237,626,1237,(X)
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Europe",160,153,12.9,14.5
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Asia",0,19,0.0,3.2
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Africa",0,19,0.0,3.2
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Oceania",0,19,0.0,3.2
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Latin America",1027,617,83.0,16.0
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Northern America",50,71,4.0,6.2
