,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,8001,441,8001,(X)
Estimate Households By Type Total Households Married-Couple Household,3367,375,42.1,4.2
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,1355,293,16.9,3.4
Estimate Households By Type Total Households Cohabiting Couple Household,952,284,11.9,3.3
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,68,53,0.8,0.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",1625,304,20.3,3.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",96,82,1.2,1.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",1003,248,12.5,3.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",418,159,5.2,2.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",2057,335,25.7,4.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",111,84,1.4,1.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",1447,299,18.1,3.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",589,205,7.4,2.5
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,1885,254,23.6,2.9
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,2660,341,33.2,4.1
Estimate Households By Type Total Households Average Household Size,2.45,0.11,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.20,0.13,(X),(X)
Estimate Relationship Population In Households,19623,1229,19623,(X)
Estimate Relationship Population In Households Householder,8001,441,40.8,1.7
Estimate Relationship Population In Households Spouse,3355,397,17.1,1.6
Estimate Relationship Population In Households Unmarried Partner,895,273,4.6,1.3
Estimate Relationship Population In Households Child,3901,493,19.9,2.2
Estimate Relationship Population In Households Other Relatives,2134,475,10.9,2.3
Estimate Relationship Population In Households Other Nonrelatives,1337,469,6.8,2.3
Estimate Marital Status Males 15 Years And Over,8993,771,8993,(X)
Estimate Marital Status Males 15 Years And Over Never Married,3896,617,43.3,4.6
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",4362,501,48.5,4.9
