,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,333,107,333,(X)
Estimate Households By Type Total Households Married-Couple Household,135,109,40.5,27.4
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,84,99,25.2,26.2
Estimate Households By Type Total Households Cohabiting Couple Household,96,81,28.8,24.2
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,0,13,0.0,11.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",39,45,11.7,13.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",26,39,7.8,11.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",13,21,3.9,6.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",0,13,0.0,11.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",63,52,18.9,15.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",0,13,0.0,11.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",34,30,10.2,9.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",23,25,6.9,7.4
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,110,105,33.0,26.4
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,64,58,19.2,19.4
Estimate Households By Type Total Households Average Household Size,2.40,0.34,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.77,0.50,(X),(X)
Estimate Relationship Population In Households,800,301,800,(X)
Estimate Relationship Population In Households Householder,333,107,41.6,6.0
Estimate Relationship Population In Households Spouse,124,92,15.5,9.3
Estimate Relationship Population In Households Unmarried Partner,99,83,12.4,11.1
Estimate Relationship Population In Households Child,212,176,26.5,15.9
Estimate Relationship Population In Households Other Relatives,0,13,0.0,4.9
Estimate Relationship Population In Households Other Nonrelatives,32,52,4.0,7.1
Estimate Marital Status Males 15 Years And Over,319,130,319,(X)
Estimate Marital Status Males 15 Years And Over Never Married,112,86,35.1,20.0
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",120,89,37.6,29.9
Estimate Marital Status Males 15 Years And Over Separated,0,13,0.0,11.8
Estimate Marital Status Males 15 Years And Over Widowed,0,13,0.0,11.8
Estimate Marital Status Males 15 Years And Over Divorced,87,77,27.3,19.3
Estimate Marital Status Females 15 Years And Over,327,129,327,(X)
Estimate Marital Status Females 15 Years And Over Never Married,66,72,20.2,18.7
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",168,115,51.4,26.1
Estimate Marital Status Females 15 Years And Over Separated,0,13,0.0,11.5
Estimate Marital Status Females 15 Years And Over Widowed,23,25,7.0,7.6
Estimate Marital Status Females 15 Years And Over Divorced,70,66,21.4,22.8
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,84,99,84,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",0,13,0.0,35.6
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",0,405,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",387,375,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,611,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",493,465,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",275,525,(X),(X)
