,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,198,39,198,(X)
Estimate Households By Type Total Households Married-Couple Household,101,30,51.0,12.1
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,26,19,13.1,9.2
Estimate Households By Type Total Households Cohabiting Couple Household,22,14,11.1,7.4
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,0,13,0.0,18.2
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",31,18,15.7,8.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",0,13,0.0,18.2
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",26,17,13.1,7.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",11,9,5.6,4.5
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",44,26,22.2,11.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",3,4,1.5,2.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",23,17,11.6,8.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",8,9,4.0,4.5
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,29,20,14.6,9.5
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,91,28,46.0,12.0
Estimate Households By Type Total Households Average Household Size,2.17,0.30,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.64,0.41,(X),(X)
Estimate Relationship Population In Households,430,100,430,(X)
Estimate Relationship Population In Households Householder,198,39,46.0,6.4
Estimate Relationship Population In Households Spouse,102,31,23.7,5.0
Estimate Relationship Population In Households Unmarried Partner,24,17,5.6,4.2
Estimate Relationship Population In Households Child,73,51,17.0,9.2
Estimate Relationship Population In Households Other Relatives,12,11,2.8,2.5
Estimate Relationship Population In Households Other Nonrelatives,21,17,4.9,3.8
Estimate Marital Status Males 15 Years And Over,169,38,169,(X)
Estimate Marital Status Males 15 Years And Over Never Married,34,18,20.1,9.0
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",100,28,59.2,11.9
Estimate Marital Status Males 15 Years And Over Separated,12,13,7.1,7.7
Estimate Marital Status Males 15 Years And Over Widowed,7,7,4.1,4.1
Estimate Marital Status Males 15 Years And Over Divorced,16,10,9.5,5.7
Estimate Marital Status Females 15 Years And Over,210,54,210,(X)
Estimate Marital Status Females 15 Years And Over Never Married,48,30,22.9,11.2
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",118,41,56.2,13.9
Estimate Marital Status Females 15 Years And Over Separated,9,15,4.3,6.9
Estimate Marital Status Females 15 Years And Over Widowed,13,10,6.2,5.1
Estimate Marital Status Females 15 Years And Over Divorced,22,13,10.5,6.7
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,0,13,0,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",0,13,-666666666.0,-222222222.0
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",0,633,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",0,388,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,1000,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",0,548,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",0,601,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,0,13,0,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,0,13,-666666666.0,-222222222.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,13,-666666666.0,-222222222.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,0,13,-666666666.0,-222222222.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,0,13,-666666666.0,-222222222.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,0,13,-666666666.0,-222222222.0
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,0,13,0,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,0,13,-666666666.0,-222222222.0
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,0,13,-666666666.0,-222222222.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School,65,40,65,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",8,11,12.3,11.6
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,0,13,0.0,40.8
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),35,30,53.8,19.9
