,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,2726,124,2726,(X)
Estimate Households By Type Total Households Married-Couple Household,1769,138,64.9,5.3
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,875,170,32.1,6.1
Estimate Households By Type Total Households Cohabiting Couple Household,126,68,4.6,2.5
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,13,21,0.5,0.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",371,109,13.6,3.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",23,32,0.8,1.2
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",257,76,9.4,2.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",79,36,2.9,1.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",460,122,16.9,4.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",38,38,1.4,1.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",312,96,11.4,3.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",200,71,7.3,2.5
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,995,157,36.5,5.8
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,811,107,29.8,3.8
Estimate Households By Type Total Households Average Household Size,2.75,0.12,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.22,0.15,(X),(X)
Estimate Relationship Population In Households,7486,118,7486,(X)
Estimate Relationship Population In Households Householder,2726,124,36.4,1.6
Estimate Relationship Population In Households Spouse,1789,182,23.9,2.4
Estimate Relationship Population In Households Unmarried Partner,135,70,1.8,0.9
Estimate Relationship Population In Households Child,2441,203,32.6,2.6
Estimate Relationship Population In Households Other Relatives,288,100,3.8,1.3
Estimate Relationship Population In Households Other Nonrelatives,107,72,1.4,1.0
Estimate Marital Status Males 15 Years And Over,3118,186,3118,(X)
Estimate Marital Status Males 15 Years And Over Never Married,993,216,31.8,5.6
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",1859,149,59.6,5.4
Estimate Marital Status Males 15 Years And Over Separated,8,12,0.3,0.4
Estimate Marital Status Males 15 Years And Over Widowed,56,33,1.8,1.0
Estimate Marital Status Males 15 Years And Over Divorced,202,90,6.5,2.9
Estimate Marital Status Females 15 Years And Over,3203,165,3203,(X)
Estimate Marital Status Females 15 Years And Over Never Married,751,152,23.4,4.2
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",1844,150,57.6,5.2
Estimate Marital Status Females 15 Years And Over Separated,13,15,0.4,0.5
Estimate Marital Status Females 15 Years And Over Widowed,317,105,9.9,3.2
Estimate Marital Status Females 15 Years And Over Divorced,278,97,8.7,2.9
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,59,43,59,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",24,28,40.7,32.8
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",32,37,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",33,24,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,149,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",46,48,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",32,33,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,87,61,87,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,19,27,21.8,29.5
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,19,0.0,34.9
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,19,27,21.8,29.5
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,0,19,0.0,34.9
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,0,19,0.0,34.9
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,19,27,19,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,9,13,47.4,8.5
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,19,27,100.0,75.5
Estimate School Enrollment Population 3 Years And Over Enrolled In School,1751,251,1751,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",66,50,3.8,2.8
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,111,59,6.3,3.2
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),717,137,40.9,5.8
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),474,127,27.1,5.9
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,383,114,21.9,5.6
Estimate Educational Attainment Population 25 Years And Over,5404,198,5404,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,31,24,0.6,0.4
"Estimate Educational Attainment Population 25 Years And Over 9Th To 12Th Grade, No Diploma",135,71,2.5,1.3
Estimate Educational Attainment Population 25 Years And Over High School Graduate (Includes Equivalency),1631,240,30.2,4.4
"Estimate Educational Attainment Population 25 Years And Over Some College, No Degree",883,180,16.3,3.6
Estimate Educational Attainment Population 25 Years And Over Associate'S Degree,482,126,8.9,2.3
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree,1584,383,29.3,6.6
Estimate Educational Attainment Population 25 Years And Over Graduate Or Professional Degree,658,143,12.2,2.7
Estimate Educational Attainment Population 25 Years And Over High School Graduate Or Higher,5238,198,96.9,1.3
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree Or Higher,2242,368,41.5,6.2
Estimate Veteran Status Civilian Population 18 Years And Over,5981,157,5981,(X)
Estimate Veteran Status Civilian Population 18 Years And Over Civilian Veterans,392,110,6.6,1.8
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population,7486,118,7486,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population With A Disability,573,150,7.7,2.0
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years,1641,157,1641,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years With A Disability,44,38,2.7,2.4
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years,4725,245,4725,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years With A Disability,252,95,5.3,2.0
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over,1120,148,1120,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over With A Disability,277,96,24.7,8.2
Estimate Residence 1 Year Ago Population 1 Year And Over,7498,128,7498,(X)
Estimate Residence 1 Year Ago Population 1 Year And Over Same House,7082,201,94.5,2.5
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad),416,186,5.5,2.5
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S.,416,186,5.5,2.5
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Same County,295,166,3.9,2.2
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County,121,61,1.6,0.8
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Same State,77,54,1.0,0.7
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Different State,44,30,0.6,0.4
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Abroad,0,19,0.0,0.5
Estimate Place Of Birth Total Population,7622,35,7622,(X)
Estimate Place Of Birth Total Population Native,7276,182,95.5,2.3
Estimate Place Of Birth Total Population Native Born In United States,7233,194,94.9,2.5
