,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,13400,636,13400,(X)
Estimate Households By Type Total Households Married-Couple Household,5214,453,38.9,3.4
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,1508,336,11.3,2.5
Estimate Households By Type Total Households Cohabiting Couple Household,873,232,6.5,1.7
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,373,144,2.8,1.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",3031,464,22.6,3.2
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",313,204,2.3,1.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",2144,392,16.0,2.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",1146,329,8.6,2.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",4282,507,32.0,3.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",912,268,6.8,2.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",2177,455,16.2,3.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",1195,310,8.9,2.2
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,3519,367,26.3,2.7
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,4951,399,36.9,2.6
Estimate Households By Type Total Households Average Household Size,2.29,0.09,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.85,0.10,(X),(X)
Estimate Relationship Population In Households,30641,1340,30641,(X)
Estimate Relationship Population In Households Householder,13400,636,43.7,1.8
Estimate Relationship Population In Households Spouse,5064,406,16.5,1.2
Estimate Relationship Population In Households Unmarried Partner,867,235,2.8,0.8
Estimate Relationship Population In Households Child,8825,874,28.8,2.2
Estimate Relationship Population In Households Other Relatives,1563,368,5.1,1.2
Estimate Relationship Population In Households Other Nonrelatives,922,240,3.0,0.8
Estimate Marital Status Males 15 Years And Over,13282,873,13282,(X)
Estimate Marital Status Males 15 Years And Over Never Married,5537,665,41.7,3.4
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",5418,494,40.8,3.5
Estimate Marital Status Males 15 Years And Over Separated,139,93,1.0,0.7
Estimate Marital Status Males 15 Years And Over Widowed,387,143,2.9,1.1
Estimate Marital Status Males 15 Years And Over Divorced,1801,329,13.6,2.3
