,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,27629,723,27629,(X)
Estimate Households By Type Total Households Married-Couple Household,10552,627,38.2,2.5
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,3974,480,14.4,1.8
Estimate Households By Type Total Households Cohabiting Couple Household,2206,337,8.0,1.2
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,386,172,1.4,0.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",6519,750,23.6,2.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",93,68,0.3,0.2
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",4542,600,16.4,2.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",1307,328,4.7,1.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",8352,700,30.2,2.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",869,215,3.1,0.8
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",5454,469,19.7,1.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",2265,331,8.2,1.2
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,6107,448,22.1,1.7
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,7647,623,27.7,2.1
Estimate Households By Type Total Households Average Household Size,2.17,0.05,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.93,0.08,(X),(X)
Estimate Relationship Population In Households,59966,1479,59966,(X)
Estimate Relationship Population In Households Householder,27629,723,46.1,1.1
Estimate Relationship Population In Households Spouse,10511,651,17.5,1.1
Estimate Relationship Population In Households Unmarried Partner,2277,376,3.8,0.6
Estimate Relationship Population In Households Child,12412,832,20.7,1.3
Estimate Relationship Population In Households Other Relatives,4585,874,7.6,1.4
Estimate Relationship Population In Households Other Nonrelatives,2552,582,4.3,0.9
Estimate Marital Status Males 15 Years And Over,25611,936,25611,(X)
Estimate Marital Status Males 15 Years And Over Never Married,10865,1040,42.4,3.3
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",11751,722,45.9,2.9
Estimate Marital Status Males 15 Years And Over Separated,493,182,1.9,0.7
Estimate Marital Status Males 15 Years And Over Widowed,626,239,2.4,0.9
Estimate Marital Status Males 15 Years And Over Divorced,1876,440,7.3,1.7
Estimate Marital Status Females 15 Years And Over,26517,966,26517,(X)
Estimate Marital Status Females 15 Years And Over Never Married,9796,920,36.9,2.8
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",11583,680,43.7,2.6
Estimate Marital Status Females 15 Years And Over Separated,528,189,2.0,0.7
Estimate Marital Status Females 15 Years And Over Widowed,1726,300,6.5,1.2
Estimate Marital Status Females 15 Years And Over Divorced,2884,494,10.9,1.8
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,854,235,854,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",168,123,19.7,12.3
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",18,13,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",54,15,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",36,58,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",67,23,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",38,22,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,1393,336,1393,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,277,129,19.9,8.5
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,69,60,5.0,4.2
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,35,41,2.5,3.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,44,38,3.2,2.8
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,129,85,9.3,5.9
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,277,129,277,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,161,98,58.1,22.0
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,143,88,51.6,23.3
Estimate School Enrollment Population 3 Years And Over Enrolled In School,11244,955,11244,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",1353,368,12.0,3.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,645,234,5.7,1.9
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),3470,435,30.9,4.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),1469,274,13.1,2.2
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,4307,633,38.3,3.9
Estimate Educational Attainment Population 25 Years And Over,46929,1276,46929,(X)
