,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,5424,228,5424,(X)
Estimate Households By Type Total Households Married-Couple Household,3930,207,72.5,4.1
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,1841,195,33.9,3.9
Estimate Households By Type Total Households Cohabiting Couple Household,72,67,1.3,1.2
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,0,21,0.0,0.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",390,123,7.2,2.2
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",0,21,0.0,0.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",288,90,5.3,1.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",166,77,3.1,1.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",1032,197,19.0,3.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",141,53,2.6,1.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",716,164,13.2,2.8
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",552,151,10.2,2.6
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,2068,201,38.1,4.2
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,2092,243,38.6,4.2
Estimate Households By Type Total Households Average Household Size,2.94,0.12,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.37,0.13,(X),(X)
Estimate Relationship Population In Households,15973,151,15973,(X)
Estimate Relationship Population In Households Householder,5424,228,34.0,1.4
Estimate Relationship Population In Households Spouse,3900,207,24.4,1.2
Estimate Relationship Population In Households Unmarried Partner,69,66,0.4,0.4
Estimate Relationship Population In Households Child,5855,288,36.7,1.8
Estimate Relationship Population In Households Other Relatives,636,244,4.0,1.5
Estimate Relationship Population In Households Other Nonrelatives,89,112,0.6,0.7
Estimate Marital Status Males 15 Years And Over,6152,505,6152,(X)
Estimate Marital Status Males 15 Years And Over Never Married,1816,364,29.5,4.4
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",4005,311,65.1,4.5
Estimate Marital Status Males 15 Years And Over Separated,15,16,0.2,0.3
Estimate Marital Status Males 15 Years And Over Widowed,159,73,2.6,1.2
Estimate Marital Status Males 15 Years And Over Divorced,157,99,2.6,1.6
Estimate Marital Status Females 15 Years And Over,6648,446,6648,(X)
Estimate Marital Status Females 15 Years And Over Never Married,1252,245,18.8,2.8
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",4161,213,62.6,4.0
Estimate Marital Status Females 15 Years And Over Separated,96,67,1.4,1.0
Estimate Marital Status Females 15 Years And Over Widowed,622,197,9.4,2.5
Estimate Marital Status Females 15 Years And Over Divorced,517,162,7.8,2.4
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,197,93,197,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",0,21,0.0,18.3
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",0,33,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",65,31,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,63,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",108,90,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",69,45,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,239,151,239,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,9,15,3.8,6.8
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,21,0.0,15.4
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,0,21,0.0,15.4
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,0,21,0.0,15.4
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,9,15,3.8,6.8
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,9,15,9,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,4,8,44.4,21.7
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,9,15,100.0,100.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School,4450,342,4450,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",358,123,8.0,2.7
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,197,88,4.4,1.9
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),1995,269,44.8,5.1
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),1035,255,23.3,5.1
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,865,195,19.4,4.4
Estimate Educational Attainment Population 25 Years And Over,10772,386,10772,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,77,59,0.7,0.5
"Estimate Educational Attainment Population 25 Years And Over 9Th To 12Th Grade, No Diploma",244,166,2.3,1.5
Estimate Educational Attainment Population 25 Years And Over High School Graduate (Includes Equivalency),993,254,9.2,2.4
"Estimate Educational Attainment Population 25 Years And Over Some College, No Degree",1062,315,9.9,2.7
Estimate Educational Attainment Population 25 Years And Over Associate'S Degree,685,256,6.4,2.4
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree,3975,388,36.9,3.4
Estimate Educational Attainment Population 25 Years And Over Graduate Or Professional Degree,3736,407,34.7,3.9
Estimate Educational Attainment Population 25 Years And Over High School Graduate Or Higher,10451,422,97.0,1.6
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree Or Higher,7711,449,71.6,4.1
Estimate Veteran Status Civilian Population 18 Years And Over,11961,355,11961,(X)
Estimate Veteran Status Civilian Population 18 Years And Over Civilian Veterans,662,179,5.5,1.4
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population,15978,150,15978,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population With A Disability,1353,225,8.5,1.4
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years,4105,357,4105,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years With A Disability,49,44,1.2,1.1
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years,9002,453,9002,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years With A Disability,353,116,3.9,1.3
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over,2871,331,2871,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over With A Disability,951,198,33.1,6.5
Estimate Residence 1 Year Ago Population 1 Year And Over,15873,109,15873,(X)
Estimate Residence 1 Year Ago Population 1 Year And Over Same House,14453,879,91.1,5.6
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad),1420,884,8.9,5.6
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S.,1338,915,8.4,5.8
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Same County,1052,895,6.6,5.6
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County,286,147,1.8,0.9
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Same State,119,67,0.7,0.4
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Different State,167,138,1.1,0.9
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Abroad,82,105,0.5,0.7
Estimate Place Of Birth Total Population,16066,39,16066,(X)
Estimate Place Of Birth Total Population Native,13789,440,85.8,2.7
Estimate Place Of Birth Total Population Native Born In United States,13672,453,85.1,2.8
Estimate Place Of Birth Total Population Native Born In United States State Of Residence,10285,502,64.0,3.1
Estimate Place Of Birth Total Population Native Born In United States Different State,3387,437,21.1,2.7
"Estimate Place Of Birth Total Population Native Born In Puerto Rico, U.S. Island Areas, Or Born Abroad To American Parent(S)",117,71,0.7,0.4
Estimate Place Of Birth Total Population Foreign Born,2277,438,14.2,2.7
Estimate U.S. Citizenship Status Foreign-Born Population,2277,438,2277,(X)
Estimate U.S. Citizenship Status Foreign-Born Population Naturalized U.S. Citizen,1485,249,65.2,11.2
Estimate U.S. Citizenship Status Foreign-Born Population Not A U.S. Citizen,792,360,34.8,11.2
Estimate Year Of Entry Population Born Outside The United States,2394,452,2394,(X)
Estimate Year Of Entry Population Born Outside The United States Native,117,71,117,(X)
Estimate Year Of Entry Population Born Outside The United States Native Entered 2010 Or Later,14,27,12.0,20.3
Estimate Year Of Entry Population Born Outside The United States Native Entered Before 2010,103,65,88.0,20.3
Estimate Year Of Entry Population Born Outside The United States Foreign Born,2277,438,2277,(X)
Estimate Year Of Entry Population Born Outside The United States Foreign Born Entered 2010 Or Later,569,304,25.0,10.3
Estimate Year Of Entry Population Born Outside The United States Foreign Born Entered Before 2010,1708,284,75.0,10.3
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea",2277,438,2277,(X)
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Europe",559,212,24.5,7.6
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Asia",1354,365,59.5,9.3
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Africa",47,48,2.1,2.1
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Oceania",23,27,1.0,1.2
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Latin America",234,107,10.3,5.6
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Northern America",60,74,2.6,3.1
Estimate Language Spoken At Home Population 5 Years And Over,15158,199,15158,(X)
Estimate Language Spoken At Home Population 5 Years And Over English Only,12580,577,83.0,3.7
Estimate Language Spoken At Home Population 5 Years And Over Language Other Than English,2578,572,17.0,3.7
