,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,3567,136,3567,(X)
Estimate Households By Type Total Households Married-Couple Household,2668,135,74.8,4.5
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,1515,139,42.5,4.4
Estimate Households By Type Total Households Cohabiting Couple Household,133,104,3.7,2.9
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,13,15,0.4,0.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",256,82,7.2,2.2
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",0,21,0.0,1.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",227,71,6.4,1.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",118,57,3.3,1.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",510,136,14.3,3.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",115,71,3.2,2.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",241,84,6.8,2.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",176,76,4.9,2.1
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,1676,148,47.0,4.6
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,1064,121,29.8,3.3
Estimate Households By Type Total Households Average Household Size,3.09,0.11,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.46,0.12,(X),(X)
Estimate Relationship Population In Households,11039,107,11039,(X)
Estimate Relationship Population In Households Householder,3567,136,32.3,1.2
Estimate Relationship Population In Households Spouse,2681,137,24.3,1.3
Estimate Relationship Population In Households Unmarried Partner,123,92,1.1,0.8
Estimate Relationship Population In Households Child,4356,211,39.5,1.9
Estimate Relationship Population In Households Other Relatives,301,110,2.7,1.0
Estimate Relationship Population In Households Other Nonrelatives,11,20,0.1,0.2
Estimate Marital Status Males 15 Years And Over,4190,205,4190,(X)
Estimate Marital Status Males 15 Years And Over Never Married,1219,230,29.1,4.5
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",2720,145,64.9,4.4
Estimate Marital Status Males 15 Years And Over Separated,0,21,0.0,0.9
Estimate Marital Status Males 15 Years And Over Widowed,96,51,2.3,1.2
Estimate Marital Status Males 15 Years And Over Divorced,155,72,3.7,1.7
Estimate Marital Status Females 15 Years And Over,4461,246,4461,(X)
Estimate Marital Status Females 15 Years And Over Never Married,1041,200,23.3,3.6
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",2758,161,61.8,4.5
Estimate Marital Status Females 15 Years And Over Separated,32,29,0.7,0.6
Estimate Marital Status Females 15 Years And Over Widowed,296,87,6.6,1.8
Estimate Marital Status Females 15 Years And Over Divorced,334,126,7.5,2.7
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,144,87,144,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",12,27,8.3,19.6
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",11,27,(X),(X)
