,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,1873,175,1873,(X)
Estimate Households By Type Total Households Married-Couple Household,1572,173,83.9,5.1
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,677,121,36.1,5.8
Estimate Households By Type Total Households Cohabiting Couple Household,8,13,0.4,0.7
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,0,19,0.0,2.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",62,42,3.3,2.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",16,17,0.9,0.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",37,37,2.0,2.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",30,36,1.6,1.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",231,96,12.3,4.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",53,58,2.8,3.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",115,66,6.1,3.5
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",60,44,3.2,2.3
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,774,134,41.3,5.9
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,676,111,36.1,5.5
Estimate Households By Type Total Households Average Household Size,2.78,0.15,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.94,0.16,(X),(X)
Estimate Relationship Population In Households,5208,535,5208,(X)
Estimate Relationship Population In Households Householder,1873,175,36.0,2.0
Estimate Relationship Population In Households Spouse,1551,160,29.8,2.2
Estimate Relationship Population In Households Unmarried Partner,8,12,0.2,0.2
Estimate Relationship Population In Households Child,1599,260,30.7,3.3
Estimate Relationship Population In Households Other Relatives,177,148,3.4,2.7
Estimate Relationship Population In Households Other Nonrelatives,0,19,0.0,0.8
Estimate Marital Status Males 15 Years And Over,1941,220,1941,(X)
Estimate Marital Status Males 15 Years And Over Never Married,256,84,13.2,3.5
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",1618,181,83.4,4.0
Estimate Marital Status Males 15 Years And Over Separated,6,10,0.3,0.5
Estimate Marital Status Males 15 Years And Over Widowed,33,28,1.7,1.5
Estimate Marital Status Males 15 Years And Over Divorced,28,34,1.4,1.8
Estimate Marital Status Females 15 Years And Over,2227,236,2227,(X)
Estimate Marital Status Females 15 Years And Over Never Married,392,116,17.6,4.2
