,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,8075,257,8075,(X)
Estimate Households By Type Total Households Married-Couple Household,5132,261,63.6,3.0
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,2169,203,26.9,2.8
Estimate Households By Type Total Households Cohabiting Couple Household,301,121,3.7,1.5
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,48,41,0.6,0.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",776,154,9.6,1.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",70,51,0.9,0.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",582,140,7.2,1.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",249,87,3.1,1.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",1866,260,23.1,3.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",315,153,3.9,1.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",1210,227,15.0,2.5
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",691,172,8.6,2.0
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,2686,202,33.3,3.0
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,2973,307,36.8,3.3
Estimate Households By Type Total Households Average Household Size,2.51,0.08,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.97,0.10,(X),(X)
Estimate Relationship Population In Households,20290,40,20290,(X)
Estimate Relationship Population In Households Householder,8075,257,39.8,1.3
Estimate Relationship Population In Households Spouse,5051,254,24.9,1.2
Estimate Relationship Population In Households Unmarried Partner,300,126,1.5,0.6
Estimate Relationship Population In Households Child,6201,471,30.6,2.3
Estimate Relationship Population In Households Other Relatives,538,270,2.7,1.3
Estimate Relationship Population In Households Other Nonrelatives,125,83,0.6,0.4
Estimate Marital Status Males 15 Years And Over,8000,303,8000,(X)
Estimate Marital Status Males 15 Years And Over Never Married,1972,328,24.7,3.7
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",5236,283,65.5,3.8
Estimate Marital Status Males 15 Years And Over Separated,30,36,0.4,0.4
Estimate Marital Status Males 15 Years And Over Widowed,140,61,1.8,0.8
Estimate Marital Status Males 15 Years And Over Divorced,622,185,7.8,2.3
Estimate Marital Status Females 15 Years And Over,8832,307,8832,(X)
Estimate Marital Status Females 15 Years And Over Never Married,2027,344,23.0,3.5
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",5188,261,58.7,3.4
Estimate Marital Status Females 15 Years And Over Separated,54,42,0.6,0.5
Estimate Marital Status Females 15 Years And Over Widowed,634,155,7.2,1.7
Estimate Marital Status Females 15 Years And Over Divorced,929,202,10.5,2.3
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,103,62,103,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",0,25,0.0,31.1
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",0,21,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",26,15,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,51,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",42,35,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",28,23,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,143,95,143,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,28,44,19.6,28.1
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,20,41,14.0,26.5
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,0,25,0.0,24.1
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,0,25,0.0,24.1
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,8,14,5.6,10.7
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,28,44,28,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,18,26,64.3,33.1
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,20,41,71.4,64.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School,5240,433,5240,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",494,204,9.4,3.8
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,206,120,3.9,2.3
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),2238,317,42.7,5.7
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),1480,352,28.2,5.8
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,822,246,15.7,4.4
Estimate Educational Attainment Population 25 Years And Over,14538,413,14538,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,27,30,0.2,0.2
"Estimate Educational Attainment Population 25 Years And Over 9Th To 12Th Grade, No Diploma",89,49,0.6,0.3
Estimate Educational Attainment Population 25 Years And Over High School Graduate (Includes Equivalency),1177,330,8.1,2.2
"Estimate Educational Attainment Population 25 Years And Over Some College, No Degree",1197,244,8.2,1.7
Estimate Educational Attainment Population 25 Years And Over Associate'S Degree,819,200,5.6,1.4
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree,6227,507,42.8,3.3
Estimate Educational Attainment Population 25 Years And Over Graduate Or Professional Degree,5002,509,34.4,3.5
Estimate Educational Attainment Population 25 Years And Over High School Graduate Or Higher,14422,430,99.2,0.4
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree Or Higher,11229,444,77.2,2.6
Estimate Veteran Status Civilian Population 18 Years And Over,15721,375,15721,(X)
Estimate Veteran Status Civilian Population 18 Years And Over Civilian Veterans,612,113,3.9,0.7
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population,20290,40,20290,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population With A Disability,1140,199,5.6,1.0
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years,4676,373,4676,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years With A Disability,49,69,1.0,1.5
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years,11444,449,11444,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years With A Disability,252,87,2.2,0.8
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over,4170,422,4170,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over With A Disability,839,151,20.1,4.0
Estimate Residence 1 Year Ago Population 1 Year And Over,20293,67,20293,(X)
Estimate Residence 1 Year Ago Population 1 Year And Over Same House,18735,485,92.3,2.4
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad),1558,477,7.7,2.4
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S.,1479,471,7.3,2.3
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Same County,822,281,4.1,1.4
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County,657,331,3.2,1.6
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Same State,523,350,2.6,1.7
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Different State,134,69,0.7,0.3
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Abroad,79,59,0.4,0.3
Estimate Place Of Birth Total Population,20397,33,20397,(X)
Estimate Place Of Birth Total Population Native,18704,428,91.7,2.1
Estimate Place Of Birth Total Population Native Born In United States,18329,498,89.9,2.5
Estimate Place Of Birth Total Population Native Born In United States State Of Residence,12335,770,60.5,3.8
Estimate Place Of Birth Total Population Native Born In United States Different State,5994,701,29.4,3.4
"Estimate Place Of Birth Total Population Native Born In Puerto Rico, U.S. Island Areas, Or Born Abroad To American Parent(S)",375,199,1.8,1.0
Estimate Place Of Birth Total Population Foreign Born,1693,435,8.3,2.1
Estimate U.S. Citizenship Status Foreign-Born Population,1693,435,1693,(X)
Estimate U.S. Citizenship Status Foreign-Born Population Naturalized U.S. Citizen,1101,309,65.0,12.4
Estimate U.S. Citizenship Status Foreign-Born Population Not A U.S. Citizen,592,281,35.0,12.4
Estimate Year Of Entry Population Born Outside The United States,2068,506,2068,(X)
Estimate Year Of Entry Population Born Outside The United States Native,375,199,375,(X)
Estimate Year Of Entry Population Born Outside The United States Native Entered 2010 Or Later,164,168,43.7,28.2
Estimate Year Of Entry Population Born Outside The United States Native Entered Before 2010,211,97,56.3,28.2
Estimate Year Of Entry Population Born Outside The United States Foreign Born,1693,435,1693,(X)
Estimate Year Of Entry Population Born Outside The United States Foreign Born Entered 2010 Or Later,347,267,20.5,13.4
