,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,12350,428,12350,(X)
Estimate Households By Type Total Households Married-Couple Household,6535,414,52.9,3.9
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,2634,261,21.3,2.4
Estimate Households By Type Total Households Cohabiting Couple Household,624,178,5.1,1.4
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,261,133,2.1,1.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",2269,418,18.4,3.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",64,73,0.5,0.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",1550,343,12.6,2.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",517,171,4.2,1.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",2922,423,23.7,3.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",387,188,3.1,1.5
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",1594,322,12.9,2.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",1115,257,9.0,2.0
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,3805,248,30.8,2.6
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,3990,439,32.3,3.0
Estimate Households By Type Total Households Average Household Size,2.61,0.09,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.15,0.11,(X),(X)
Estimate Relationship Population In Households,32285,112,32285,(X)
Estimate Relationship Population In Households Householder,12350,428,38.3,1.3
Estimate Relationship Population In Households Spouse,6497,404,20.1,1.2
Estimate Relationship Population In Households Unmarried Partner,670,188,2.1,0.6
Estimate Relationship Population In Households Child,10143,563,31.4,1.7
Estimate Relationship Population In Households Other Relatives,1917,454,5.9,1.4
Estimate Relationship Population In Households Other Nonrelatives,708,246,2.2,0.8
Estimate Marital Status Males 15 Years And Over,13150,557,13150,(X)
Estimate Marital Status Males 15 Years And Over Never Married,4824,604,36.7,3.6
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",6941,405,52.8,3.7
Estimate Marital Status Males 15 Years And Over Separated,272,193,2.1,1.4
Estimate Marital Status Males 15 Years And Over Widowed,334,151,2.5,1.1
Estimate Marital Status Males 15 Years And Over Divorced,779,289,5.9,2.2
Estimate Marital Status Females 15 Years And Over,13695,538,13695,(X)
Estimate Marital Status Females 15 Years And Over Never Married,4229,554,30.9,3.2
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",6900,398,50.4,3.7
Estimate Marital Status Females 15 Years And Over Separated,113,105,0.8,0.8
Estimate Marital Status Females 15 Years And Over Widowed,1264,267,9.2,2.0
Estimate Marital Status Females 15 Years And Over Divorced,1189,293,8.7,2.0
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,303,133,303,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",124,116,40.9,27.8
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",32,29,(X),(X)
