,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,1509,147,1509,(X)
Estimate Households By Type Total Households Married-Couple Household,784,107,52.0,9.3
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,217,81,14.4,6.3
Estimate Households By Type Total Households Cohabiting Couple Household,82,63,5.4,4.1
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,0,13,0.0,2.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",299,127,19.8,7.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",0,13,0.0,2.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",210,106,13.9,6.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",114,65,7.6,4.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",344,153,22.8,9.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",58,37,3.8,2.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",261,155,17.3,9.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",193,143,12.8,8.8
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,285,85,18.9,6.9
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,612,148,40.6,7.4
Estimate Households By Type Total Households Average Household Size,2.15,0.21,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.76,0.25,(X),(X)
Estimate Relationship Population In Households,3243,16,3243,(X)
Estimate Relationship Population In Households Householder,1509,147,46.5,4.5
Estimate Relationship Population In Households Spouse,742,100,22.9,3.1
Estimate Relationship Population In Households Unmarried Partner,78,60,2.4,1.9
Estimate Relationship Population In Households Child,820,180,25.3,5.6
Estimate Relationship Population In Households Other Relatives,52,53,1.6,1.6
Estimate Relationship Population In Households Other Nonrelatives,42,45,1.3,1.4
Estimate Marital Status Males 15 Years And Over,1409,166,1409,(X)
Estimate Marital Status Males 15 Years And Over Never Married,427,130,30.3,7.1
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",773,97,54.9,8.6
Estimate Marital Status Males 15 Years And Over Separated,0,13,0.0,2.8
Estimate Marital Status Males 15 Years And Over Widowed,67,49,4.8,3.4
Estimate Marital Status Males 15 Years And Over Divorced,142,85,10.1,5.6
Estimate Marital Status Females 15 Years And Over,1388,154,1388,(X)
Estimate Marital Status Females 15 Years And Over Never Married,250,124,18.0,8.1
