,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,6314,300,6314,(X)
Estimate Households By Type Total Households Married-Couple Household,3566,265,56.5,4.6
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,1252,201,19.8,3.3
Estimate Households By Type Total Households Cohabiting Couple Household,463,182,7.3,2.8
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,125,103,2.0,1.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",789,266,12.5,4.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",17,18,0.3,0.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",465,182,7.4,2.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",252,132,4.0,2.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",1496,287,23.7,4.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",242,137,3.8,2.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",813,195,12.9,2.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",568,170,9.0,2.5
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,1937,215,30.7,3.6
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,2677,332,42.4,4.3
Estimate Households By Type Total Households Average Household Size,2.48,0.09,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.85,0.11,(X),(X)
Estimate Relationship Population In Households,15645,586,15645,(X)
Estimate Relationship Population In Households Householder,6314,300,40.4,1.4
Estimate Relationship Population In Households Spouse,3515,260,22.5,1.6
Estimate Relationship Population In Households Unmarried Partner,453,177,2.9,1.1
Estimate Relationship Population In Households Child,4172,449,26.7,2.5
Estimate Relationship Population In Households Other Relatives,937,238,6.0,1.5
Estimate Relationship Population In Households Other Nonrelatives,254,132,1.6,0.8
Estimate Marital Status Males 15 Years And Over,6230,375,6230,(X)
Estimate Marital Status Males 15 Years And Over Never Married,1753,348,28.1,4.6
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",3706,260,59.5,4.5
Estimate Marital Status Males 15 Years And Over Separated,77,91,1.2,1.5
Estimate Marital Status Males 15 Years And Over Widowed,208,93,3.3,1.5
Estimate Marital Status Males 15 Years And Over Divorced,486,157,7.8,2.5
Estimate Marital Status Females 15 Years And Over,6894,405,6894,(X)
Estimate Marital Status Females 15 Years And Over Never Married,1488,288,21.6,3.6
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",3712,283,53.8,4.9
Estimate Marital Status Females 15 Years And Over Separated,135,102,2.0,1.5
Estimate Marital Status Females 15 Years And Over Widowed,672,207,9.7,2.9
Estimate Marital Status Females 15 Years And Over Divorced,887,227,12.9,3.0
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,112,101,112,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",42,51,37.5,33.0
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",26,30,(X),(X)
