,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,1527,193,1527,(X)
Estimate Households By Type Total Households Married-Couple Household,805,129,52.7,8.0
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,168,62,11.0,3.7
Estimate Households By Type Total Households Cohabiting Couple Household,42,34,2.8,2.2
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,0,13,0.0,2.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",271,147,17.7,8.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",27,36,1.8,2.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",171,123,11.2,7.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",142,120,9.3,7.5
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",409,131,26.8,7.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",49,47,3.2,3.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",288,113,18.9,6.8
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",168,88,11.0,5.5
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,274,80,17.9,4.9
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,892,146,58.4,5.9
Estimate Households By Type Total Households Average Household Size,2.13,0.15,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.64,0.17,(X),(X)
Estimate Relationship Population In Households,3260,424,3260,(X)
Estimate Relationship Population In Households Householder,1527,193,46.8,3.3
Estimate Relationship Population In Households Spouse,805,130,24.7,3.2
Estimate Relationship Population In Households Unmarried Partner,43,34,1.3,1.0
Estimate Relationship Population In Households Child,663,178,20.3,4.0
Estimate Relationship Population In Households Other Relatives,145,89,4.4,2.6
Estimate Relationship Population In Households Other Nonrelatives,77,80,2.4,2.4
Estimate Marital Status Males 15 Years And Over,1503,271,1503,(X)
Estimate Marital Status Males 15 Years And Over Never Married,429,167,28.5,8.0
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",828,138,55.1,10.9
Estimate Marital Status Males 15 Years And Over Separated,6,10,0.4,0.7
Estimate Marital Status Males 15 Years And Over Widowed,72,66,4.8,4.0
Estimate Marital Status Males 15 Years And Over Divorced,168,129,11.2,7.8
Estimate Marital Status Females 15 Years And Over,1525,209,1525,(X)
Estimate Marital Status Females 15 Years And Over Never Married,292,115,19.1,6.1
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",831,129,54.5,7.3
Estimate Marital Status Females 15 Years And Over Separated,0,13,0.0,2.6
Estimate Marital Status Females 15 Years And Over Widowed,230,98,15.1,5.8
Estimate Marital Status Females 15 Years And Over Divorced,172,75,11.3,4.6
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,12,18,12,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",0,13,0.0,95.0
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",0,105,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",21,31,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,485,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",54,84,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",0,119,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,73,70,73,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,37,45,50.7,42.2
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,13,0.0,38.5
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,11,16,15.1,23.5
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,0,13,0.0,38.5
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,26,43,35.6,42.9
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,37,45,37,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,26,31,70.3,24.2
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,26,43,70.3,50.8
Estimate School Enrollment Population 3 Years And Over Enrolled In School,430,129,430,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",11,18,2.6,4.5
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,51,45,11.9,9.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),184,88,42.8,14.3
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),73,36,17.0,8.8
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,111,65,25.8,12.9
Estimate Educational Attainment Population 25 Years And Over,2810,376,2810,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,11,14,0.4,0.5
"Estimate Educational Attainment Population 25 Years And Over 9Th To 12Th Grade, No Diploma",27,28,1.0,1.0
Estimate Educational Attainment Population 25 Years And Over High School Graduate (Includes Equivalency),500,171,17.8,5.1
"Estimate Educational Attainment Population 25 Years And Over Some College, No Degree",461,115,16.4,4.4
Estimate Educational Attainment Population 25 Years And Over Associate'S Degree,317,142,11.3,4.3
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree,726,183,25.8,5.8
Estimate Educational Attainment Population 25 Years And Over Graduate Or Professional Degree,768,168,27.3,5.2
Estimate Educational Attainment Population 25 Years And Over High School Graduate Or Higher,2772,377,98.6,1.1
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree Or Higher,1494,241,53.2,6.1
Estimate Veteran Status Civilian Population 18 Years And Over,2962,376,2962,(X)
Estimate Veteran Status Civilian Population 18 Years And Over Civilian Veterans,296,92,10.0,2.7
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population,3341,433,3341,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population With A Disability,493,173,14.8,4.7
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years,379,122,379,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years With A Disability,0,13,0.0,10.0
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years,1654,281,1654,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years With A Disability,128,62,7.7,3.9
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over,1308,192,1308,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over With A Disability,365,153,27.9,10.4
Estimate Residence 1 Year Ago Population 1 Year And Over,3329,432,3329,(X)
Estimate Residence 1 Year Ago Population 1 Year And Over Same House,2981,382,89.5,4.3
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad),348,160,10.5,4.3
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S.,279,145,8.4,3.8
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Same County,146,128,4.4,3.5
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County,133,67,4.0,2.0
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Same State,30,35,0.9,1.0
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Different State,103,58,3.1,1.8
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Abroad,69,83,2.1,2.5
Estimate Place Of Birth Total Population,3341,433,3341,(X)
Estimate Place Of Birth Total Population Native,2831,382,84.7,4.5
Estimate Place Of Birth Total Population Native Born In United States,2821,383,84.4,4.6
Estimate Place Of Birth Total Population Native Born In United States State Of Residence,1978,311,59.2,5.8
Estimate Place Of Birth Total Population Native Born In United States Different State,843,216,25.2,5.6
"Estimate Place Of Birth Total Population Native Born In Puerto Rico, U.S. Island Areas, Or Born Abroad To American Parent(S)",10,16,0.3,0.5
Estimate Place Of Birth Total Population Foreign Born,510,171,15.3,4.5
Estimate U.S. Citizenship Status Foreign-Born Population,510,171,510,(X)
Estimate U.S. Citizenship Status Foreign-Born Population Naturalized U.S. Citizen,262,129,51.4,22.4
Estimate U.S. Citizenship Status Foreign-Born Population Not A U.S. Citizen,248,155,48.6,22.4
Estimate Year Of Entry Population Born Outside The United States,520,174,520,(X)
Estimate Year Of Entry Population Born Outside The United States Native,10,16,10,(X)
Estimate Year Of Entry Population Born Outside The United States Native Entered 2010 Or Later,0,13,0.0,100.0
Estimate Year Of Entry Population Born Outside The United States Native Entered Before 2010,10,16,100.0,100.0
Estimate Year Of Entry Population Born Outside The United States Foreign Born,510,171,510,(X)
Estimate Year Of Entry Population Born Outside The United States Foreign Born Entered 2010 Or Later,58,53,11.4,10.7
Estimate Year Of Entry Population Born Outside The United States Foreign Born Entered Before 2010,452,175,88.6,10.7
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea",510,171,510,(X)
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Europe",85,56,16.7,10.7
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Asia",66,72,12.9,12.9
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Africa",15,18,2.9,3.5
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Oceania",5,10,1.0,2.1
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Latin America",321,143,62.9,18.0
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Northern America",18,20,3.5,3.9
Estimate Language Spoken At Home Population 5 Years And Over,3269,434,3269,(X)
Estimate Language Spoken At Home Population 5 Years And Over English Only,2685,376,82.1,6.1
Estimate Language Spoken At Home Population 5 Years And Over Language Other Than English,584,226,17.9,6.1
"Estimate Language Spoken At Home Population 5 Years And Over Language Other Than English Speak English Less Than ""Very Well""",249,162,7.6,4.7
Estimate Language Spoken At Home Population 5 Years And Over Spanish,141,125,4.3,3.7
"Estimate Language Spoken At Home Population 5 Years And Over Spanish Speak English Less Than ""Very Well""",93,119,2.8,3.5
Estimate Language Spoken At Home Population 5 Years And Over Other Indo-European Languages,423,191,12.9,5.4
"Estimate Language Spoken At Home Population 5 Years And Over Other Indo-European Languages Speak English Less Than ""Very Well""",136,97,4.2,2.9
Estimate Language Spoken At Home Population 5 Years And Over Asian And Pacific Islander Languages,20,27,0.6,0.8
"Estimate Language Spoken At Home Population 5 Years And Over Asian And Pacific Islander Languages Speak English Less Than ""Very Well""",20,27,0.6,0.8
Estimate Language Spoken At Home Population 5 Years And Over Other Languages,0,13,0.0,1.2
"Estimate Language Spoken At Home Population 5 Years And Over Other Languages Speak English Less Than ""Very Well""",0,13,0.0,1.2
Estimate Ancestry Total Population,3341,433,3341,(X)
Estimate Ancestry Total Population American,83,61,2.5,1.9
Estimate Ancestry Total Population Arab,0,13,0.0,1.2
Estimate Ancestry Total Population Czech,0,13,0.0,1.2
Estimate Ancestry Total Population Danish,13,22,0.4,0.7
Estimate Ancestry Total Population Dutch,37,36,1.1,1.1
Estimate Ancestry Total Population English,522,183,15.6,4.7
Estimate Ancestry Total Population French (Except Basque),143,99,4.3,2.9
Estimate Ancestry Total Population French Canadian,22,22,0.7,0.6
Estimate Ancestry Total Population German,206,93,6.2,2.7
Estimate Ancestry Total Population Greek,33,39,1.0,1.2
Estimate Ancestry Total Population Hungarian,8,12,0.2,0.4
Estimate Ancestry Total Population Irish,897,259,26.8,6.2
Estimate Ancestry Total Population Italian,553,241,16.6,6.4
Estimate Ancestry Total Population Lithuanian,81,74,2.4,2.2
Estimate Ancestry Total Population Norwegian,26,22,0.8,0.7
Estimate Ancestry Total Population Polish,91,39,2.7,1.2
Estimate Ancestry Total Population Portuguese,126,76,3.8,2.3
Estimate Ancestry Total Population Russian,4,7,0.1,0.2
Estimate Ancestry Total Population Scotch-Irish,34,40,1.0,1.2
Estimate Ancestry Total Population Scottish,72,46,2.2,1.4
Estimate Ancestry Total Population Slovak,0,13,0.0,1.2
Estimate Ancestry Total Population Subsaharan African,8,12,0.2,0.4
Estimate Ancestry Total Population Swedish,65,52,1.9,1.5
Estimate Ancestry Total Population Swiss,17,21,0.5,0.6
Estimate Ancestry Total Population Ukrainian,20,18,0.6,0.5
Estimate Ancestry Total Population Welsh,0,13,0.0,1.2
