,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,11626,644,11626,(X)
Estimate Households By Type Total Households Married-Couple Household,3105,339,26.7,3.2
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,1255,291,10.8,2.6
Estimate Households By Type Total Households Cohabiting Couple Household,1476,338,12.7,2.6
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,677,245,5.8,1.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",2302,455,19.8,3.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",236,211,2.0,1.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",1564,373,13.5,3.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",512,163,4.4,1.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",4743,501,40.8,3.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",1229,222,10.6,1.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",2559,476,22.0,3.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",1373,423,11.8,3.4
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,3777,454,32.5,3.5
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,3126,475,26.9,3.8
Estimate Households By Type Total Households Average Household Size,2.52,0.11,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.29,0.12,(X),(X)
Estimate Relationship Population In Households,29283,1791,29283,(X)
Estimate Relationship Population In Households Householder,11626,644,39.7,1.7
Estimate Relationship Population In Households Spouse,3062,342,10.5,1.2
Estimate Relationship Population In Households Unmarried Partner,1377,260,4.7,0.8
Estimate Relationship Population In Households Child,9715,1074,33.2,2.3
Estimate Relationship Population In Households Other Relatives,2248,546,7.7,1.8
Estimate Relationship Population In Households Other Nonrelatives,1255,438,4.3,1.5
Estimate Marital Status Males 15 Years And Over,11536,1004,11536,(X)
Estimate Marital Status Males 15 Years And Over Never Married,5790,768,50.2,3.7
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",3777,393,32.7,3.9
