,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,3989,350,3989,(X)
Estimate Households By Type Total Households Married-Couple Household,1722,298,43.2,7.1
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,168,80,4.2,2.0
Estimate Households By Type Total Households Cohabiting Couple Household,269,117,6.7,2.9
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,86,111,2.2,2.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",734,184,18.4,4.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",17,29,0.4,0.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",528,145,13.2,3.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",342,122,8.6,2.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",1264,312,31.7,6.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",102,59,2.6,1.5
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",763,231,19.1,5.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",542,211,13.6,4.8
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,473,162,11.9,4.1
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,2162,310,54.2,5.6
Estimate Households By Type Total Households Average Household Size,2.22,0.16,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.76,0.19,(X),(X)
Estimate Relationship Population In Households,8865,803,8865,(X)
Estimate Relationship Population In Households Householder,3989,350,45.0,3.2
Estimate Relationship Population In Households Spouse,1836,326,20.7,3.2
Estimate Relationship Population In Households Unmarried Partner,245,92,2.8,1.0
Estimate Relationship Population In Households Child,1998,423,22.5,3.9
Estimate Relationship Population In Households Other Relatives,587,262,6.6,2.8
Estimate Relationship Population In Households Other Nonrelatives,210,176,2.4,1.9
Estimate Marital Status Males 15 Years And Over,4322,451,4322,(X)
Estimate Marital Status Males 15 Years And Over Never Married,1690,413,39.1,7.6
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",2038,345,47.2,7.4
Estimate Marital Status Males 15 Years And Over Separated,19,30,0.4,0.7
Estimate Marital Status Males 15 Years And Over Widowed,254,116,5.9,2.6
Estimate Marital Status Males 15 Years And Over Divorced,321,118,7.4,2.7
Estimate Marital Status Females 15 Years And Over,4037,391,4037,(X)
Estimate Marital Status Females 15 Years And Over Never Married,819,226,20.3,4.7
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",2068,326,51.2,6.5
Estimate Marital Status Females 15 Years And Over Separated,18,31,0.4,0.8
Estimate Marital Status Females 15 Years And Over Widowed,528,221,13.1,5.4
Estimate Marital Status Females 15 Years And Over Divorced,604,156,15.0,3.8
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,59,55,59,(X)
