,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,2967,154,2967,(X)
Estimate Households By Type Total Households Married-Couple Household,2252,145,75.9,4.0
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,1186,153,40.0,5.9
Estimate Households By Type Total Households Cohabiting Couple Household,144,60,4.9,2.0
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,39,37,1.3,1.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",148,54,5.0,1.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",7,12,0.2,0.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",109,48,3.7,1.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",57,35,1.9,1.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",423,112,14.3,3.5
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",78,59,2.6,2.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",208,83,7.0,2.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",119,55,4.0,1.8
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,1381,137,46.5,5.8
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,848,128,28.6,3.7
Estimate Households By Type Total Households Average Household Size,3.13,0.16,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.40,0.14,(X),(X)
Estimate Relationship Population In Households,9288,259,9288,(X)
Estimate Relationship Population In Households Householder,2967,154,31.9,1.6
Estimate Relationship Population In Households Spouse,2342,146,25.2,1.5
Estimate Relationship Population In Households Unmarried Partner,140,60,1.5,0.6
Estimate Relationship Population In Households Child,3593,263,38.7,2.4
Estimate Relationship Population In Households Other Relatives,156,76,1.7,0.8
Estimate Relationship Population In Households Other Nonrelatives,90,58,1.0,0.6
Estimate Marital Status Males 15 Years And Over,5677,233,5677,(X)
Estimate Marital Status Males 15 Years And Over Never Married,2370,212,41.7,2.8
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",2646,158,46.6,3.0
Estimate Marital Status Males 15 Years And Over Separated,118,52,2.1,0.9
Estimate Marital Status Males 15 Years And Over Widowed,48,29,0.8,0.5
Estimate Marital Status Males 15 Years And Over Divorced,495,123,8.7,2.1
Estimate Marital Status Females 15 Years And Over,3550,229,3550,(X)
Estimate Marital Status Females 15 Years And Over Never Married,772,177,21.7,3.9
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",2340,144,65.9,4.9
Estimate Marital Status Females 15 Years And Over Separated,55,43,1.5,1.2
Estimate Marital Status Females 15 Years And Over Widowed,128,55,3.6,1.5
Estimate Marital Status Females 15 Years And Over Divorced,255,83,7.2,2.3
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,111,61,111,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",0,21,0.0,29.4
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",0,49,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",56,31,(X),(X)
