,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,19301,690,19301,(X)
Estimate Households By Type Total Households Married-Couple Household,5798,436,30.0,2.3
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,2084,286,10.8,1.6
Estimate Households By Type Total Households Cohabiting Couple Household,1919,289,9.9,1.5
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,734,208,3.8,1.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",4434,417,23.0,2.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",232,102,1.2,0.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",3070,381,15.9,1.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",918,214,4.8,1.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",7150,750,37.0,3.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",1903,387,9.9,1.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",3760,446,19.5,2.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",1744,311,9.0,1.5
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,5660,381,29.3,2.0
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,5462,445,28.3,1.9
Estimate Households By Type Total Households Average Household Size,2.32,0.07,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.99,0.09,(X),(X)
Estimate Relationship Population In Households,44699,1459,44699,(X)
Estimate Relationship Population In Households Householder,19301,690,43.2,1.2
Estimate Relationship Population In Households Spouse,5715,447,12.8,0.9
Estimate Relationship Population In Households Unmarried Partner,1884,317,4.2,0.7
Estimate Relationship Population In Households Child,13166,917,29.5,1.6
Estimate Relationship Population In Households Other Relatives,3112,435,7.0,1.0
Estimate Relationship Population In Households Other Nonrelatives,1521,308,3.4,0.7
Estimate Marital Status Males 15 Years And Over,17865,889,17865,(X)
Estimate Marital Status Males 15 Years And Over Never Married,8224,690,46.0,2.9
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",6388,532,35.8,2.6
Estimate Marital Status Males 15 Years And Over Separated,586,192,3.3,1.0
Estimate Marital Status Males 15 Years And Over Widowed,532,164,3.0,0.9
Estimate Marital Status Males 15 Years And Over Divorced,2135,322,12.0,1.8
Estimate Marital Status Females 15 Years And Over,19530,755,19530,(X)
Estimate Marital Status Females 15 Years And Over Never Married,7739,551,39.6,2.3
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",6312,438,32.3,2.2
Estimate Marital Status Females 15 Years And Over Separated,876,273,4.5,1.3
Estimate Marital Status Females 15 Years And Over Widowed,1956,341,10.0,1.6
Estimate Marital Status Females 15 Years And Over Divorced,2647,363,13.6,1.8
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,599,159,599,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",309,126,51.6,14.1
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",41,16,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",53,14,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",24,28,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",74,28,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",37,15,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,1230,288,1230,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,440,146,35.8,9.8
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,92,70,7.5,5.2
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,49,45,4.0,3.7
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,127,82,10.3,6.7
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,172,105,14.0,8.0
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,440,146,440,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,275,104,62.5,13.1
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,248,110,56.4,15.5
Estimate School Enrollment Population 3 Years And Over Enrolled In School,10647,912,10647,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",425,149,4.0,1.4
