,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,8439,645,8439,(X)
Estimate Households By Type Total Households Married-Couple Household,2749,420,32.6,4.6
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,809,219,9.6,2.5
Estimate Households By Type Total Households Cohabiting Couple Household,428,174,5.1,2.2
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,13,23,0.2,0.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",2343,488,27.8,4.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",0,25,0.0,0.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",1786,457,21.2,4.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",421,130,5.0,1.5
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",2919,399,34.6,4.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",365,145,4.3,1.8
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",1827,367,21.6,4.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",946,286,11.2,3.2
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,1382,284,16.4,3.4
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,2489,390,29.5,4.0
Estimate Households By Type Total Households Average Household Size,2.16,0.16,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.99,0.24,(X),(X)
Estimate Relationship Population In Households,18243,1690,18243,(X)
Estimate Relationship Population In Households Householder,8439,645,46.3,3.3
Estimate Relationship Population In Households Spouse,2762,406,15.1,2.1
Estimate Relationship Population In Households Unmarried Partner,460,190,2.5,1.1
Estimate Relationship Population In Households Child,3544,593,19.4,2.7
Estimate Relationship Population In Households Other Relatives,937,745,5.1,3.8
Estimate Relationship Population In Households Other Nonrelatives,2101,635,11.5,3.1
Estimate Marital Status Males 15 Years And Over,11162,1012,11162,(X)
Estimate Marital Status Males 15 Years And Over Never Married,6647,840,59.6,4.3
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",3186,438,28.5,3.7
Estimate Marital Status Males 15 Years And Over Separated,45,37,0.4,0.3
Estimate Marital Status Males 15 Years And Over Widowed,372,196,3.3,1.7
Estimate Marital Status Males 15 Years And Over Divorced,912,334,8.2,2.9
Estimate Marital Status Females 15 Years And Over,10074,821,10074,(X)
