,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,498,63,498,(X)
Estimate Households By Type Total Households Married-Couple Household,281,60,56.4,8.6
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,100,47,20.1,8.1
Estimate Households By Type Total Households Cohabiting Couple Household,41,20,8.2,3.9
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,7,7,1.4,1.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",88,31,17.7,6.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",3,4,0.6,0.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",73,31,14.7,6.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",37,21,7.4,4.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",88,31,17.7,6.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",21,19,4.2,3.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",29,20,5.8,4.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",15,14,3.0,2.7
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,141,51,28.3,8.6
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,185,41,37.1,7.9
Estimate Households By Type Total Households Average Household Size,2.65,0.36,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.07,0.46,(X),(X)
Estimate Relationship Population In Households,1318,264,1318,(X)
Estimate Relationship Population In Households Householder,498,63,37.8,5.3
Estimate Relationship Population In Households Spouse,297,70,22.5,3.3
Estimate Relationship Population In Households Unmarried Partner,42,22,3.2,1.7
Estimate Relationship Population In Households Child,398,175,30.2,8.2
Estimate Relationship Population In Households Other Relatives,37,16,2.8,1.4
Estimate Relationship Population In Households Other Nonrelatives,46,27,3.5,2.1
Estimate Marital Status Males 15 Years And Over,531,83,531,(X)
Estimate Marital Status Males 15 Years And Over Never Married,159,40,29.9,6.9
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",294,70,55.4,8.6
Estimate Marital Status Males 15 Years And Over Separated,12,9,2.3,1.8
Estimate Marital Status Males 15 Years And Over Widowed,14,13,2.6,2.4
Estimate Marital Status Males 15 Years And Over Divorced,52,20,9.8,3.6
Estimate Marital Status Females 15 Years And Over,537,87,537,(X)
Estimate Marital Status Females 15 Years And Over Never Married,139,48,25.9,7.0
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",300,64,55.9,8.2
Estimate Marital Status Females 15 Years And Over Separated,5,9,0.9,1.6
Estimate Marital Status Females 15 Years And Over Widowed,40,24,7.4,4.4
Estimate Marital Status Females 15 Years And Over Divorced,53,24,9.9,4.5
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,0,13,0,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",0,13,-666666666.0,-222222222.0
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",0,246,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",0,137,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,475,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",0,306,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",0,282,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,16,14,16,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,13,13,81.3,35.2
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,8,12,50.0,45.2
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,0,13,0.0,82.3
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,0,13,0.0,82.3
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,5,6,31.3,37.7
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,13,13,13,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,9,9,69.2,26.9
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,8,12,61.5,48.6
Estimate School Enrollment Population 3 Years And Over Enrolled In School,341,172,341,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",11,11,3.2,3.4
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,3,6,0.9,1.7
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),175,102,51.3,15.5
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),115,94,33.7,16.3
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,37,20,10.9,8.3
Estimate Educational Attainment Population 25 Years And Over,934,126,934,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,9,8,1.0,0.8
"Estimate Educational Attainment Population 25 Years And Over 9Th To 12Th Grade, No Diploma",86,34,9.2,3.5
Estimate Educational Attainment Population 25 Years And Over High School Graduate (Includes Equivalency),438,100,46.9,8.3
"Estimate Educational Attainment Population 25 Years And Over Some College, No Degree",149,49,16.0,4.6
Estimate Educational Attainment Population 25 Years And Over Associate'S Degree,69,24,7.4,2.7
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree,73,25,7.8,2.7
Estimate Educational Attainment Population 25 Years And Over Graduate Or Professional Degree,110,46,11.8,4.4
Estimate Educational Attainment Population 25 Years And Over High School Graduate Or Higher,839,120,89.8,3.5
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree Or Higher,183,57,19.6,5.4
Estimate Veteran Status Civilian Population 18 Years And Over,1016,132,1016,(X)
Estimate Veteran Status Civilian Population 18 Years And Over Civilian Veterans,109,32,10.7,3.4
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population,1332,265,1332,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population With A Disability,212,54,15.9,4.1
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years,316,171,316,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years With A Disability,44,42,13.9,12.1
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years,778,132,778,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years With A Disability,82,26,10.5,3.7
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over,238,49,238,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over With A Disability,86,30,36.1,10.9
Estimate Residence 1 Year Ago Population 1 Year And Over,1329,265,1329,(X)
Estimate Residence 1 Year Ago Population 1 Year And Over Same House,1257,261,94.6,2.9
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad),72,38,5.4,2.9
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S.,60,33,4.5,2.5
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Same County,36,22,2.7,1.7
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County,24,20,1.8,1.5
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Same State,17,17,1.3,1.3
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Different State,7,10,0.5,0.8
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Abroad,12,19,0.9,1.4
Estimate Place Of Birth Total Population,1332,265,1332,(X)
Estimate Place Of Birth Total Population Native,1288,264,96.7,2.5
Estimate Place Of Birth Total Population Native Born In United States,1288,264,96.7,2.5
Estimate Place Of Birth Total Population Native Born In United States State Of Residence,944,171,70.9,8.4
Estimate Place Of Birth Total Population Native Born In United States Different State,344,156,25.8,8.2
"Estimate Place Of Birth Total Population Native Born In Puerto Rico, U.S. Island Areas, Or Born Abroad To American Parent(S)",0,13,0.0,3.0
Estimate Place Of Birth Total Population Foreign Born,44,32,3.3,2.5
Estimate U.S. Citizenship Status Foreign-Born Population,44,32,44,(X)
Estimate U.S. Citizenship Status Foreign-Born Population Naturalized U.S. Citizen,19,18,43.2,27.9
Estimate U.S. Citizenship Status Foreign-Born Population Not A U.S. Citizen,25,22,56.8,27.9
Estimate Year Of Entry Population Born Outside The United States,44,32,44,(X)
Estimate Year Of Entry Population Born Outside The United States Native,0,13,0,(X)
Estimate Year Of Entry Population Born Outside The United States Native Entered 2010 Or Later,0,13,-666666666.0,-222222222.0
Estimate Year Of Entry Population Born Outside The United States Native Entered Before 2010,0,13,-666666666.0,-222222222.0
Estimate Year Of Entry Population Born Outside The United States Foreign Born,44,32,44,(X)
Estimate Year Of Entry Population Born Outside The United States Foreign Born Entered 2010 Or Later,12,19,27.3,35.4
Estimate Year Of Entry Population Born Outside The United States Foreign Born Entered Before 2010,32,26,72.7,35.4
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea",44,32,44,(X)
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Europe",32,26,72.7,35.4
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Asia",0,13,0.0,49.6
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Africa",0,13,0.0,49.6
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Oceania",0,13,0.0,49.6
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Latin America",12,19,27.3,35.4
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Northern America",0,13,0.0,49.6
Estimate Language Spoken At Home Population 5 Years And Over,1293,260,1293,(X)
Estimate Language Spoken At Home Population 5 Years And Over English Only,1238,259,95.7,2.6
Estimate Language Spoken At Home Population 5 Years And Over Language Other Than English,55,32,4.3,2.6
"Estimate Language Spoken At Home Population 5 Years And Over Language Other Than English Speak English Less Than ""Very Well""",16,20,1.2,1.5
Estimate Language Spoken At Home Population 5 Years And Over Spanish,0,13,0.0,3.0
"Estimate Language Spoken At Home Population 5 Years And Over Spanish Speak English Less Than ""Very Well""",0,13,0.0,3.0
Estimate Language Spoken At Home Population 5 Years And Over Other Indo-European Languages,55,32,4.3,2.6
"Estimate Language Spoken At Home Population 5 Years And Over Other Indo-European Languages Speak English Less Than ""Very Well""",16,20,1.2,1.5
Estimate Language Spoken At Home Population 5 Years And Over Asian And Pacific Islander Languages,0,13,0.0,3.0
"Estimate Language Spoken At Home Population 5 Years And Over Asian And Pacific Islander Languages Speak English Less Than ""Very Well""",0,13,0.0,3.0
Estimate Language Spoken At Home Population 5 Years And Over Other Languages,0,13,0.0,3.0
"Estimate Language Spoken At Home Population 5 Years And Over Other Languages Speak English Less Than ""Very Well""",0,13,0.0,3.0
Estimate Ancestry Total Population,1332,265,1332,(X)
Estimate Ancestry Total Population American,249,192,18.7,12.4
Estimate Ancestry Total Population Arab,2,3,0.2,0.2
Estimate Ancestry Total Population Czech,3,4,0.2,0.3
