,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,4701,362,4701,(X)
Estimate Households By Type Total Households Married-Couple Household,668,159,14.2,3.2
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,188,103,4.0,2.1
Estimate Households By Type Total Households Cohabiting Couple Household,359,163,7.6,3.3
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,0,21,0.0,0.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",1355,238,28.8,4.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",0,21,0.0,0.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",608,188,12.9,3.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",54,41,1.1,0.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",2319,266,49.3,4.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",465,177,9.9,3.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",705,174,15.0,3.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",244,77,5.2,1.7
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,779,231,16.6,4.4
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,693,153,14.7,3.1
Estimate Households By Type Total Households Average Household Size,2.63,0.16,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.97,0.20,(X),(X)
Estimate Relationship Population In Households,12376,1145,12376,(X)
Estimate Relationship Population In Households Householder,4701,362,38.0,2.3
Estimate Relationship Population In Households Spouse,733,175,5.9,1.3
Estimate Relationship Population In Households Unmarried Partner,334,149,2.7,1.2
Estimate Relationship Population In Households Child,2335,493,18.9,3.0
Estimate Relationship Population In Households Other Relatives,700,229,5.7,1.8
Estimate Relationship Population In Households Other Nonrelatives,3573,508,28.9,2.9
Estimate Marital Status Males 15 Years And Over,6672,839,6672,(X)
Estimate Marital Status Males 15 Years And Over Never Married,5476,815,82.1,4.0
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",816,193,12.2,2.9
Estimate Marital Status Males 15 Years And Over Separated,101,74,1.5,1.1
Estimate Marital Status Males 15 Years And Over Widowed,27,27,0.4,0.4
Estimate Marital Status Males 15 Years And Over Divorced,252,117,3.8,1.8
Estimate Marital Status Females 15 Years And Over,7244,840,7244,(X)
