,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,2312,247,2312,(X)
Estimate Households By Type Total Households Married-Couple Household,917,141,39.7,5.9
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,315,95,13.6,4.4
Estimate Households By Type Total Households Cohabiting Couple Household,180,87,7.8,3.7
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,105,70,4.5,3.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",513,141,22.2,5.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",8,13,0.3,0.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",435,125,18.8,4.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",140,70,6.1,2.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",702,185,30.4,6.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",53,42,2.3,1.8
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",534,170,23.1,6.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",253,101,10.9,3.9
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,496,102,21.5,4.7
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,785,156,34.0,5.2
Estimate Households By Type Total Households Average Household Size,2.09,0.15,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.87,0.19,(X),(X)
Estimate Relationship Population In Households,4842,384,4842,(X)
Estimate Relationship Population In Households Householder,2312,247,47.7,3.4
Estimate Relationship Population In Households Spouse,953,141,19.7,2.4
Estimate Relationship Population In Households Unmarried Partner,194,97,4.0,1.9
Estimate Relationship Population In Households Child,1211,204,25.0,3.7
Estimate Relationship Population In Households Other Relatives,109,58,2.3,1.2
Estimate Relationship Population In Households Other Nonrelatives,63,45,1.3,0.9
