,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,327,81,327,(X)
Estimate Households By Type Total Households Married-Couple Household,129,52,39.4,14.1
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,22,20,6.7,6.0
Estimate Households By Type Total Households Cohabiting Couple Household,39,39,11.9,11.5
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,0,13,0.0,11.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",74,58,22.6,15.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",3,4,0.9,1.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",61,56,18.7,14.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",29,47,8.9,13.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",85,47,26.0,13.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",42,33,12.8,9.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",43,36,13.1,10.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",0,13,0.0,11.5
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,75,37,22.9,11.7
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,98,56,30.0,14.7
Estimate Households By Type Total Households Average Household Size,2.19,0.47,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.90,0.78,(X),(X)
Estimate Relationship Population In Households,715,196,715,(X)
Estimate Relationship Population In Households Householder,327,81,45.7,10.0
Estimate Relationship Population In Households Spouse,130,48,18.2,7.1
Estimate Relationship Population In Households Unmarried Partner,35,38,4.9,5.2
Estimate Relationship Population In Households Child,188,131,26.3,13.5
Estimate Relationship Population In Households Other Relatives,30,30,4.2,3.5
Estimate Relationship Population In Households Other Nonrelatives,5,8,0.7,1.1
Estimate Marital Status Males 15 Years And Over,269,82,269,(X)
Estimate Marital Status Males 15 Years And Over Never Married,102,68,37.9,20.5
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",116,53,43.1,18.2
Estimate Marital Status Males 15 Years And Over Separated,0,13,0.0,13.8
Estimate Marital Status Males 15 Years And Over Widowed,12,15,4.5,5.5
Estimate Marital Status Males 15 Years And Over Divorced,39,40,14.5,14.6
Estimate Marital Status Females 15 Years And Over,353,125,353,(X)
Estimate Marital Status Females 15 Years And Over Never Married,99,84,28.0,17.1
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",153,62,43.3,19.0
Estimate Marital Status Females 15 Years And Over Separated,11,19,3.1,5.4
Estimate Marital Status Females 15 Years And Over Widowed,0,13,0.0,10.7
Estimate Marital Status Females 15 Years And Over Divorced,90,56,25.5,12.9
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,30,41,30,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",30,41,100.0,60.1
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",309,160,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",153,148,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,470,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",789,436,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",0,298,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,27,33,27,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,0,13,0.0,63.3
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,13,0.0,63.3
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,0,13,0.0,63.3
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,0,13,0.0,63.3
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,0,13,0.0,63.3
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,0,13,0,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,0,13,-666666666.0,-222222222.0
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,0,13,-666666666.0,-222222222.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School,141,85,141,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",8,13,5.7,6.6
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,0,13,0.0,24.3
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),77,42,54.6,18.2
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),25,22,17.7,17.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,31,41,22.0,20.2
