,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,2116,245,2116,(X)
Estimate Households By Type Total Households Married-Couple Household,1228,149,58.0,8.5
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,618,126,29.2,7.7
Estimate Households By Type Total Households Cohabiting Couple Household,180,122,8.5,5.7
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,91,98,4.3,4.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",226,142,10.7,6.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",52,42,2.5,1.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",154,128,7.3,5.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",109,114,5.2,5.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",482,156,22.8,5.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",14,25,0.7,1.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",331,134,15.6,5.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",208,104,9.8,4.5
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,832,89,39.3,6.4
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,739,189,34.9,5.8
Estimate Households By Type Total Households Average Household Size,2.81,0.32,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.33,0.39,(X),(X)
Estimate Relationship Population In Households,5938,43,5938,(X)
Estimate Relationship Population In Households Householder,2116,245,35.6,4.1
Estimate Relationship Population In Households Spouse,1240,137,20.9,2.4
Estimate Relationship Population In Households Unmarried Partner,188,129,3.2,2.2
Estimate Relationship Population In Households Child,2185,331,36.8,5.6
Estimate Relationship Population In Households Other Relatives,148,102,2.5,1.7
Estimate Relationship Population In Households Other Nonrelatives,61,61,1.0,1.0
Estimate Marital Status Males 15 Years And Over,2231,261,2231,(X)
Estimate Marital Status Males 15 Years And Over Never Married,663,214,29.7,7.3
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",1277,136,57.2,7.9
Estimate Marital Status Males 15 Years And Over Separated,45,40,2.0,1.8
Estimate Marital Status Males 15 Years And Over Widowed,109,123,4.9,5.3
Estimate Marital Status Males 15 Years And Over Divorced,137,73,6.1,3.2
Estimate Marital Status Females 15 Years And Over,2695,177,2695,(X)
Estimate Marital Status Females 15 Years And Over Never Married,904,286,33.5,9.8
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",1244,167,46.2,6.8
Estimate Marital Status Females 15 Years And Over Separated,30,34,1.1,1.3
