,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,7251,420,7251,(X)
Estimate Households By Type Total Households Married-Couple Household,4393,383,60.6,4.3
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,2214,238,30.5,3.2
Estimate Households By Type Total Households Cohabiting Couple Household,289,141,4.0,1.9
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,69,73,1.0,1.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",633,205,8.7,2.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",116,138,1.6,1.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",423,159,5.8,2.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",110,72,1.5,1.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",1936,321,26.7,3.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",233,135,3.2,1.8
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",1189,246,16.4,3.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",820,219,11.3,2.8
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,2729,257,37.6,3.5
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,2447,304,33.7,3.6
Estimate Households By Type Total Households Average Household Size,2.75,0.10,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.27,0.12,(X),(X)
Estimate Relationship Population In Households,19938,945,19938,(X)
Estimate Relationship Population In Households Householder,7251,420,36.4,1.3
Estimate Relationship Population In Households Spouse,4268,349,21.4,1.5
Estimate Relationship Population In Households Unmarried Partner,300,145,1.5,0.7
Estimate Relationship Population In Households Child,7146,543,35.8,2.0
Estimate Relationship Population In Households Other Relatives,735,249,3.7,1.2
Estimate Relationship Population In Households Other Nonrelatives,238,117,1.2,0.6
Estimate Marital Status Males 15 Years And Over,7870,557,7870,(X)
Estimate Marital Status Males 15 Years And Over Never Married,2709,490,34.4,4.8
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",4629,382,58.8,4.7
Estimate Marital Status Males 15 Years And Over Separated,109,137,1.4,1.7
Estimate Marital Status Males 15 Years And Over Widowed,76,51,1.0,0.6
Estimate Marital Status Males 15 Years And Over Divorced,347,125,4.4,1.6
Estimate Marital Status Females 15 Years And Over,8551,598,8551,(X)
Estimate Marital Status Females 15 Years And Over Never Married,2347,415,27.4,3.7
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",4404,342,51.5,4.1
Estimate Marital Status Females 15 Years And Over Separated,166,90,1.9,1.0
Estimate Marital Status Females 15 Years And Over Widowed,963,277,11.3,3.1
Estimate Marital Status Females 15 Years And Over Divorced,671,188,7.8,2.1
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,192,107,192,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",36,60,18.8,27.6
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",17,29,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",45,24,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,57,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",124,86,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",16,14,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,268,134,268,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,63,53,23.5,14.5
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,25,0.0,13.8
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,0,25,0.0,13.8
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,21,35,7.8,11.9
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,42,42,15.7,13.7
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,63,53,63,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,63,53,100.0,41.5
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,25,29,39.7,45.3
Estimate School Enrollment Population 3 Years And Over Enrolled In School,5329,474,5329,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",588,177,11.0,3.4
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,224,99,4.2,2.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),2022,322,37.9,4.9
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),1626,320,30.5,4.9
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,869,222,16.3,3.8
Estimate Educational Attainment Population 25 Years And Over,13864,818,13864,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,279,197,2.0,1.4
"Estimate Educational Attainment Population 25 Years And Over 9Th To 12Th Grade, No Diploma",407,179,2.9,1.3
Estimate Educational Attainment Population 25 Years And Over High School Graduate (Includes Equivalency),2590,481,18.7,3.1
"Estimate Educational Attainment Population 25 Years And Over Some College, No Degree",1826,378,13.2,2.5
Estimate Educational Attainment Population 25 Years And Over Associate'S Degree,1060,275,7.6,2.0
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree,5017,543,36.2,3.7
Estimate Educational Attainment Population 25 Years And Over Graduate Or Professional Degree,2685,444,19.4,2.9
Estimate Educational Attainment Population 25 Years And Over High School Graduate Or Higher,13178,796,95.1,1.9
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree Or Higher,7702,672,55.6,4.0
Estimate Veteran Status Civilian Population 18 Years And Over,15197,803,15197,(X)
Estimate Veteran Status Civilian Population 18 Years And Over Civilian Veterans,945,277,6.2,1.8
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population,19938,945,19938,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population With A Disability,1832,360,9.2,1.8
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years,5071,510,5071,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years With A Disability,291,143,5.7,2.9
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years,11599,742,11599,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years With A Disability,717,225,6.2,1.9
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over,3268,402,3268,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over With A Disability,824,245,25.2,6.6
Estimate Residence 1 Year Ago Population 1 Year And Over,20057,898,20057,(X)
Estimate Residence 1 Year Ago Population 1 Year And Over Same House,18654,976,93.0,2.4
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad),1403,492,7.0,2.4
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S.,1403,492,7.0,2.4
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Same County,715,268,3.6,1.3
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County,688,417,3.4,2.1
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Same State,591,408,2.9,2.0
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Different State,97,68,0.5,0.3
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Abroad,0,25,0.0,0.2
Estimate Place Of Birth Total Population,20287,919,20287,(X)
Estimate Place Of Birth Total Population Native,18341,920,90.4,2.6
Estimate Place Of Birth Total Population Native Born In United States,17826,964,87.9,2.9
Estimate Place Of Birth Total Population Native Born In United States State Of Residence,14477,915,71.4,3.4
Estimate Place Of Birth Total Population Native Born In United States Different State,3349,509,16.5,2.4
"Estimate Place Of Birth Total Population Native Born In Puerto Rico, U.S. Island Areas, Or Born Abroad To American Parent(S)",515,325,2.5,1.6
Estimate Place Of Birth Total Population Foreign Born,1946,547,9.6,2.6
Estimate U.S. Citizenship Status Foreign-Born Population,1946,547,1946,(X)
Estimate U.S. Citizenship Status Foreign-Born Population Naturalized U.S. Citizen,1255,293,64.5,19.7
Estimate U.S. Citizenship Status Foreign-Born Population Not A U.S. Citizen,691,523,35.5,19.7
Estimate Year Of Entry Population Born Outside The United States,2461,599,2461,(X)
Estimate Year Of Entry Population Born Outside The United States Native,515,325,515,(X)
Estimate Year Of Entry Population Born Outside The United States Native Entered 2010 Or Later,223,185,43.3,18.1
Estimate Year Of Entry Population Born Outside The United States Native Entered Before 2010,292,176,56.7,18.1
Estimate Year Of Entry Population Born Outside The United States Foreign Born,1946,547,1946,(X)
Estimate Year Of Entry Population Born Outside The United States Foreign Born Entered 2010 Or Later,465,487,23.9,20.8
Estimate Year Of Entry Population Born Outside The United States Foreign Born Entered Before 2010,1481,329,76.1,20.8
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea",1946,547,1946,(X)
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Europe",751,248,38.6,13.5
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Asia",443,184,22.8,10.2
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Africa",94,82,4.8,4.2
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Oceania",69,104,3.5,5.4
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Latin America",528,450,27.1,18.5
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Northern America",61,63,3.1,3.1
Estimate Language Spoken At Home Population 5 Years And Over,18900,917,18900,(X)
Estimate Language Spoken At Home Population 5 Years And Over English Only,16502,1029,87.3,3.6
Estimate Language Spoken At Home Population 5 Years And Over Language Other Than English,2398,688,12.7,3.6
"Estimate Language Spoken At Home Population 5 Years And Over Language Other Than English Speak English Less Than ""Very Well""",578,337,3.1,1.7
Estimate Language Spoken At Home Population 5 Years And Over Spanish,634,384,3.4,2.0
"Estimate Language Spoken At Home Population 5 Years And Over Spanish Speak English Less Than ""Very Well""",23,28,0.1,0.1
Estimate Language Spoken At Home Population 5 Years And Over Other Indo-European Languages,1445,594,7.6,3.1
"Estimate Language Spoken At Home Population 5 Years And Over Other Indo-European Languages Speak English Less Than ""Very Well""",474,327,2.5,1.7
Estimate Language Spoken At Home Population 5 Years And Over Asian And Pacific Islander Languages,72,76,0.4,0.4
"Estimate Language Spoken At Home Population 5 Years And Over Asian And Pacific Islander Languages Speak English Less Than ""Very Well""",46,57,0.2,0.3
Estimate Language Spoken At Home Population 5 Years And Over Other Languages,247,140,1.3,0.7
"Estimate Language Spoken At Home Population 5 Years And Over Other Languages Speak English Less Than ""Very Well""",35,40,0.2,0.2
Estimate Ancestry Total Population,20287,919,20287,(X)
Estimate Ancestry Total Population American,513,246,2.5,1.2
Estimate Ancestry Total Population Arab,471,245,2.3,1.2
Estimate Ancestry Total Population Czech,34,44,0.2,0.2
Estimate Ancestry Total Population Danish,48,62,0.2,0.3
Estimate Ancestry Total Population Dutch,75,67,0.4,0.3
Estimate Ancestry Total Population English,2294,476,11.3,2.3
Estimate Ancestry Total Population French (Except Basque),709,351,3.5,1.7
Estimate Ancestry Total Population French Canadian,673,255,3.3,1.3
Estimate Ancestry Total Population German,1210,349,6.0,1.7
Estimate Ancestry Total Population Greek,385,241,1.9,1.2
Estimate Ancestry Total Population Hungarian,0,25,0.0,0.2
Estimate Ancestry Total Population Irish,7109,896,35.0,4.0
Estimate Ancestry Total Population Italian,2848,515,14.0,2.4
Estimate Ancestry Total Population Lithuanian,92,57,0.5,0.3
Estimate Ancestry Total Population Norwegian,39,39,0.2,0.2
Estimate Ancestry Total Population Polish,777,284,3.8,1.4
Estimate Ancestry Total Population Portuguese,360,166,1.8,0.8
Estimate Ancestry Total Population Russian,306,198,1.5,1.0
Estimate Ancestry Total Population Scotch-Irish,199,109,1.0,0.5
Estimate Ancestry Total Population Scottish,413,157,2.0,0.8
Estimate Ancestry Total Population Slovak,0,25,0.0,0.2
Estimate Ancestry Total Population Subsaharan African,134,110,0.7,0.5
Estimate Ancestry Total Population Swedish,397,175,2.0,0.9
Estimate Ancestry Total Population Swiss,74,59,0.4,0.3
Estimate Ancestry Total Population Ukrainian,84,82,0.4,0.4
Estimate Ancestry Total Population Welsh,44,59,0.2,0.3
Estimate Ancestry Total Population West Indian (Excluding Hispanic Origin Groups),242,327,1.2,1.6
Estimate Computers And Internet Use Total Households,7251,420,7251,(X)
Estimate Computers And Internet Use Total Households With A Computer,6944,401,95.8,2.3
