,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,6250,409,6250,(X)
Estimate Households By Type Total Households Married-Couple Household,3408,458,54.5,5.9
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,1368,263,21.9,3.9
Estimate Households By Type Total Households Cohabiting Couple Household,639,262,10.2,4.6
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,298,246,4.8,4.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",773,220,12.4,3.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",70,60,1.1,1.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",378,120,6.0,1.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",98,53,1.6,0.8
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",1430,308,22.9,4.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",201,120,3.2,1.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",1044,293,16.7,4.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",633,242,10.1,3.6
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,2179,227,34.9,4.9
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,1771,289,28.3,3.8
Estimate Households By Type Total Households Average Household Size,2.71,0.18,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.16,0.16,(X),(X)
Estimate Relationship Population In Households,16914,42,16914,(X)
Estimate Relationship Population In Households Householder,6250,409,37.0,2.4
Estimate Relationship Population In Households Spouse,3301,444,19.5,2.6
Estimate Relationship Population In Households Unmarried Partner,672,291,4.0,1.7
Estimate Relationship Population In Households Child,5290,574,31.3,3.4
Estimate Relationship Population In Households Other Relatives,1050,355,6.2,2.1
Estimate Relationship Population In Households Other Nonrelatives,351,199,2.1,1.2
Estimate Marital Status Males 15 Years And Over,6414,495,6414,(X)
Estimate Marital Status Males 15 Years And Over Never Married,2354,366,36.7,5.3
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",3589,472,56.0,5.5
Estimate Marital Status Males 15 Years And Over Separated,66,57,1.0,0.9
Estimate Marital Status Males 15 Years And Over Widowed,40,40,0.6,0.6
Estimate Marital Status Males 15 Years And Over Divorced,365,151,5.7,2.3
Estimate Marital Status Females 15 Years And Over,7047,328,7047,(X)
Estimate Marital Status Females 15 Years And Over Never Married,2130,499,30.2,6.8
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",3420,458,48.5,6.6
Estimate Marital Status Females 15 Years And Over Separated,137,90,1.9,1.3
Estimate Marital Status Females 15 Years And Over Widowed,566,262,8.0,3.6
Estimate Marital Status Females 15 Years And Over Divorced,794,218,11.3,3.0
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,234,110,234,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",112,72,47.9,22.0
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",52,35,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",61,30,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",66,106,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",111,64,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",18,23,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,396,196,396,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,70,66,17.7,16.5
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,21,0.0,9.6
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,44,57,11.1,14.4
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,0,21,0.0,9.6
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,26,32,6.6,8.2
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,70,66,70,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,53,48,75.7,27.4
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,31,50,44.3,50.1
Estimate School Enrollment Population 3 Years And Over Enrolled In School,4025,535,4025,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",236,142,5.9,3.7
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,195,185,4.8,4.3
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),2180,485,54.2,7.9
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),749,252,18.6,6.9
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,665,248,16.5,6.1
Estimate Educational Attainment Population 25 Years And Over,11177,616,11177,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,213,119,1.9,1.1
"Estimate Educational Attainment Population 25 Years And Over 9Th To 12Th Grade, No Diploma",281,134,2.5,1.2
Estimate Educational Attainment Population 25 Years And Over High School Graduate (Includes Equivalency),3113,413,27.9,3.1
"Estimate Educational Attainment Population 25 Years And Over Some College, No Degree",1962,409,17.6,3.3
Estimate Educational Attainment Population 25 Years And Over Associate'S Degree,1091,268,9.8,2.2
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree,2837,491,25.4,4.9
Estimate Educational Attainment Population 25 Years And Over Graduate Or Professional Degree,1680,348,15.0,2.9
Estimate Educational Attainment Population 25 Years And Over High School Graduate Or Higher,10683,617,95.6,1.5
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree Or Higher,4517,479,40.4,4.8
Estimate Veteran Status Civilian Population 18 Years And Over,12913,478,12913,(X)
Estimate Veteran Status Civilian Population 18 Years And Over Civilian Veterans,748,196,5.8,1.5
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population,16927,43,16927,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population With A Disability,1803,378,10.7,2.2
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years,4014,481,4014,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years With A Disability,165,112,4.1,2.9
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years,10591,389,10591,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years With A Disability,792,266,7.5,2.5
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over,2322,299,2322,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over With A Disability,846,255,36.4,8.6
Estimate Residence 1 Year Ago Population 1 Year And Over,16698,116,16698,(X)
Estimate Residence 1 Year Ago Population 1 Year And Over Same House,15505,483,92.9,2.6
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad),1193,434,7.1,2.6
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S.,955,283,5.7,1.7
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Same County,328,192,2.0,1.2
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County,627,210,3.8,1.3
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Same State,564,207,3.4,1.2
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Different State,63,50,0.4,0.3
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Abroad,238,248,1.4,1.5
Estimate Place Of Birth Total Population,16934,42,16934,(X)
Estimate Place Of Birth Total Population Native,15454,477,91.3,2.8
Estimate Place Of Birth Total Population Native Born In United States,15282,491,90.2,2.9
Estimate Place Of Birth Total Population Native Born In United States State Of Residence,11430,810,67.5,4.8
Estimate Place Of Birth Total Population Native Born In United States Different State,3852,596,22.7,3.5
