,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,3504,149,3504,(X)
Estimate Households By Type Total Households Married-Couple Household,2312,173,66.0,5.1
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,1165,125,33.2,3.3
Estimate Households By Type Total Households Cohabiting Couple Household,64,49,1.8,1.4
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,10,17,0.3,0.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",325,138,9.3,3.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",53,44,1.5,1.2
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",158,81,4.5,2.2
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",56,42,1.6,1.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",803,141,22.9,3.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",68,60,1.9,1.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",432,98,12.3,2.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",287,80,8.2,2.2
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,1444,132,41.2,3.9
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,1103,156,31.5,4.5
Estimate Households By Type Total Households Average Household Size,2.83,0.12,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.19,0.13,(X),(X)
Estimate Relationship Population In Households,9914,75,9914,(X)
Estimate Relationship Population In Households Householder,3504,149,35.3,1.5
Estimate Relationship Population In Households Spouse,2318,172,23.4,1.7
Estimate Relationship Population In Households Unmarried Partner,64,45,0.6,0.5
Estimate Relationship Population In Households Child,3495,226,35.3,2.2
Estimate Relationship Population In Households Other Relatives,392,176,4.0,1.8
Estimate Relationship Population In Households Other Nonrelatives,141,117,1.4,1.2
Estimate Marital Status Males 15 Years And Over,3776,225,3776,(X)
Estimate Marital Status Males 15 Years And Over Never Married,979,238,25.9,5.2
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",2450,174,64.9,6.4
Estimate Marital Status Males 15 Years And Over Separated,19,30,0.5,0.8
Estimate Marital Status Males 15 Years And Over Widowed,52,46,1.4,1.2
Estimate Marital Status Males 15 Years And Over Divorced,276,135,7.3,3.4
Estimate Marital Status Females 15 Years And Over,4314,209,4314,(X)
Estimate Marital Status Females 15 Years And Over Never Married,1149,261,26.6,5.3
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",2433,173,56.4,4.8
Estimate Marital Status Females 15 Years And Over Separated,24,24,0.6,0.5
Estimate Marital Status Females 15 Years And Over Widowed,410,110,9.5,2.5
Estimate Marital Status Females 15 Years And Over Divorced,298,102,6.9,2.4
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,51,36,51,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",0,21,0.0,46.1
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",0,41,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",24,17,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,104,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",32,29,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",27,29,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,243,213,243,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,18,21,7.4,12.7
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,21,0.0,15.1
