,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,2444,279,2444,(X)
Estimate Households By Type Total Households Married-Couple Household,1268,292,51.9,8.3
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,393,221,16.1,8.1
Estimate Households By Type Total Households Cohabiting Couple Household,170,109,7.0,4.5
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,43,49,1.8,2.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",405,185,16.6,7.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",0,19,0.0,1.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",203,136,8.3,5.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",8,14,0.3,0.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",601,183,24.6,7.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",144,92,5.9,3.8
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",319,122,13.1,5.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",89,69,3.6,2.8
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,856,264,35.0,8.7
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,699,178,28.6,6.4
Estimate Households By Type Total Households Average Household Size,2.81,0.20,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.25,0.19,(X),(X)
Estimate Relationship Population In Households,6867,867,6867,(X)
Estimate Relationship Population In Households Householder,2444,279,35.6,2.6
Estimate Relationship Population In Households Spouse,1257,263,18.3,2.9
Estimate Relationship Population In Households Unmarried Partner,170,114,2.5,1.7
Estimate Relationship Population In Households Child,1948,341,28.4,4.0
Estimate Relationship Population In Households Other Relatives,787,402,11.5,5.1
Estimate Relationship Population In Households Other Nonrelatives,261,173,3.8,2.5
Estimate Marital Status Males 15 Years And Over,2643,327,2643,(X)
Estimate Marital Status Males 15 Years And Over Never Married,891,196,33.7,6.1
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",1291,267,48.8,9.5
Estimate Marital Status Males 15 Years And Over Separated,60,85,2.3,3.1
Estimate Marital Status Males 15 Years And Over Widowed,59,50,2.2,1.9
Estimate Marital Status Males 15 Years And Over Divorced,342,177,12.9,6.2
Estimate Marital Status Females 15 Years And Over,2996,487,2996,(X)
Estimate Marital Status Females 15 Years And Over Never Married,836,257,27.9,7.3
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",1383,323,46.2,7.3
Estimate Marital Status Females 15 Years And Over Separated,74,79,2.5,2.7
Estimate Marital Status Females 15 Years And Over Widowed,172,76,5.7,2.4
Estimate Marital Status Females 15 Years And Over Divorced,531,233,17.7,7.1
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,47,59,47,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",47,59,100.0,48.0
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",53,65,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",31,39,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,254,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",88,111,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",0,45,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,291,165,291,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,74,112,25.4,36.1
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,19,0.0,12.8
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,66,109,22.7,34.2
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,0,19,0.0,12.8
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,8,28,2.7,10.2
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,74,112,74,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,70,110,94.6,23.9
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,8,28,10.8,46.5
Estimate School Enrollment Population 3 Years And Over Enrolled In School,1513,321,1513,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",3,14,0.2,0.9
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,33,36,2.2,2.3
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),658,210,43.5,9.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),266,80,17.6,6.3
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,553,202,36.5,9.5
Estimate Educational Attainment Population 25 Years And Over,4907,594,4907,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,355,235,7.2,4.4
"Estimate Educational Attainment Population 25 Years And Over 9Th To 12Th Grade, No Diploma",600,326,12.2,6.2
Estimate Educational Attainment Population 25 Years And Over High School Graduate (Includes Equivalency),1289,398,26.3,7.8
"Estimate Educational Attainment Population 25 Years And Over Some College, No Degree",1161,280,23.7,5.8
Estimate Educational Attainment Population 25 Years And Over Associate'S Degree,347,119,7.1,2.5
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree,664,207,13.5,3.9
Estimate Educational Attainment Population 25 Years And Over Graduate Or Professional Degree,491,251,10.0,4.8
Estimate Educational Attainment Population 25 Years And Over High School Graduate Or Higher,3952,556,80.5,8.9
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree Or Higher,1155,355,23.5,6.3
Estimate Veteran Status Civilian Population 18 Years And Over,5452,610,5452,(X)
Estimate Veteran Status Civilian Population 18 Years And Over Civilian Veterans,206,92,3.8,1.7
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population,6867,867,6867,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population With A Disability,781,343,11.4,4.9
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years,1415,331,1415,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years With A Disability,0,19,0.0,2.8
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years,4557,573,4557,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years With A Disability,530,331,11.6,6.9
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over,895,173,895,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over With A Disability,251,128,28.0,14.5
Estimate Residence 1 Year Ago Population 1 Year And Over,6867,867,6867,(X)
Estimate Residence 1 Year Ago Population 1 Year And Over Same House,6623,888,96.4,2.3
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad),244,153,3.6,2.3
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S.,244,153,3.6,2.3
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Same County,195,149,2.8,2.2
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County,49,51,0.7,0.7
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Same State,37,46,0.5,0.7
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Different State,12,21,0.2,0.3
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Abroad,0,19,0.0,0.6
Estimate Place Of Birth Total Population,6867,867,6867,(X)
Estimate Place Of Birth Total Population Native,6172,882,89.9,3.1
Estimate Place Of Birth Total Population Native Born In United States,6025,877,87.7,4.1
Estimate Place Of Birth Total Population Native Born In United States State Of Residence,5426,852,79.0,5.7
Estimate Place Of Birth Total Population Native Born In United States Different State,599,246,8.7,3.4
"Estimate Place Of Birth Total Population Native Born In Puerto Rico, U.S. Island Areas, Or Born Abroad To American Parent(S)",147,129,2.1,1.8
Estimate Place Of Birth Total Population Foreign Born,695,199,10.1,3.1
Estimate U.S. Citizenship Status Foreign-Born Population,695,199,695,(X)
Estimate U.S. Citizenship Status Foreign-Born Population Naturalized U.S. Citizen,568,199,81.7,10.3
Estimate U.S. Citizenship Status Foreign-Born Population Not A U.S. Citizen,127,66,18.3,10.3
Estimate Year Of Entry Population Born Outside The United States,842,270,842,(X)
Estimate Year Of Entry Population Born Outside The United States Native,147,129,147,(X)
