,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,13929,616,13929,(X)
Estimate Households By Type Total Households Married-Couple Household,5247,627,37.7,4.2
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,2129,381,15.3,2.6
Estimate Households By Type Total Households Cohabiting Couple Household,1190,400,8.5,2.8
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,406,167,2.9,1.2
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",2052,433,14.7,3.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",164,155,1.2,1.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",1295,306,9.3,2.2
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",551,218,4.0,1.5
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",5440,688,39.1,4.8
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",1278,363,9.2,2.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",1904,446,13.7,3.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",909,264,6.5,1.9
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,4899,570,35.2,3.6
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,4442,429,31.9,3.1
Estimate Households By Type Total Households Average Household Size,2.92,0.12,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.45,0.16,(X),(X)
Estimate Relationship Population In Households,40626,2084,40626,(X)
Estimate Relationship Population In Households Householder,13929,616,34.3,1.4
Estimate Relationship Population In Households Spouse,5322,610,13.1,1.3
Estimate Relationship Population In Households Unmarried Partner,1351,516,3.3,1.2
Estimate Relationship Population In Households Child,13951,1215,34.3,2.3
Estimate Relationship Population In Households Other Relatives,4668,851,11.5,1.9
Estimate Relationship Population In Households Other Nonrelatives,1405,465,3.5,1.1
Estimate Marital Status Males 15 Years And Over,15804,1142,15804,(X)
Estimate Marital Status Males 15 Years And Over Never Married,6803,891,43.0,3.9
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",6529,682,41.3,3.9
Estimate Marital Status Males 15 Years And Over Separated,493,220,3.1,1.3
Estimate Marital Status Males 15 Years And Over Widowed,355,242,2.2,1.5
Estimate Marital Status Males 15 Years And Over Divorced,1624,508,10.3,3.3
Estimate Marital Status Females 15 Years And Over,17096,929,17096,(X)
Estimate Marital Status Females 15 Years And Over Never Married,7046,732,41.2,3.4
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",5869,678,34.3,3.6
Estimate Marital Status Females 15 Years And Over Separated,583,233,3.4,1.4
Estimate Marital Status Females 15 Years And Over Widowed,1419,334,8.3,1.9
Estimate Marital Status Females 15 Years And Over Divorced,2179,467,12.7,2.7
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,462,185,462,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",112,70,24.2,14.4
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",17,11,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",47,19,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,46,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",86,42,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",22,17,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,1100,369,1100,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,263,178,23.9,14.2
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,125,146,11.4,12.6
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,6,8,0.5,0.7
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,0,28,0.0,3.6
