,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,4269,287,4269,(X)
Estimate Households By Type Total Households Married-Couple Household,2299,203,53.9,6.0
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,1113,242,26.1,6.6
Estimate Households By Type Total Households Cohabiting Couple Household,279,133,6.5,3.0
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,30,36,0.7,0.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",779,221,18.2,4.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",52,56,1.2,1.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",600,204,14.1,4.2
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",104,67,2.4,1.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",912,217,21.4,4.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",175,96,4.1,2.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",546,161,12.8,3.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",215,110,5.0,2.5
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,1465,217,34.3,6.5
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,984,184,23.0,3.7
Estimate Households By Type Total Households Average Household Size,2.50,0.17,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.08,0.19,(X),(X)
Estimate Relationship Population In Households,10678,32,10678,(X)
Estimate Relationship Population In Households Householder,4269,287,40.0,2.7
Estimate Relationship Population In Households Spouse,2317,175,21.7,1.6
Estimate Relationship Population In Households Unmarried Partner,283,133,2.7,1.3
Estimate Relationship Population In Households Child,3248,387,30.4,3.6
Estimate Relationship Population In Households Other Relatives,450,204,4.2,1.9
Estimate Relationship Population In Households Other Nonrelatives,111,74,1.0,0.7
Estimate Marital Status Males 15 Years And Over,4219,293,4219,(X)
Estimate Marital Status Males 15 Years And Over Never Married,1169,246,27.7,4.8
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",2547,182,60.4,5.7
Estimate Marital Status Males 15 Years And Over Separated,25,31,0.6,0.7
Estimate Marital Status Males 15 Years And Over Widowed,116,87,2.7,2.0
Estimate Marital Status Males 15 Years And Over Divorced,362,180,8.6,4.0
Estimate Marital Status Females 15 Years And Over,4304,301,4304,(X)
Estimate Marital Status Females 15 Years And Over Never Married,1128,229,26.2,4.3
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",2356,166,54.7,5.3
Estimate Marital Status Females 15 Years And Over Separated,67,60,1.6,1.4
Estimate Marital Status Females 15 Years And Over Widowed,313,125,7.3,2.7
Estimate Marital Status Females 15 Years And Over Divorced,440,174,10.2,3.8
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,137,91,137,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",18,30,13.1,19.6
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",17,29,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",54,37,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,179,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",128,87,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",12,22,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,170,98,170,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,16,26,9.4,16.1
