,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,4474,323,4474,(X)
Estimate Households By Type Total Households Married-Couple Household,2170,303,48.5,7.5
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,358,153,8.0,3.4
Estimate Households By Type Total Households Cohabiting Couple Household,533,245,11.9,5.2
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,65,57,1.5,1.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",473,178,10.6,3.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",76,85,1.7,1.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",310,114,6.9,2.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",193,93,4.3,2.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",1298,277,29.0,5.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",55,58,1.2,1.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",925,216,20.7,4.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",682,173,15.2,3.3
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,710,157,15.9,3.6
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,2487,362,55.6,6.5
Estimate Households By Type Total Households Average Household Size,2.40,0.18,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.02,0.21,(X),(X)
Estimate Relationship Population In Households,10716,410,10716,(X)
Estimate Relationship Population In Households Householder,4474,323,41.8,3.1
Estimate Relationship Population In Households Spouse,2179,284,20.3,2.4
Estimate Relationship Population In Households Unmarried Partner,545,239,5.1,2.3
Estimate Relationship Population In Households Child,2350,440,21.9,3.9
Estimate Relationship Population In Households Other Relatives,923,479,8.6,4.4
Estimate Relationship Population In Households Other Nonrelatives,245,124,2.3,1.2
Estimate Marital Status Males 15 Years And Over,4598,398,4598,(X)
Estimate Marital Status Males 15 Years And Over Never Married,1669,399,36.3,6.5
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",2347,328,51.0,7.1
Estimate Marital Status Males 15 Years And Over Separated,14,22,0.3,0.5
Estimate Marital Status Males 15 Years And Over Widowed,95,70,2.1,1.5
Estimate Marital Status Males 15 Years And Over Divorced,473,177,10.3,4.1
Estimate Marital Status Females 15 Years And Over,5162,369,5162,(X)
Estimate Marital Status Females 15 Years And Over Never Married,790,220,15.3,4.0
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",2479,364,48.0,7.4
Estimate Marital Status Females 15 Years And Over Separated,30,37,0.6,0.7
Estimate Marital Status Females 15 Years And Over Widowed,835,230,16.2,3.8
Estimate Marital Status Females 15 Years And Over Divorced,1028,320,19.9,6.0
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,26,43,26,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",26,43,100.0,64.5
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",27,46,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",16,27,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,527,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",52,86,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",0,37,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,187,171,187,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,9,15,4.8,10.7
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,21,0.0,19.1
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,0,21,0.0,19.1
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,0,21,0.0,19.1
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,9,15,4.8,10.7
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,9,15,9,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,9,15,100.0,100.0
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,9,15,100.0,100.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School,1659,437,1659,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",41,42,2.5,2.7
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,86,85,5.2,5.8
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),692,241,41.7,9.5
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),493,224,29.7,10.9
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,347,205,20.9,9.8
Estimate Educational Attainment Population 25 Years And Over,8610,440,8610,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,37,31,0.4,0.4
"Estimate Educational Attainment Population 25 Years And Over 9Th To 12Th Grade, No Diploma",126,86,1.5,1.0
Estimate Educational Attainment Population 25 Years And Over High School Graduate (Includes Equivalency),2340,411,27.2,4.3
"Estimate Educational Attainment Population 25 Years And Over Some College, No Degree",1781,555,20.7,6.0
Estimate Educational Attainment Population 25 Years And Over Associate'S Degree,732,202,8.5,2.4
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree,1994,403,23.2,5.0
Estimate Educational Attainment Population 25 Years And Over Graduate Or Professional Degree,1600,287,18.6,3.5
Estimate Educational Attainment Population 25 Years And Over High School Graduate Or Higher,8447,438,98.1,1.0
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree Or Higher,3594,455,41.7,6.0
Estimate Veteran Status Civilian Population 18 Years And Over,9425,406,9425,(X)
Estimate Veteran Status Civilian Population 18 Years And Over Civilian Veterans,795,262,8.4,2.8
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population,10728,409,10728,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population With A Disability,1317,316,12.3,2.9
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years,1420,311,1420,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years With A Disability,60,49,4.2,3.4
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years,5936,494,5936,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years With A Disability,436,224,7.3,3.7
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over,3372,410,3372,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over With A Disability,821,268,24.3,7.2
Estimate Residence 1 Year Ago Population 1 Year And Over,10845,408,10845,(X)
Estimate Residence 1 Year Ago Population 1 Year And Over Same House,9799,706,90.4,5.3
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad),1046,576,9.6,5.3
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S.,1046,576,9.6,5.3
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Same County,536,274,4.9,2.5
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County,510,444,4.7,4.1
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Same State,73,65,0.7,0.6
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Different State,437,440,4.0,4.1
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Abroad,0,21,0.0,0.4
Estimate Place Of Birth Total Population,10845,408,10845,(X)
Estimate Place Of Birth Total Population Native,10395,445,95.9,2.3
Estimate Place Of Birth Total Population Native Born In United States,10339,452,95.3,2.4
Estimate Place Of Birth Total Population Native Born In United States State Of Residence,6531,540,60.2,4.8
Estimate Place Of Birth Total Population Native Born In United States Different State,3808,501,35.1,4.3
"Estimate Place Of Birth Total Population Native Born In Puerto Rico, U.S. Island Areas, Or Born Abroad To American Parent(S)",56,39,0.5,0.4
Estimate Place Of Birth Total Population Foreign Born,450,252,4.1,2.3
Estimate U.S. Citizenship Status Foreign-Born Population,450,252,450,(X)
Estimate U.S. Citizenship Status Foreign-Born Population Naturalized U.S. Citizen,271,157,60.2,20.2
Estimate U.S. Citizenship Status Foreign-Born Population Not A U.S. Citizen,179,155,39.8,20.2
Estimate Year Of Entry Population Born Outside The United States,506,261,506,(X)
Estimate Year Of Entry Population Born Outside The United States Native,56,39,56,(X)
Estimate Year Of Entry Population Born Outside The United States Native Entered 2010 Or Later,0,21,0.0,44.0
Estimate Year Of Entry Population Born Outside The United States Native Entered Before 2010,56,39,100.0,44.0
Estimate Year Of Entry Population Born Outside The United States Foreign Born,450,252,450,(X)
Estimate Year Of Entry Population Born Outside The United States Foreign Born Entered 2010 Or Later,56,53,12.4,9.4
Estimate Year Of Entry Population Born Outside The United States Foreign Born Entered Before 2010,394,225,87.6,9.4
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea",450,252,450,(X)
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Europe",152,169,33.8,29.1
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Asia",53,95,11.8,18.3
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Africa",0,21,0.0,8.5
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Oceania",0,21,0.0,8.5
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Latin America",210,159,46.7,27.3
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Northern America",35,31,7.8,7.6
Estimate Language Spoken At Home Population 5 Years And Over,10614,436,10614,(X)
Estimate Language Spoken At Home Population 5 Years And Over English Only,10168,459,95.8,2.6
Estimate Language Spoken At Home Population 5 Years And Over Language Other Than English,446,278,4.2,2.6
