,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,685,220,685,(X)
Estimate Households By Type Total Households Married-Couple Household,327,148,47.7,18.3
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,101,86,14.7,11.1
Estimate Households By Type Total Households Cohabiting Couple Household,62,74,9.1,11.0
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,0,13,0.0,5.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",128,117,18.7,15.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",0,13,0.0,5.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",128,117,18.7,15.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",57,63,8.3,9.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",168,119,24.5,14.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",0,13,0.0,5.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",148,113,21.6,13.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",55,62,8.0,8.9
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,101,86,14.7,11.1
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,281,117,41.0,16.1
Estimate Households By Type Total Households Average Household Size,2.44,0.60,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.07,0.90,(X),(X)
Estimate Relationship Population In Households,1668,504,1668,(X)
Estimate Relationship Population In Households Householder,685,220,41.1,10.3
Estimate Relationship Population In Households Spouse,298,124,17.9,4.7
Estimate Relationship Population In Households Unmarried Partner,65,77,3.9,5.0
Estimate Relationship Population In Households Child,378,227,22.7,9.4
Estimate Relationship Population In Households Other Relatives,0,13,0.0,2.4
