,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,532,198,532,(X)
Estimate Households By Type Total Households Married-Couple Household,199,88,37.4,21.1
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,75,55,14.1,11.2
Estimate Households By Type Total Households Cohabiting Couple Household,54,62,10.2,11.6
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,27,45,5.1,8.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",146,181,27.4,27.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",0,13,0.0,7.2
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",146,181,27.4,27.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",0,13,0.0,7.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",133,91,25.0,16.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",31,53,5.8,10.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",54,66,10.2,11.8
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",54,66,10.2,11.8
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,160,81,30.1,17.3
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,117,92,22.0,18.6
Estimate Households By Type Total Households Average Household Size,2.34,0.67,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.00,0.55,(X),(X)
Estimate Relationship Population In Households,1243,316,1243,(X)
Estimate Relationship Population In Households Householder,532,198,42.8,11.9
Estimate Relationship Population In Households Spouse,204,90,16.4,6.0
Estimate Relationship Population In Households Unmarried Partner,49,56,3.9,4.3
Estimate Relationship Population In Households Child,284,152,22.8,10.8
Estimate Relationship Population In Households Other Relatives,68,111,5.5,8.8
Estimate Relationship Population In Households Other Nonrelatives,106,117,8.5,9.0
Estimate Marital Status Males 15 Years And Over,460,204,460,(X)
Estimate Marital Status Males 15 Years And Over Never Married,78,80,17.0,15.0
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",236,130,51.3,30.1
Estimate Marital Status Males 15 Years And Over Separated,0,13,0.0,8.3
Estimate Marital Status Males 15 Years And Over Widowed,0,13,0.0,8.3
Estimate Marital Status Males 15 Years And Over Divorced,146,181,31.7,34.1
Estimate Marital Status Females 15 Years And Over,585,195,585,(X)
Estimate Marital Status Females 15 Years And Over Never Married,192,154,32.8,20.0
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",235,122,40.2,21.1
Estimate Marital Status Females 15 Years And Over Separated,0,13,0.0,6.6
Estimate Marital Status Females 15 Years And Over Widowed,54,66,9.2,11.2
Estimate Marital Status Females 15 Years And Over Divorced,104,100,17.8,16.0
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,51,61,51,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",0,13,0.0,46.1
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",0,136,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",132,177,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",-666666666,-222222222,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",155,267,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",101,191,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,0,13,0,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,0,13,-666666666.0,-222222222.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,13,-666666666.0,-222222222.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,0,13,-666666666.0,-222222222.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,0,13,-666666666.0,-222222222.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,0,13,-666666666.0,-222222222.0
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,0,13,0,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,0,13,-666666666.0,-222222222.0
