,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,1106,94,1106,(X)
Estimate Households By Type Total Households Married-Couple Household,495,68,44.8,7.6
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,167,53,15.1,5.5
Estimate Households By Type Total Households Cohabiting Couple Household,95,40,8.6,3.5
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,31,16,2.8,1.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",284,108,25.7,8.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",27,29,2.4,2.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",244,110,22.1,8.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",42,27,3.8,2.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",232,70,21.0,6.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",47,34,4.2,3.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",107,48,9.7,4.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",59,37,5.3,3.2
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,298,56,26.9,6.6
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,360,71,32.5,6.0
Estimate Households By Type Total Households Average Household Size,2.34,0.20,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.97,0.20,(X),(X)
Estimate Relationship Population In Households,2591,14,2591,(X)
Estimate Relationship Population In Households Householder,1106,94,42.7,3.6
Estimate Relationship Population In Households Spouse,491,67,19.0,2.6
Estimate Relationship Population In Households Unmarried Partner,95,40,3.7,1.5
Estimate Relationship Population In Households Child,729,102,28.1,3.9
Estimate Relationship Population In Households Other Relatives,99,48,3.8,1.8
Estimate Relationship Population In Households Other Nonrelatives,71,55,2.7,2.1
Estimate Marital Status Males 15 Years And Over,1148,101,1148,(X)
Estimate Marital Status Males 15 Years And Over Never Married,373,98,32.5,7.4
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",503,69,43.8,6.5
Estimate Marital Status Males 15 Years And Over Separated,0,13,0.0,3.4
Estimate Marital Status Males 15 Years And Over Widowed,61,39,5.3,3.4
Estimate Marital Status Males 15 Years And Over Divorced,211,98,18.4,8.1
Estimate Marital Status Females 15 Years And Over,1033,87,1033,(X)
Estimate Marital Status Females 15 Years And Over Never Married,330,74,31.9,5.7
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",539,66,52.2,6.8
Estimate Marital Status Females 15 Years And Over Separated,13,12,1.3,1.2
Estimate Marital Status Females 15 Years And Over Widowed,34,19,3.3,1.8
Estimate Marital Status Females 15 Years And Over Divorced,117,47,11.3,4.2
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,38,34,38,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",22,29,57.9,47.4
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",72,94,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",82,74,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,425,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",169,154,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",28,48,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,65,51,65,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,10,15,15.4,23.7
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,13,0.0,40.8
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,0,13,0.0,40.8
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,0,13,0.0,40.8
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,10,15,15.4,23.7
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,10,15,10,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,5,7,50.0,13.4
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,10,15,100.0,100.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School,536,150,536,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",14,14,2.6,2.8
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,41,30,7.6,5.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),219,95,40.9,11.7
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),140,77,26.1,12.6
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,122,51,22.8,9.1
Estimate Educational Attainment Population 25 Years And Over,1920,108,1920,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,27,23,1.4,1.2
"Estimate Educational Attainment Population 25 Years And Over 9Th To 12Th Grade, No Diploma",122,54,6.4,2.8
Estimate Educational Attainment Population 25 Years And Over High School Graduate (Includes Equivalency),499,116,26.0,5.5
"Estimate Educational Attainment Population 25 Years And Over Some College, No Degree",412,112,21.5,5.7
Estimate Educational Attainment Population 25 Years And Over Associate'S Degree,224,69,11.7,3.5
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree,414,108,21.6,5.8
Estimate Educational Attainment Population 25 Years And Over Graduate Or Professional Degree,222,52,11.6,2.6
Estimate Educational Attainment Population 25 Years And Over High School Graduate Or Higher,1771,125,92.2,3.1
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree Or Higher,636,123,33.1,6.5
Estimate Veteran Status Civilian Population 18 Years And Over,2068,114,2068,(X)
Estimate Veteran Status Civilian Population 18 Years And Over Civilian Veterans,233,79,11.3,3.6
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population,2591,14,2591,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population With A Disability,322,81,12.4,3.1
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years,523,114,523,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years With A Disability,23,27,4.4,5.1
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years,1532,107,1532,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years With A Disability,155,59,10.1,3.7
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over,536,95,536,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over With A Disability,144,51,26.9,8.1
Estimate Residence 1 Year Ago Population 1 Year And Over,2565,30,2565,(X)
Estimate Residence 1 Year Ago Population 1 Year And Over Same House,2382,130,92.9,4.5
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad),183,115,7.1,4.5
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S.,163,112,6.4,4.4
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Same County,106,103,4.1,4.0
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County,57,54,2.2,2.1
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Same State,52,54,2.0,2.1
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Different State,5,7,0.2,0.3
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Abroad,20,23,0.8,0.9
