,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,10905,359,10905,(X)
Estimate Households By Type Total Households Married-Couple Household,5882,385,53.9,3.5
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,2485,241,22.8,2.3
Estimate Households By Type Total Households Cohabiting Couple Household,694,210,6.4,1.9
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,116,71,1.1,0.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",1702,314,15.6,2.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",146,87,1.3,0.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",1249,245,11.5,2.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",476,180,4.4,1.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",2627,370,24.1,3.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",281,129,2.6,1.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",1650,301,15.1,2.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",635,177,5.8,1.6
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,3292,240,30.2,2.5
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,3349,328,30.7,2.8
Estimate Households By Type Total Households Average Household Size,2.45,0.08,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.01,0.09,(X),(X)
Estimate Relationship Population In Households,26769,242,26769,(X)
Estimate Relationship Population In Households Householder,10905,359,40.7,1.2
Estimate Relationship Population In Households Spouse,5921,362,22.1,1.3
Estimate Relationship Population In Households Unmarried Partner,722,226,2.7,0.8
Estimate Relationship Population In Households Child,7483,466,28.0,1.7
Estimate Relationship Population In Households Other Relatives,1333,316,5.0,1.2
Estimate Relationship Population In Households Other Nonrelatives,405,181,1.5,0.7
Estimate Marital Status Males 15 Years And Over,11078,455,11078,(X)
Estimate Marital Status Males 15 Years And Over Never Married,3290,511,29.7,3.9
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",6434,385,58.1,3.9
Estimate Marital Status Males 15 Years And Over Separated,57,42,0.5,0.4
Estimate Marital Status Males 15 Years And Over Widowed,373,170,3.4,1.5
Estimate Marital Status Males 15 Years And Over Divorced,924,217,8.3,2.0
Estimate Marital Status Females 15 Years And Over,11570,371,11570,(X)
Estimate Marital Status Females 15 Years And Over Never Married,2932,393,25.3,3.0
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",6313,334,54.6,3.4
Estimate Marital Status Females 15 Years And Over Separated,74,61,0.6,0.5
Estimate Marital Status Females 15 Years And Over Widowed,820,212,7.1,1.7
Estimate Marital Status Females 15 Years And Over Divorced,1431,256,12.4,2.1
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,396,144,396,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",70,72,17.7,17.4
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",26,26,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",69,25,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,70,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",99,51,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",57,27,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,443,169,443,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,43,44,9.7,9.4
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,10,17,2.3,3.6
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,23,37,5.2,8.1
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,10,15,2.3,3.6
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,0,25,0.0,8.6
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,43,44,43,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,10,17,23.3,41.1
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,20,22,46.5,53.3
Estimate School Enrollment Population 3 Years And Over Enrolled In School,5503,519,5503,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",367,129,6.7,2.5
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,366,131,6.7,2.4
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),2537,347,46.1,5.8
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),1234,413,22.4,6.6
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,999,246,18.2,4.0
Estimate Educational Attainment Population 25 Years And Over,20374,465,20374,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,263,104,1.3,0.5
"Estimate Educational Attainment Population 25 Years And Over 9Th To 12Th Grade, No Diploma",552,160,2.7,0.8
Estimate Educational Attainment Population 25 Years And Over High School Graduate (Includes Equivalency),4126,555,20.3,2.5
"Estimate Educational Attainment Population 25 Years And Over Some College, No Degree",2692,373,13.2,1.8
Estimate Educational Attainment Population 25 Years And Over Associate'S Degree,1584,262,7.8,1.3
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree,6424,577,31.5,2.7
