,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,2532,236,2532,(X)
Estimate Households By Type Total Households Married-Couple Household,1756,224,69.4,5.4
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,767,178,30.3,6.1
Estimate Households By Type Total Households Cohabiting Couple Household,60,39,2.4,1.5
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,46,37,1.8,1.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",232,81,9.2,3.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",37,35,1.5,1.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",96,45,3.8,1.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",29,26,1.1,1.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",484,109,19.1,4.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",91,56,3.6,2.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",225,72,8.9,2.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",127,60,5.0,2.4
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,956,188,37.8,5.7
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,840,161,33.2,5.2
Estimate Households By Type Total Households Average Household Size,2.72,0.15,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.97,0.16,(X),(X)
Estimate Relationship Population In Households,6899,781,6899,(X)
Estimate Relationship Population In Households Householder,2532,236,36.7,2.0
Estimate Relationship Population In Households Spouse,1743,217,25.3,1.6
Estimate Relationship Population In Households Unmarried Partner,61,39,0.9,0.6
Estimate Relationship Population In Households Child,2228,351,32.3,2.5
Estimate Relationship Population In Households Other Relatives,206,120,3.0,1.6
Estimate Relationship Population In Households Other Nonrelatives,129,105,1.9,1.5
Estimate Marital Status Males 15 Years And Over,2699,369,2699,(X)
Estimate Marital Status Males 15 Years And Over Never Married,727,218,26.9,5.6
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",1831,236,67.8,5.8
Estimate Marital Status Males 15 Years And Over Separated,12,19,0.4,0.7
Estimate Marital Status Males 15 Years And Over Widowed,60,45,2.2,1.7
Estimate Marital Status Males 15 Years And Over Divorced,69,52,2.6,1.9
Estimate Marital Status Females 15 Years And Over,2791,322,2791,(X)
Estimate Marital Status Females 15 Years And Over Never Married,628,135,22.5,4.0
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",1817,226,65.1,4.6
Estimate Marital Status Females 15 Years And Over Separated,11,16,0.4,0.6
Estimate Marital Status Females 15 Years And Over Widowed,117,55,4.2,2.0
