,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,830,91,830,(X)
Estimate Households By Type Total Households Married-Couple Household,468,64,56.4,6.3
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,147,44,17.7,4.9
Estimate Households By Type Total Households Cohabiting Couple Household,105,58,12.7,6.2
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,31,37,3.7,4.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",138,44,16.6,5.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",12,12,1.4,1.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",84,34,10.1,4.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",46,21,5.5,2.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",119,32,14.3,3.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",8,11,1.0,1.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",67,21,8.1,2.5
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",47,20,5.7,2.3
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,235,57,28.3,6.1
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,307,50,37.0,5.5
Estimate Households By Type Total Households Average Household Size,2.40,0.14,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.71,0.19,(X),(X)
Estimate Relationship Population In Households,1991,224,1991,(X)
Estimate Relationship Population In Households Householder,830,91,41.7,2.3
Estimate Relationship Population In Households Spouse,461,61,23.2,2.4
Estimate Relationship Population In Households Unmarried Partner,116,74,5.8,3.5
Estimate Relationship Population In Households Child,454,97,22.8,3.8
Estimate Relationship Population In Households Other Relatives,74,30,3.7,1.5
Estimate Relationship Population In Households Other Nonrelatives,56,36,2.8,1.8
Estimate Marital Status Males 15 Years And Over,878,99,878,(X)
Estimate Marital Status Males 15 Years And Over Never Married,237,69,27.0,6.2
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",513,73,58.4,6.2
Estimate Marital Status Males 15 Years And Over Separated,35,36,4.0,4.1
Estimate Marital Status Males 15 Years And Over Widowed,27,15,3.1,1.8
Estimate Marital Status Males 15 Years And Over Divorced,66,23,7.5,2.7
Estimate Marital Status Females 15 Years And Over,831,110,831,(X)
Estimate Marital Status Females 15 Years And Over Never Married,235,76,28.3,6.9
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",462,68,55.6,6.2
Estimate Marital Status Females 15 Years And Over Separated,0,13,0.0,4.7
Estimate Marital Status Females 15 Years And Over Widowed,51,18,6.1,2.1
Estimate Marital Status Females 15 Years And Over Divorced,83,27,10.0,3.2
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,10,8,10,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",0,13,0.0,100.0
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",0,189,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",28,24,(X),(X)
